,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,21,CANCELLARA Fabian,32,RadioShack - Leopard,100.0,275.0,5:45:33,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
1,2,56,VANMARCKE Sep,24,Blanco Pro Cycling Team,80.0,200.0,",,0:00",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
2,3,6,TERPSTRA Niki,28,Omega Pharma - Quick-Step,70.0,150.0,0:310:31,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
3,4,37,VAN AVERMAET Greg,27,BMC Racing Team,60.0,120.0,",,0:31",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
4,5,14,GAUDIN Damien,26,Team Europcar,50.0,100.0,",,0:31",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
5,6,5,ŠTYBAR Zdeněk,27,Omega Pharma - Quick-Step,40.0,90.0,0:390:39,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
6,7,117,LANGEVELD Sebastian,28,Orica GreenEDGE,30.0,80.0,",,0:39",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
7,8,121,FLECHA Juan Antonio,35,Vacansoleil - DCM,20.0,70.0,",,0:39",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
8,9,61,KRISTOFF Alexander,25,Team Katusha,10.0,60.0,0:500:50,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
9,10,11,TURGOT Sébastien,28,Team Europcar,4.0,50.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
10,11,151,HAUSSLER Heinrich,29,IAM Cycling,,46.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
11,12,42,EISEL Bernhard,32,Sky Procycling,,42.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
12,13,58,WYNANTS Maarten,30,Blanco Pro Cycling Team,,38.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
13,14,51,BOOM Lars,27,Blanco Pro Cycling Team,,34.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
14,15,142,BRESCHEL Matti,28,Team Saxo - Tinkoff,,30.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
15,16,124,LEUKEMANS Björn,35,Vacansoleil - DCM,,28.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
16,17,171,CHAINEL Steve,29,AG2R La Mondiale,,26.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
17,18,54,TJALLINGII Maarten,35,Blanco Pro Cycling Team,,24.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
18,19,1,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,,22.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
19,20,8,VANDENBERGH Stijn,28,Omega Pharma - Quick-Step,,20.0,",,0:50",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
20,21,66,PAOLINI Luca,36,Team Katusha,,19.0,1:001:00,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
21,22,131,POZZATO Filippo,31,Lampre - Merida,,18.0,2:522:52,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
22,23,34,PHINNEY Taylor,22,BMC Racing Team,,17.0,3:133:13,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
23,24,98,SIEBERG Marcel,30,Lotto Belisol Team,,16.0,",,3:13",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
24,25,166,SINKELDAM Ramon,24,Team Argos - Shimano,,15.0,",,3:13",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
25,26,87,LE BON Johan,22,FDJ,,14.0,3:173:17,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
26,27,178,MONDORY Lloyd,30,AG2R La Mondiale,,13.0,",,3:17",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
27,28,161,DEGENKOLB John,24,Team Argos - Shimano,,12.0,3:293:29,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
28,29,201,PETIT Adrien,22,"Cofidis, Solutions Crédits",,11.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
29,30,57,WAGNER Robert,29,Blanco Pro Cycling Team,,10.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
30,31,103,GUARNIERI Jacopo,25,Astana Pro Team,,9.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
31,32,198,SABATINI Fabio,28,Cannondale Pro Cycling Team,,8.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
32,33,211,KLUGE Roger,27,Team NetApp – Endura,,7.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
33,34,36,SCHÄR Michael,26,BMC Racing Team,,6.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
34,35,31,HUSHOVD Thor,35,BMC Racing Team,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
35,36,168,VEELERS Tom,28,Team Argos - Shimano,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
36,37,227,VENTOSO Francisco José,30,Movistar Team,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
37,38,2,KEISSE Iljo,30,Omega Pharma - Quick-Step,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
38,39,152,BANDIERA Marco,28,IAM Cycling,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
39,40,236,MALACARNE Gael,27,Bretagne - Séché Environnement,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
40,41,153,ELMIGER Martin,34,IAM Cycling,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
41,42,155,HINAULT Sébastien,39,IAM Cycling,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
42,43,91,ROELANDTS Jürgen,27,Lotto Belisol Team,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
43,44,164,DE BACKER Bert,29,Team Argos - Shimano,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
44,45,177,MINARD Sébastien,30,AG2R La Mondiale,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
45,46,116,KEUKELEIRE Jens,24,Orica GreenEDGE,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
46,47,41,BOASSON HAGEN Edvald,25,Sky Procycling,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
47,48,17,THURAU Björn,24,Team Europcar,,5.0,",,3:29",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
48,49,62,GUSEV Vladimir,30,Team Katusha,,5.0,3:323:32,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
49,50,71,VANSUMMEREN Johan,32,Garmin Sharp,,5.0,",,3:32",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
50,51,47,STANNARD Ian,25,Sky Procycling,,5.0,",,3:32",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
51,52,43,HAYMAN Mathew,34,Sky Procycling,,5.0,",,3:32",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
52,53,27,ROULSTON Hayden,32,RadioShack - Leopard,,5.0,6:076:07,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
53,54,22,DEVOLDER Stijn,33,RadioShack - Leopard,,5.0,6:116:11,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
54,55,4,STEEGMANS Gert,32,Omega Pharma - Quick-Step,,5.0,",,6:11",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
55,56,191,BODNAR Maciej,28,Cannondale Pro Cycling Team,,5.0,",,6:11",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
56,57,122,BOECKMANS Kris,26,Vacansoleil - DCM,,5.0,",,6:11",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
57,58,73,FARRAR Tyler,28,Garmin Sharp,,5.0,8:378:37,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
58,59,221,ROJAS José Joaquín,27,Movistar Team,,5.0,10:2710:27,Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
59,60,248,TAMOURIDIS Ioannis,32,Euskaltel - Euskadi,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
60,61,175,HUTAROVICH Yauheni,29,AG2R La Mondiale,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
61,62,202,BARLE Florent,27,"Cofidis, Solutions Crédits",,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
62,63,224,GUTIÉRREZ José Iván,34,Movistar Team,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
63,64,67,SELIG Rüdiger,24,Team Katusha,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
64,65,237,PÉRICHON Pierre-Luc,26,Bretagne - Séché Environnement,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
65,66,55,VAN EMDEN Jos,28,Blanco Pro Cycling Team,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
66,67,65,KUZNETSOV Viacheslav,23,Team Katusha,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
67,68,95,GREIPEL André,30,Lotto Belisol Team,,5.0,",,10:27",Paris___Roubaix,0,07 April 2013,44.19 km/h,0,254.5 km,28
