,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,12,BENNETT Sam,28,BORA - hansgrohe,40.0,35.0,3:32:34,Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
1,2,2.0,+0:04,34,JAKOBSEN Fabio,22,Deceuninck - Quick Step,15.0,20.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
2,3,3.0,+0:06,21,EWAN Caleb,24,Lotto Soudal,6.0,12.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
3,4,7.0,+0:10,83,GROSU Eduard-Michael,26,Delko Marseille Provence,,9.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
4,5,8.0,+0:10,51,CONSONNI Simone,24,UAE-Team Emirates,,7.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
5,6,9.0,+0:10,114,PACIONI Luca,25,Neri Sottoli - Selle Italia - KTM,,5.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
6,7,10.0,+0:10,122,CIMA Imerio,21,Nippo Vini Fantini Faizanè,,3.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
7,8,11.0,+0:10,146,NOPPE Christophe,24,Sport Vlaanderen - Baloise,,2.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
8,9,12.0,+0:10,127,LONARDI Giovanni,22,Nippo Vini Fantini Faizanè,,1.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
9,10,13.0,+0:10,33,HODEG Álvaro José,22,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
10,11,14.0,+0:10,56,MOLANO Juan Sebastián,24,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
11,12,15.0,+0:10,2,GIDICH Yevgeniy,22,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
12,13,16.0,+0:10,72,MALUCELLI Matteo,25,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
13,14,17.0,+0:10,102,PARRA Jordan,24,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
14,15,18.0,+0:10,75,ABERASTURI Jon,30,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
15,16,19.0,+0:10,101,GÓMEZ Bryan,24,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
16,17,20.0,+0:10,95,VIEJO José Daniel,21,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
17,18,21.0,+0:10,77,SOTO Nelson Andrés,24,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
18,19,22.0,+0:10,67,SUREDA Jaume,22,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
19,20,23.0,+0:10,93,BARTHE Cyril,23,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
20,21,24.0,+0:10,161,ÖRKEN Ahmet,26,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
21,22,25.0,+0:10,44,CAVENDISH Mark,33,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
22,23,26.0,+0:10,103,CHIA Luis Carlos,22,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
23,24,27.0,+0:10,135,MURPHY John,34,Rally UHC Cycling,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
24,25,28.0,+0:10,145,VAN POUCKE Aaron,21,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
25,26,29.0,+0:10,65,LÓPEZ Daniel,25,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
26,27,30.0,+0:10,157,CALDEIRA Samuel José,33,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
27,28,31.0,+0:10,156,PINTO Edgar,33,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
28,29,32.0,+0:10,71,CAÑELLAS Xavier,22,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
29,30,33.0,+0:10,5,KUDUS Merhawi,25,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
30,31,34.0,+0:10,17,ARCHBOLD Shane,30,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
31,32,6.0,+0:09,143,DE VYLDER Lindsay,23,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
32,33,35.0,+0:10,62,GIBSON Matthew,22,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
33,34,36.0,+0:10,55,POLANC Jan,26,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
34,35,37.0,+0:10,13,GROßSCHARTNER Felix,25,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
35,36,38.0,+0:10,41,GIBBONS Ryan,24,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
36,37,39.0,+0:10,85,NAVARDAUSKAS Ramūnas,31,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
37,38,40.0,+0:10,132,COTÉ Pier-André,21,Rally UHC Cycling,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
38,39,41.0,+0:10,162,BALKAN Onur,23,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
39,40,42.0,+0:10,125,NAKANE Hideto,28,Nippo Vini Fantini Faizanè,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
40,41,43.0,+0:10,116,SCHÖNBERGER Sebastian,24,Neri Sottoli - Selle Italia - KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
41,42,44.0,+0:10,45,RENSHAW Mark,36,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
42,43,45.0,+0:10,43,DE BOD Stefan,22,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
43,44,46.0,+0:10,32,EVENEPOEL Remco,19,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
44,45,47.0,+0:10,57,RIABUSHENKO Alexandr,23,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
45,46,48.0,+0:10,36,MØRKØV Michael,33,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
46,47,49.0,+0:10,155,MESTRE Ricardo,35,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
47,48,50.0,+0:10,35,MARTINELLI Davide,25,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
48,49,51.0,+0:10,52,CONTI Valerio,26,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
49,50,52.0,+0:10,46,O'CONNOR Ben,23,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
50,51,53.0,+0:10,37,RICHEZE Maximiliano,36,Deceuninck - Quick Step,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
51,52,54.0,+0:10,3,NATAROV Yuriy,22,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
52,53,55.0,+0:10,4,ZAKHAROV Artyom,27,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
53,54,56.0,+0:10,14,PFINGSTEN Christoph,31,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
54,55,57.0,+0:10,153,REIS Rafael,26,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
55,56,58.0,+0:10,64,BICO Nuno,24,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
56,57,59.0,+0:10,152,ALARCÓN Raúl,33,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
57,58,60.0,+0:10,167,DOĞAN Halil İbrahim,18,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
58,59,61.0,+0:10,87,ROCHAS Rémy,22,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
59,60,62.0,+0:10,1,FOMINYKH Daniil,27,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
60,61,63.0,+0:10,134,MAGNER Ty,27,Rally UHC Cycling,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
61,62,64.0,+0:10,147,WILLEMS Thimo,23,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
62,63,65.0,+0:10,81,FERNÁNDEZ Delio,33,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
63,64,66.0,+0:10,82,FINETTO Mauro,33,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
64,65,67.0,+0:10,115,MARENGO Umberto,26,Neri Sottoli - Selle Italia - KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
65,66,68.0,+0:10,86,DE ROSSI Lucas,23,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
66,67,69.0,+0:10,91,SANZ Enrique,29,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
67,68,70.0,+0:10,84,MORENO Javier,34,Delko Marseille Provence,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
68,69,71.0,+0:10,16,SCHWARZMANN Michael,28,BORA - hansgrohe,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
69,70,72.0,+0:10,94,IRIZAR Julen,24,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
70,71,73.0,+0:10,151,CÉSAR VELOSO Gustavo,39,W52 / FC Porto,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
71,72,74.0,+0:10,42,DAVIES Scott,23,Team Dimension Data,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
72,73,75.0,+0:10,97,BERRADE Urko,21,Euskadi Basque Country - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
73,74,76.0,+0:10,142,DE PAUW Moreno,27,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
74,75,77.0,+0:10,106,SIERRA Yecid,24,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
75,76,78.0,+0:10,166,SAYAR Mustafa,29,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,1,16 April 2019,44.231 km/h,7,156.7 km,128
