,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,77.0,+8:15,53,HODEG Álvaro José,22,Quick-Step Floors,40.0,35.0,3:15:12,Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
1,2,72.0,+7:40,82,DEGENKOLB John,29,Trek - Segafredo,15.0,20.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
2,3,2.0,+0:04,64,HAAS Nathan,29,Team Katusha Alpecin,6.0,12.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
3,4,97.0,+11:42,41,BENNETT Sam,27,BORA - hansgrohe,,9.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
4,5,80.0,+8:51,163,NOPPE Christophe,23,Sport Vlaanderen - Baloise,,7.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
5,6,63.0,+5:42,76,THEUNS Edward,27,Team Sunweb,,5.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
6,7,98.0,+11:42,115,SAJNOK Szymon,21,CCC Sprandi Polkowice,,3.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
7,8,103.0,+12:30,56,RICHEZE Maximiliano,35,Quick-Step Floors,,2.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
8,9,86.0,+9:38,147,PORSEV Alexander,32,Gazprom-RusVelo,,1.0,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
9,10,78.0,+8:17,3,CONSONNI Simone,24,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
10,11,85.0,+9:32,167,VAN ROOY Kenneth,25,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
11,12,43.0,+2:19,23,HAUSSLER Heinrich,34,Bahrain Merida Pro Cycling Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
12,13,6.0,+0:10,85,GUERREIRO Ruben,24,Trek - Segafredo,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
13,14,27.0,+0:49,105,SERRANO Gonzalo,24,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
14,15,61.0,+5:21,172,JULES Justin,32,WB Aqua Protect Veranclassic,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
15,16,8.0,+0:10,63,FABBRO Matteo,23,Team Katusha Alpecin,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
16,17,17.0,+0:25,162,DELTOMBE Kevin,24,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
17,18,58.0,+4:42,34,DRUCKER Jempy,32,BMC Racing Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
18,19,26.0,+0:47,155,GARCÍA Jhojan,20,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
19,20,87.0,+9:38,123,JONES Brenton,26,Delko Marseille Provence KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
20,21,101.0,+12:13,103,IRISARRI Jon,22,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
21,22,46.0,+2:31,171,MASSON Christophe,33,WB Aqua Protect Veranclassic,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
22,23,71.0,+7:03,132,ARISTI Mikel,25,Euskadi - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
23,24,21.0,+0:39,106,FERRARI Fabricio,33,Caja Rural - Seguros RGA,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
24,25,4.0,+0:06,135,PRADES Eduard,31,Euskadi - Murias,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
25,26,22.0,+0:41,176,PEYSKENS Dimitri,26,WB Aqua Protect Veranclassic,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
26,27,41.0,+1:55,174,LIETAER Eliot,28,WB Aqua Protect Veranclassic,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
27,28,111.0,+14:38,183,PACIONI Luca,25,Wilier Triestina - Selle Italia,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
28,29,19.0,+0:33,66,HOLLENSTEIN Reto,33,Team Katusha Alpecin,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
29,30,10.0,+0:10,36,ROCHE Nicolas,34,BMC Racing Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
30,31,84.0,+9:28,191,ÖRKEN Ahmet,25,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
31,32,3.0,+0:04,1,ULISSI Diego,29,UAE-Team Emirates,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
32,33,7.0,+0:10,121,FERNÁNDEZ Delio,32,Delko Marseille Provence KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
33,34,76.0,+8:09,145,TRUSOV Nikolay,33,Gazprom-RusVelo,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
34,35,15.0,+0:22,164,SPRENGERS Thomas,28,Sport Vlaanderen - Baloise,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
35,36,5.0,+0:09,83,FELLINE Fabio,28,Trek - Segafredo,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
36,37,47.0,+2:44,122,TRARIEUX Julien,26,Delko Marseille Provence KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
37,38,16.0,+0:24,157,ORJUELA Fernando,26,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
38,39,13.0,+0:19,75,TEUNISSEN Mike,26,Team Sunweb,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
39,40,9.0,+0:10,127,FINETTO Mauro,33,Delko Marseille Provence KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
40,41,53.0,+4:06,197,SAYAR Mustafa,29,Turkey,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
41,42,99.0,+11:48,125,KASPERKIEWICZ Przemysław,24,Delko Marseille Provence KTM,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
42,43,36.0,+1:28,116,BROŻYNA Piotr,23,CCC Sprandi Polkowice,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
43,44,75.0,+7:50,32,BOHLI Tom,24,BMC Racing Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
44,45,1.0,+0:00,14,LUTSENKO Alexey,26,Astana Pro Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
45,46,18.0,+0:25,141,ROVNY Ivan,31,Gazprom-RusVelo,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
46,47,64.0,+5:42,73,FRÖHLINGER Johannes,33,Team Sunweb,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
47,48,91.0,+10:46,173,KIRSCH Alex,26,WB Aqua Protect Veranclassic,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
48,49,107.0,+13:14,24,NAVARDAUSKAS Ramūnas,30,Bahrain Merida Pro Cycling Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
49,50,66.0,+6:02,91,BOL Jetse,29,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
50,51,105.0,+13:06,95,RUBIO Diego,27,Burgos-BH,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
51,52,48.0,+2:54,31,BEVIN Patrick,27,BMC Racing Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
52,53,11.0,+0:10,35,FRANKINY Kilian,24,BMC Racing Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
53,54,24.0,+0:41,26,PADUN Mark,22,Bahrain Merida Pro Cycling Team,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
54,55,14.0,+0:19,153,AGUIRRE Hernán Ricardo,22,Manzana Postobon,,,",,0:00",Presidential_Cycling_Tour_of_Turkey,5,13 October 2018,42.2 km/h,5,137.3 km,73
