,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,17,VIVIANI Elia,30,Deceuninck - Quick Step,300.0,200.0,3:46:15,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
1,2,4,BENNETT Sam,28,BORA - hansgrohe,250.0,150.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
2,3,15,MØRKØV Michael,34,Deceuninck - Quick Step,215.0,120.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
3,4,26,STUYVEN Jasper,27,Trek - Segafredo,175.0,100.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
4,5,181,JANSEN Amund Grøndahl,25,Team Jumbo-Visma,120.0,90.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
5,6,163,NIZZOLO Giacomo,30,Team Dimension Data,115.0,80.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
6,7,47,KRISTOFF Alexander,32,UAE-Team Emirates,95.0,70.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
7,8,125,NAESEN Oliver,28,AG2R La Mondiale,75.0,60.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
8,9,151,DE BUYST Jasper,25,Lotto Soudal,60.0,50.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
9,10,93,HAYTER Ethan,20,Great Britain,50.0,40.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
10,11,173,HOFLAND Moreno,27,EF Education First,40.0,36.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
11,12,112,IMPEY Daryl,34,Mitchelton-Scott,35.0,32.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
12,13,92,WALLS Matthew,21,Great Britain,30.0,28.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
13,14,51,KOCH Jonas,26,CCC Team,25.0,24.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
14,15,33,COLBRELLI Sonny,29,Bahrain Merida,20.0,20.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
15,16,84,HALVORSEN Kristoffer,23,Team INEOS,20.0,16.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
16,17,141,CIMOLAI Davide,29,Israel Cycling Academy,20.0,14.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
17,18,161,GIBBONS Ryan,24,Team Dimension Data,20.0,12.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
18,19,137,TRARIEUX Julien,26,Delko Marseille Provence,20.0,10.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
19,20,122,DUVAL Julien,29,AG2R La Mondiale,20.0,9.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
20,21,156,MAES Nikolas,33,Lotto Soudal,12.0,8.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
21,22,134,FEDELI Alessandro,23,Delko Marseille Provence,12.0,7.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
22,23,63,CARDIS Romain,26,Team Total Direct Energie,12.0,6.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
23,24,75,NIEUWENHUIS Joris,23,Team Sunweb,12.0,5.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
24,25,157,THIJSSEN Gerben,21,Lotto Soudal,12.0,4.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
25,26,31,ARASHIRO Yukiya,34,Bahrain Merida,12.0,3.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
26,27,16,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,12.0,3.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
27,28,186,TEUNISSEN Mike,26,Team Jumbo-Visma,12.0,3.0,",,0:00",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
28,29,85,KNEES Christian,38,Team INEOS,12.0,3.0,0:090:09,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
29,30,45,FERRARI Roberto,36,UAE-Team Emirates,12.0,3.0,0:130:13,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
30,31,147,VAN WINDEN Dennis,31,Israel Cycling Academy,5.0,3.0,0:210:21,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
31,32,14,MARTINELLI Davide,26,Deceuninck - Quick Step,5.0,3.0,0:240:24,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
32,33,43,MARCATO Marco,35,UAE-Team Emirates,5.0,3.0,0:340:34,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
33,34,32,BAUHAUS Phil,25,Bahrain Merida,5.0,3.0,0:350:35,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
34,35,101,DÉMARE Arnaud,27,Groupama - FDJ,5.0,3.0,",,0:35",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
35,36,177,VANMARCKE Sep,31,EF Education First,5.0,3.0,",,0:35",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
36,37,83,GANNA Filippo,23,Team INEOS,5.0,3.0,",,0:35",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
37,38,13,KEISSE Iljo,36,Deceuninck - Quick Step,5.0,3.0,",,0:35",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
38,39,72,CURVERS Roy,39,Team Sunweb,5.0,3.0,0:390:39,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
39,40,126,VANDENBERGH Stijn,35,AG2R La Mondiale,5.0,3.0,0:400:40,Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
40,41,146,VAN ASBROECK Tom,29,Israel Cycling Academy,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
41,42,133,GUERIN Alexis,27,Delko Marseille Provence,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
42,43,76,PEDERSEN Casper,23,Team Sunweb,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
43,44,54,VAN HOOYDONCK Nathan,23,CCC Team,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
44,45,123,BAGDONAS Gediminas,33,AG2R La Mondiale,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
45,46,52,SCHÄR Michael,32,CCC Team,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
46,47,196,TANFIELD Harry,24,Team Katusha Alpecin,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
47,48,121,DENZ Nico,25,AG2R La Mondiale,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
48,49,82,ROSA Diego,30,Team INEOS,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
49,50,57,WIŚNIOWSKI Łukasz,27,CCC Team,5.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
50,51,37,SIEBERG Marcel,37,Bahrain Merida,2.0,3.0,",,0:40",Prudential_RideLondon_Surrey_Classic,0,04 August 2019,44.287 km/h,25,167 km,38
