,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,31,VAN AVERMAET Greg,31,BMC Racing Team,400.0,225.0,4:48:17,Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
1,2,12,GILBERT Philippe,34,Quick-Step Floors,320.0,150.0,",,0:00",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
2,3,52,NAESEN Oliver,26,AG2R La Mondiale,260.0,110.0,",,0:00",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
3,4,113,DURBRIDGE Luke,25,ORICA-Scott,220.0,90.0,0:400:40,Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
4,5,6,PÖSTLBERGER Lukas,25,BORA - hansgrohe,180.0,80.0,0:410:41,Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
5,6,68,VALGREN Michael,25,Astana Pro Team,140.0,70.0,0:520:52,Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
6,7,74,COLBRELLI Sonny,26,Bahrain Merida Pro Cycling Team,120.0,60.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
7,8,11,BOONEN Tom,36,Quick-Step Floors,100.0,50.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
8,9,87,VAN BAARLE Dylan,24,Cannondale-Drapac Pro Cycling Team,80.0,46.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
9,10,86,BETTIOL Alberto,23,Cannondale-Drapac Pro Cycling Team,68.0,42.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
10,11,165,FELLINE Fabio,26,Trek - Segafredo,56.0,38.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
11,12,111,KEUKELEIRE Jens,28,ORICA-Scott,48.0,34.0,",,0:52",Record_Bank_E3_Harelbeke,0,24 March 2017,42.9 km/h,0,206.1 km,28
