,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,BOONEN Tom,31,Omega Pharma - Quick-Step,100.0,275.0,6:04:33,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
1,2,0,POZZATO Filippo,30,Farnese Vini-Neri-Sottoli,80.0,200.0,",,0:00",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
2,3,0,BALLAN Alessandro,32,BMC Racing Team,70.0,150.0,0:010:01,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
3,4,0,VAN AVERMAET Greg,26,BMC Racing Team,60.0,120.0,0:380:38,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
4,5,0,SAGAN Peter,22,Liquigas - Cannondale,50.0,100.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
5,6,0,TERPSTRA Niki,27,Omega Pharma - Quick-Step,40.0,90.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
6,7,0,PAOLINI Luca,35,Team Katusha,30.0,80.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
7,8,0,VOECKLER Thomas,32,Team Europcar,20.0,70.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
8,9,0,BRESCHEL Matti,27,Rabobank Cycling Team,10.0,60.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
9,10,0,CHAVANEL Sylvain,32,Omega Pharma - Quick-Step,4.0,50.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
10,11,0,RAST Grégory,32,RadioShack - Nissan,,46.0,",,0:38",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,01 April 2012,42.134 km/h,0,256 km,16
