,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,51,VAN DER POEL Mathieu,25,Alpecin-Fenix,500.0,275.0,5:43:17,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
1,2,41,VAN AERT Wout,26,Team Jumbo-Visma,400.0,200.0,",,0:00",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
2,3,181,KRISTOFF Alexander,33,UAE-Team Emirates,325.0,150.0,0:080:08,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
3,4,245,TURGIS Anthony,26,Team Total Direct Energie,275.0,120.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
4,5,15,LAMPAERT Yves,29,Deceuninck - Quick Step,225.0,100.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
5,6,192,CLAEYS Dimitri,33,"Cofidis, Solutions Crédits",175.0,90.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
6,7,31,NAESEN Oliver,30,AG2R La Mondiale,150.0,80.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
7,8,157,VAN BAARLE Dylan,28,INEOS Grenadiers,125.0,70.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
8,9,23,DEGENKOLB John,31,Lotto Soudal,100.0,60.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
9,10,161,BENOOT Tiesj,26,Team Sunweb,85.0,50.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
10,11,117,TEUNS Dylan,28,Bahrain - McLaren,70.0,46.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
11,12,16,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,60.0,42.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
12,13,12,ASGREEN Kasper,25,Deceuninck - Quick Step,50.0,38.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
13,14,96,MADOUAS Valentin,24,Groupama - FDJ,40.0,34.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
14,15,215,MEURISSE Xandro,28,Circus - Wanty Gobert,35.0,30.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
15,16,1,BETTIOL Alberto,26,EF Pro Cycling,30.0,28.0,",,0:08",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
16,17,2,VANMARCKE Sep,32,EF Pro Cycling,30.0,26.0,0:160:16,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
17,18,22,DE BUYST Jasper,26,Lotto Soudal,30.0,24.0,2:412:41,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
18,19,101,POLITT Nils,26,Israel Start-Up Nation,30.0,22.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
19,20,183,BYSTRØM Sven Erik,28,UAE-Team Emirates,30.0,20.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
20,21,145,VALGREN Michael,28,NTT Pro Cycling,20.0,19.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
21,22,222,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,20.0,18.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
22,23,126,MEZGEC Luka,32,Mitchelton-Scott,20.0,17.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
23,24,217,PASQUALON Andrea,32,Circus - Wanty Gobert,20.0,16.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
24,25,37,BARDET Romain,29,AG2R La Mondiale,20.0,15.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
25,26,86,STUYVEN Jasper,28,Trek - Segafredo,20.0,14.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
26,27,4,KEUKELEIRE Jens,31,EF Pro Cycling,20.0,13.0,",,2:41",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
27,28,144,GOGL Michael,26,NTT Pro Cycling,20.0,12.0,2:492:49,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
28,29,202,LIVYNS Arjen,26,Bingoal - Wallonie Bruxelles,20.0,11.0,3:053:05,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
29,30,143,WALSCHEID Max,27,NTT Pro Cycling,20.0,10.0,4:034:03,Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
30,31,191,ALLEGAERT Piet,25,"Cofidis, Solutions Crédits",10.0,9.0,",,4:03",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
31,32,107,VAN ASBROECK Tom,30,Israel Start-Up Nation,10.0,8.0,",,4:03",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
32,33,167,NIEUWENHUIS Joris,24,Team Sunweb,10.0,7.0,",,4:03",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
33,34,56,VERGAERDE Otto,26,Alpecin-Fenix,10.0,6.0,",,4:03",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
34,35,35,NAESEN Lawrence,28,AG2R La Mondiale,10.0,5.0,",,4:03",Ronde_van_Vlaanderen___Tour_des_Flandres_ME,0,18 October 2020,42.52 km/h,45,243.3 km,13
