,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,49.0,+2:09,31,EWAN Caleb,25,Lotto Soudal,60.0,50.0,3:29:08,Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
1,2,70.0,+5:20,51,BENNETT Sam,29,Deceuninck - Quick Step,25.0,30.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
2,3,56.0,+2:34,91,PHILIPSEN Jasper,21,UAE-Team Emirates,10.0,18.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
3,4,43.0,+1:20,81,GREIPEL André,37,Israel Start-Up Nation,,13.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
4,5,95.0,+10:13,124,DAINESE Alberto,21,Team Sunweb,,10.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
5,6,111.0,+12:09,104,LAAS Martin,26,BORA - hansgrohe,,7.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
6,7,99.0,+10:22,151,NIZZOLO Giacomo,30,NTT Pro Cycling,,4.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
7,8,129.0,+18:59,102,BAŠKA Erik,26,BORA - hansgrohe,,3.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
8,9,78.0,+6:36,136,SARREAU Marc,26,Groupama - FDJ,,2.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
9,10,69.0,+5:09,57,MØRKØV Michael,34,Deceuninck - Quick Step,,1.0,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
10,11,44.0,+1:31,141,ROELANDTS Jürgen,34,Movistar Team,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
11,12,6.0,+0:15,97,ULISSI Diego,30,UAE-Team Emirates,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
12,13,27.0,+0:44,26,VENDRAME Andrea,25,AG2R La Mondiale,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
13,14,25.0,+0:41,194,DRIZNERS Jarrad,20,UniSA-Australia,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
14,15,66.0,+4:43,181,HALVORSEN Kristoffer,23,EF Pro Cycling,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
15,16,52.0,+2:29,164,ROOSEN Timo,27,Team Jumbo-Visma,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
16,17,2.0,+0:03,1,IMPEY Daryl,35,Mitchelton-Scott,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
17,18,106.0,+11:18,195,WELSFORD Sam,24,UniSA-Australia,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
18,19,9.0,+0:15,67,VAN BAARLE Dylan,27,Team INEOS,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
19,20,38.0,+1:00,87,ZABEL Rick,26,Israel Start-Up Nation,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
20,21,11.0,+0:25,92,BYSTRØM Sven Erik,28,UAE-Team Emirates,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
21,22,29.0,+0:44,145,MAS Lluís,30,Movistar Team,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
22,23,8.0,+0:15,61,DENNIS Rohan,29,Team INEOS,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
23,24,23.0,+0:37,111,SÁNCHEZ Luis León,36,Astana Pro Team,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
24,25,80.0,+6:44,41,VIVIANI Elia,30,"Cofidis, Solutions Crédits",,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
25,26,28.0,+0:44,115,FELLINE Fabio,29,Astana Pro Team,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
26,27,5.0,+0:14,161,BENNETT George,29,Team Jumbo-Visma,,,",,0:00",Santos_Tour_Down_Under,4,24 January 2020,43.84 km/h,15,152.8 km,40
