,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,62,ALAPHILIPPE Julian,26,Deceuninck - Quick Step,300.0,200.0,4:47:14,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
1,2,21,FUGLSANG Jakob,33,Astana Pro Team,250.0,150.0,0:020:02,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
2,3,141,VAN AERT Wout,24,Team Jumbo-Visma,215.0,120.0,0:270:27,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
3,4,61,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,175.0,100.0,1:001:00,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
4,5,1,BENOOT Tiesj,24,Lotto Soudal,120.0,90.0,",,1:00",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
5,6,51,VAN AVERMAET Greg,33,CCC Team,115.0,80.0,1:011:01,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
6,7,27,LUTSENKO Alexey,26,Astana Pro Team,95.0,70.0,1:041:04,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
7,8,73,CLARKE Simon,32,EF Education First,75.0,60.0,1:081:08,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
8,9,197,SKUJIŅŠ Toms,27,Trek - Segafredo,60.0,50.0,1:121:12,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
9,10,7,WELLENS Tim,27,Lotto Soudal,50.0,40.0,1:211:21,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
10,11,65,LAMPAERT Yves,27,Deceuninck - Quick Step,40.0,36.0,1:281:28,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
11,12,161,THOMAS Geraint,32,Team Sky,35.0,32.0,2:412:41,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
12,13,66,SERRY Pieter,30,Deceuninck - Quick Step,30.0,28.0,",,2:41",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
13,14,14,DILLIER Silvan,28,AG2R La Mondiale,25.0,24.0,2:422:42,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
14,15,81,KÜNG Stefan,25,Groupama - FDJ,20.0,20.0,2:442:44,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
15,16,123,CANOLA Marco,30,Nippo Vini Fantini Faizanè,20.0,16.0,",,2:44",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
16,17,186,OOMEN Sam,23,Team Sunweb,20.0,14.0,",,2:44",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
17,18,93,DURBRIDGE Luke,27,Mitchelton-Scott,20.0,12.0,2:472:47,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
18,19,94,JUUL-JENSEN Christopher,29,Mitchelton-Scott,20.0,10.0,2:482:48,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
19,20,131,KREUZIGER Roman,32,Team Dimension Data,20.0,9.0,",,2:48",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
20,21,92,BOOKWALTER Brent,35,Mitchelton-Scott,12.0,8.0,",,2:48",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
21,22,154,GUERREIRO Ruben,24,Team Katusha Alpecin,12.0,7.0,2:562:56,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
22,23,22,BALLERINI Davide,24,Astana Pro Team,12.0,6.0,2:572:57,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
23,24,167,ROSA Diego,29,Team Sky,12.0,5.0,3:003:00,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
24,25,102,OLIVEIRA Nelson,30,Movistar Team,12.0,4.0,3:063:06,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
25,26,156,KUZNETSOV Viacheslav,29,Team Katusha Alpecin,12.0,3.0,3:093:09,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
26,27,86,SEIGLE Romain,24,Groupama - FDJ,12.0,3.0,3:173:17,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
27,28,166,PUCCIO Salvatore,29,Team Sky,12.0,3.0,6:546:54,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
28,29,47,SCHACHMANN Maximilian,25,BORA - hansgrohe,12.0,3.0,",,6:54",Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
29,30,207,POGAČAR Tadej,20,UAE-Team Emirates,12.0,3.0,8:048:04,Strade_Bianche,0,09 March 2019,38.436 km/h,98,184 km,29
