,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,SCARPONI Michele,31,Lampre - ISD,6.0,50.0,6:10:59,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
1,2,,,0,CUNEGO Damiano,29,Lampre - ISD,4.0,30.0,",,0:00",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
2,3,,,0,EVANS Cadel,34,BMC Racing Team,2.0,18.0,",,0:00",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
3,4,,,0,BASSO Ivan,33,Liquigas - Cannondale,1.0,13.0,0:020:02,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
4,5,,,0,DI LUCA Danilo,35,Team Katusha,1.0,10.0,0:060:06,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
5,6,,,0,GESINK Robert,24,Rabobank Cycling Team,,7.0,0:120:12,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
6,7,,,0,NOCENTINI Rinaldo,33,AG2R La Mondiale,,4.0,",,0:12",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
7,8,,,0,NIBALI Vincenzo,26,Liquigas - Cannondale,,3.0,",,0:12",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
8,9,,,0,LÖFKVIST Thomas,26,Sky Procycling,,2.0,0:160:16,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
9,10,,,0,GILBERT Philippe,28,Omega Pharma-Lotto,,1.0,",,0:16",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
10,11,,,0,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,,,0:220:22,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
11,12,,,0,CARUSO Damiano,23,Liquigas - Cannondale,,,0:240:24,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
12,13,,,0,GARZELLI Stefano,37,Acqua & Sapone,,,",,0:24",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
13,14,,,0,CASTROVIEJO Jonathan,23,Euskaltel - Euskadi,,,",,0:24",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
14,15,,,0,MACHADO Tiago,25,RadioShack,,,",,0:24",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
15,16,,,0,VAN AVERMAET Greg,25,BMC Racing Team,,,",,0:24",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
16,17,,,0,CLARKE Simon,24,Pro Team Astana,,,",,0:24",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
17,18,,,0,LANGEVELD Sebastian,26,Rabobank Cycling Team,,,0:310:31,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
18,19,,,0,MARCATO Marco,27,Vacansoleil - DCM,,,0:360:36,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
19,20,,,0,KOLOBNEV Alexandr,29,Team Katusha,,,0:370:37,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
20,21,,,0,IZAGIRRE Ion,22,Euskaltel - Euskadi,,,0:390:39,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
21,22,,,0,GASPAROTTO Enrico,28,Pro Team Astana,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
22,23,,,0,PINOTTI Marco,35,HTC - High Road,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
23,24,,,0,CUMMINGS Steve,29,Sky Procycling,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
24,25,,,0,CANCELLARA Fabian,29,Leopard Trek,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
25,26,,,0,TOSATTO Matteo,36,Saxo Bank - Sungard,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
26,27,,,0,VELITS Peter,26,HTC - High Road,,,",,0:39",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
27,28,,,0,MURAVYEV Dmitriy,31,RadioShack,,,0:470:47,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
28,29,,,0,MADRAZO Ángel,22,Movistar Team,,,",,0:47",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
29,30,,,0,KIRYIENKA Vasil,29,Movistar Team,,,",,0:47",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
30,31,,,0,VELASCO Iván,31,Euskaltel - Euskadi,,,",,0:47",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
31,32,,,0,ALBASINI Michael,30,HTC - High Road,,,",,0:47",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
32,33,,,0,BALLAN Alessandro,31,BMC Racing Team,,,0:550:55,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
33,34,,,0,HINCAPIE George,37,BMC Racing Team,,,1:021:02,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
34,35,,,0,SCHLECK Andy,25,Leopard Trek,,,1:061:06,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
35,36,,,0,LELAY David,31,AG2R La Mondiale,,,",,1:06",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
36,37,,,0,MONTAGUTI Matteo,27,AG2R La Mondiale,,,",,1:06",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
37,38,,,0,TANKINK Bram,32,Rabobank Cycling Team,,,",,1:06",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
38,39,,,0,FLECHA Juan Antonio,33,Sky Procycling,,,",,1:06",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
39,40,,,0,POELS Wout,23,Vacansoleil - DCM,,,1:091:09,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
40,41,,,0,DEVENYNS Dries,27,Quickstep Cycling Team,,,",,1:09",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
41,42,,,0,ARROYO David,31,Movistar Team,,,1:181:18,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
42,43,,,0,OROZ Juan José,30,Euskaltel - Euskadi,,,",,1:18",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
43,44,,,0,FAILLI Francesco,27,Farnese Vini-Neri-Sottoli,,,",,1:18",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
44,45,,,0,IGLINSKIY Maxim,29,Pro Team Astana,,,",,1:18",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
45,46,,,0,NUYENS Nick,30,Saxo Bank - Sungard,,,1:331:33,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
46,47,,,0,CARUSO Giampaolo,30,Team Katusha,,,",,1:33",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
47,48,,,0,CODOL Massimo,38,Acqua & Sapone,,,",,1:33",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
48,49,,,0,MARTÍNEZ Egoi,32,Euskaltel - Euskadi,,,1:381:38,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
49,50,,,0,TXURRUKA Amets,28,Euskaltel - Euskadi,,,",,1:38",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
50,51,,,0,TABORRE Fabio,25,Acqua & Sapone,,,1:431:43,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
51,52,,,0,KLIER Andreas,35,Team Garmin - Cervélo,,,",,1:43",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
52,53,,,0,VENTOSO Francisco José,28,Movistar Team,,,1:551:55,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
53,54,,,0,SELVAGGI Mirko,26,Vacansoleil - DCM,,,",,1:55",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
54,55,,,0,HUSHOVD Thor,33,Team Garmin - Cervélo,,,",,1:55",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
55,56,,,0,MIHOLJEVIĆ Vladimir,37,Acqua & Sapone,,,",,1:55",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
56,57,,,0,POZZATO Filippo,29,Team Katusha,,,3:063:06,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
57,58,,,0,FREIRE Óscar,35,Rabobank Cycling Team,,,3:203:20,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
58,59,,,0,O'GRADY Stuart,37,Leopard Trek,,,",,3:20",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
59,60,,,0,OSS Daniel,24,Liquigas - Cannondale,,,6:066:06,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
60,61,,,0,NIEMIEC Przemysław,30,Lampre - ISD,,,6:366:36,Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
61,62,,,0,MALACARNE Davide,23,Quickstep Cycling Team,,,",,6:36",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
62,63,,,0,BEPPU Fumiyuki,27,RadioShack,,,",,6:36",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
63,64,,,0,WYNANTS Maarten,28,Rabobank Cycling Team,,,",,6:36",Tirreno-Adriatico,4,12 March 2011,38.816 km/h,0,240 km,5
