,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,62,ACKERMANN Pascal,26,BORA - hansgrohe,60.0,50.0,5:01:53,Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
1,2,2,+0:08,231,GAVIRIA Fernando,26,UAE-Team Emirates,25.0,30.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
2,3,4,+0:16,137,ZABEL Rick,26,Israel Start-Up Nation,10.0,18.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
3,4,83,+0:20,91,BALLERINI Davide,25,Deceuninck - Quick Step,,13.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
4,5,80,+0:20,12,MERLIER Tim,27,Alpecin-Fenix,,10.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
5,6,9,+0:20,133,CIMOLAI Davide,31,Israel Start-Up Nation,,7.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
6,7,10,+0:20,213,MANZIN Lorrenzo,26,Team Total Direct Energie,,4.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
7,8,18,+0:20,23,PACIONI Luca,27,Androni Giocattoli - Sidermec,,3.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
8,9,86,+0:20,147,VERMEERSCH Florian,21,Lotto Soudal,,2.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
9,10,34,+0:20,195,TEUNISSEN Mike,28,Team Jumbo-Visma,,1.0,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
10,11,12,+0:20,113,CIMA Imerio,22,Gazprom - RusVelo,,,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
11,12,3,+0:16,106,CORT Magnus,27,EF Pro Cycling,,,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
12,13,82,+0:20,172,BARBERO Carlos,29,NTT Pro Cycling,,,",,0:00",Tirreno_Adriatico,2,08 September 2020,39.95 km/h,17,201 km,13
