,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,116,ŠTYBAR Zdeněk,30,Etixx - Quick Step,60.0,50.0,5:10:03,Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
1,2,8.0,+0:14,1,SAGAN Peter,26,Tinkoff,25.0,30.0,0:010:01,Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
2,3,37.0,+1:08,101,BOASSON HAGEN Edvald,28,Team Dimension Data,10.0,18.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
3,4,51.0,+2:12,83,CLARKE Simon,29,Cannondale Pro Cycling Team,,13.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
4,5,23.0,+0:38,161,VALVERDE Alejandro,35,Movistar Team,,10.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
5,6,13.0,+0:24,31,NIBALI Vincenzo,31,Astana Pro Team,,7.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
6,7,2.0,+0:09,58,VAN AVERMAET Greg,30,BMC Racing Team,,4.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
7,8,72.0,+3:19,152,BENOOT Tiesj,21,Lotto Soudal,,3.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
8,9,18.0,+0:30,215,KWIATKOWSKI Michał,25,Team Sky,,2.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
9,10,6.0,+0:11,112,BRAMBILLA Gianluca,28,Etixx - Quick Step,,1.0,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
10,11,19.0,+0:30,216,POELS Wout,28,Team Sky,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
11,12,41.0,+1:35,141,ULISSI Diego,26,Lampre - Merida,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
12,13,21.0,+0:34,178,YATES Adam,23,Orica GreenEDGE,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
13,14,11.0,+0:20,7,KREUZIGER Roman,29,Tinkoff,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
14,15,17.0,+0:26,221,MOLLEMA Bauke,29,Trek - Segafredo,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
15,16,38.0,+1:08,193,CHERNETSKI Sergei,25,Team Katusha,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
16,17,3.0,+0:09,51,VAN GARDEREN Tejay,27,BMC Racing Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
17,18,24.0,+0:38,164,MORENO Daniel,34,Movistar Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
18,19,52.0,+2:12,81,URÁN Rigoberto,29,Cannondale Pro Cycling Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
19,20,22.0,+0:34,171,CHAVES Esteban,26,Orica GreenEDGE,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
20,21,4.0,+0:09,52,CARUSO Damiano,28,BMC Racing Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
21,22,14.0,+0:24,34,FUGLSANG Jakob,30,Astana Pro Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
22,23,39.0,+1:13,91,REBELLIN Davide,44,CCC Sprandi Polkowice,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
23,24,86.0,+4:21,24,GAVAZZI Francesco,31,Androni Giocattoli - Sidermec,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
24,25,15.0,+0:24,35,GRIVKO Andrey,32,Astana Pro Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
25,26,32.0,+0:59,15,PERAUD Jean-Christophe,38,AG2R La Mondiale,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
26,27,12.0,+0:20,6,GATTO Oscar,31,Tinkoff,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
27,28,16.0,+0:24,37,SCARPONI Michele,36,Astana Pro Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
28,29,27.0,+0:47,204,ROGLIČ Primož,26,Team LottoNL-Jumbo,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
29,30,25.0,+0:38,165,OLIVEIRA Nelson,27,Movistar Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
30,31,9.0,+0:18,121,PINOT Thibaut,25,FDJ,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
31,32,10.0,+0:18,127,REICHENBACH Sébastien,26,FDJ,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
32,33,7.0,+0:11,114,JUNGELS Bob,23,Etixx - Quick Step,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
33,34,33.0,+0:59,12,BAKELANTS Jan,30,AG2R La Mondiale,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
34,35,53.0,+2:12,84,FORMOLO Davide,23,Cannondale Pro Cycling Team,,,",,0:01",Tirreno_Adriatico,2,10 March 2016,40.06 km/h,0,207 km,8
