,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,79.0,+36:39,45,DENNIS Rohan,27,BMC Racing Team,60.0,50.0,0:11:14,53.68,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
1,2,70.0,+31:25,162,VAN EMDEN Jos,33,Team LottoNL-Jumbo,25.0,30.0,0:040:04,53.363,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
2,3,80.0,+36:44,172,CASTROVIEJO Jonathan,30,Team Sky,10.0,18.0,0:080:08,53.05,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
3,4,115.0,+55:14,195,PEDERSEN Mads,22,Trek - Segafredo,,13.0,",,0:08",53.05,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
4,5,53.0,+23:12,175,MOSCON Gianni,23,Team Sky,,10.0,0:120:12,52.74100000000001,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
5,6,68.0,+31:22,95,HEPBURN Michael,26,Mitchelton-Scott,,7.0,0:130:13,52.663999999999994,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
6,7,49.0,+21:39,93,BAUER Jack,32,Mitchelton-Scott,,4.0,",,0:13",52.663999999999994,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
7,8,46.0,+19:47,94,DURBRIDGE Luke,26,Mitchelton-Scott,,3.0,0:170:17,52.358999999999995,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
8,9,29.0,+9:01,165,ROGLIČ Primož,28,Team LottoNL-Jumbo,,2.0,0:180:18,52.283,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
9,10,48.0,+20:05,173,KIRYIENKA Vasil,36,Team Sky,,1.0,",,0:18",52.283,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
10,11,34.0,+13:31,171,FROOME Chris,32,Team Sky,,,0:200:20,52.133,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
11,12,1.0,+0:00,174,KWIATKOWSKI Michał,27,Team Sky,,,",,0:20",52.133,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
12,13,3.0,+0:32,177,THOMAS Geraint,31,Team Sky,,,0:230:23,51.908,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
13,14,102.0,+47:20,43,BEVIN Patrick,27,BMC Racing Team,,,",,0:23",51.908,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
14,15,51.0,+22:46,105,OLIVEIRA Nelson,29,Movistar Team,,,",,0:23",51.908,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
15,16,78.0,+36:29,82,CAMPENAERTS Victor,26,Lotto Soudal,,,",,0:23",51.908,Tirreno_Adriatico,7,13 March 2018,53.68 km/h,0,10.05 km,3
