,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,48.0,+6:53,0,GREIPEL André,31,Lotto Belisol,6.0,50.0,3:33:07,Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
1,2,38.0,+3:29,0,ROELANDTS Jürgen,28,Lotto Belisol,4.0,30.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
2,3,56.0,+12:42,0,VIVIANI Elia,24,Cannondale,2.0,18.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
3,4,2.0,+0:07,0,GERRANS Simon,33,Orica GreenEDGE,1.0,13.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
4,5,4.0,+0:23,0,HAAS Nathan,24,Garmin Sharp,1.0,10.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
5,6,7.0,+0:33,0,IMPEY Daryl,29,Orica GreenEDGE,,7.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
6,7,18.0,+1:14,0,BOUET Maxime,27,AG2R La Mondiale,,4.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
7,8,69.0,+15:56,0,TRUSOV Nikolay,28,Tinkoff - Saxo,,3.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
8,9,14.0,+1:01,0,ROUX Anthony,26,FDJ.fr,,2.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
9,10,30.0,+2:33,0,GAVAZZI Francesco,29,Astana Pro Team,,1.0,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
10,11,40.0,+4:27,0,VON HOFF Steele,26,Garmin Sharp,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
11,12,46.0,+6:52,0,CANTWELL Jonathan,32,Drapac Professional Cycling,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
12,13,1.0,+0:00,0,EVANS Cadel,36,BMC Racing Team,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
13,14,15.0,+1:01,0,BAKELANTS Jan,27,Omega Pharma - Quick-Step,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
14,15,5.0,+0:29,0,GESINK Robert,27,Belkin-Pro Cycling Team,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
15,16,6.0,+0:29,0,THOMAS Geraint,27,Team Sky,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
16,17,45.0,+6:30,0,CLEMENT Stef,31,Belkin-Pro Cycling Team,,,",,0:00",Tour_Down_Under,4,24 January 2014,41.81 km/h,0,148.5 km,44
