,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,101,WIGGINS Bradley,32,Sky Procycling,20.0,100.0,1:04:13,49.986999999999995,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
1,2,2,+3:21,105,FROOME Chris,27,Sky Procycling,10.0,70.0,1:161:16,49.02,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
2,3,64,+2:05:08,155,SÁNCHEZ Luis León,28,Rabobank Cycling Team,6.0,50.0,1:501:50,48.6,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
3,4,27,+1:05:10,199,VELITS Peter,27,Omega Pharma - Quick-Step,4.0,40.0,2:022:02,48.453,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
4,5,34,+1:20:49,107,PORTE Richie,27,Sky Procycling,2.0,32.0,2:252:25,48.174,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
5,6,140,+3:27:14,215,GRETSCH Patrick,25,Argos - Shimano,,26.0,2:282:28,48.138000000000005,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
6,7,5,+11:04,9,VAN GARDEREN Tejay,23,BMC Racing Team,,22.0,2:342:34,48.066,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
7,8,77,+2:22:07,167,KIRYIENKA Vasil,31,Movistar Team,,18.0,2:462:46,47.922,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
8,9,36,+1:27:36,81,TAARAMÄE Rein,25,"Cofidis, le Crédit en Ligne",,14.0,2:502:50,47.875,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
9,10,66,+2:09:42,148,ROY Jérémy,29,FDJ - BigMat,,10.0,3:053:05,47.696999999999996,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
10,11,100,+2:52:38,69,ZABRISKIE David,33,Garmin Sharp,,8.0,3:123:12,47.614,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
11,12,112,+2:57:40,217,SPRICK Matthieu,30,Argos - Shimano,,6.0,3:203:20,47.52,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
12,13,102,+2:53:35,168,PLAZA Rubén,32,Movistar Team,,4.0,3:243:24,47.474,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
13,14,105,+2:55:04,56,OSS Daniel,25,Liquigas - Cannondale,,2.0,3:273:27,47.438,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
14,15,126,+3:15:23,147,ROUX Anthony,25,FDJ - BigMat,,1.0,3:343:34,47.357,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
15,16,3,+6:19,51,NIBALI Vincenzo,27,Liquigas - Cannondale,,,3:383:38,47.31,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
16,17,60,+1:58:40,68,VANDE VELDE Christian,36,Garmin Sharp,,,3:403:40,47.287,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
17,18,124,+3:13:06,195,GRABSCH Bert,37,Omega Pharma - Quick-Step,,,3:433:43,47.251999999999995,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
18,19,11,+17:54,15,KLÖDEN Andreas,37,RadioShack - Nissan,,,3:493:49,47.183,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
19,20,52,+1:50:41,18,VOIGT Jens,40,RadioShack - Nissan,,,",,3:49",47.183,Tour_de_France,19,21 July 2012,49.99 km/h,0,53.5 km,1
