,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,131,POGAČAR Tadej,21,UAE-Team Emirates,120.0,100.0,0:55:55,38.844,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
1,2,7,+7:48,14,DUMOULIN Tom,29,Team Jumbo-Visma,50.0,70.0,1:211:21,37.928000000000004,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
2,3,3,+3:30,101,PORTE Richie,35,Trek - Segafredo,25.0,50.0,",,1:21",37.928000000000004,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
3,4,20,+1:20:31,18,VAN AERT Wout,26,Team Jumbo-Visma,15.0,40.0,1:311:31,37.818000000000005,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
4,5,2,+0:59,11,ROGLIČ Primož,30,Team Jumbo-Visma,5.0,32.0,1:561:56,37.545,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
5,6,113,+4:57:16,44,CAVAGNA Rémi,25,Deceuninck - Quick Step,,26.0,1:591:59,37.513000000000005,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
6,7,10,+14:03,63,CARUSO Damiano,32,Bahrain - McLaren,,22.0,2:292:29,37.192,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
7,8,70,+3:38:50,133,DE LA CRUZ David,31,UAE-Team Emirates,,18.0,2:402:40,37.075,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
8,9,5,+6:07,94,MAS Enric,25,Movistar Team,,14.0,2:452:45,37.023,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
9,10,8,+8:02,71,URÁN Rigoberto,33,EF Pro Cycling,,10.0,2:542:54,36.928000000000004,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
10,11,28,+1:54:51,76,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,,8.0,3:193:19,36.669000000000004,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
11,12,16,+55:56,62,BILBAO Pello,30,Bahrain - McLaren,,6.0,3:203:20,36.658,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
12,13,21,+1:29:23,97,SOLER Marc,26,Movistar Team,,4.0,3:263:26,36.596,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
13,14,4,+5:58,61,LANDA Mikel,30,Bahrain - McLaren,,2.0,3:273:27,36.586,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
14,15,14,+31:04,83,BARGUIL Warren,28,Team Arkéa Samsic,,1.0,3:583:58,36.271,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
15,16,58,+3:04:58,205,KRAGH ANDERSEN Søren,26,Team Sunweb,,,3:593:59,36.26,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
16,17,55,+3:00:50,28,SCHACHMANN Maximilian,26,BORA - hansgrohe,,,",,3:59",36.26,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
17,18,98,+4:30:43,112,DE MARCHI Alessandro,34,CCC Team,,,4:064:06,36.19,Tour_de_France,20,19 September 2020,38.84 km/h,136,36.2 km,1
