,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,153.0,+29:13,151,EWAN Caleb,26,Lotto Soudal,120.0,100.0,5:17:42,Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
1,2,142.0,+29:04,43,BENNETT Sam,29,Deceuninck - Quick Step,50.0,70.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
2,3,143.0,+29:06,191,NIZZOLO Giacomo,31,NTT Pro Cycling,25.0,50.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
3,4,133.0,+28:30,174,HOFSTETTER Hugo,26,Israel Start-Up Nation,15.0,40.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
4,5,81.0,+18:00,21,SAGAN Peter,30,BORA - hansgrohe,5.0,32.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
5,6,83.0,+18:00,108,THEUNS Edward,29,Trek - Segafredo,,26.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
6,7,144.0,+29:06,203,BOL Cees,25,Team Sunweb,,22.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
7,8,107.0,+20:57,117,TRENTIN Matteo,31,CCC Team,,18.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
8,9,145.0,+29:10,211,COQUARD Bryan,28,B&B Hotels - Vital Concept p/b KTM,,14.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
9,10,167.0,+40:14,181,BONIFAZIO Niccolò,26,Team Total Direct Energie,,10.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
10,11,129.0,+28:30,167,MEZGEC Luka,32,Mitchelton-Scott,,8.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
11,12,116.0,+21:53,178,VAN ASBROECK Tom,30,Israel Start-Up Nation,,6.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
12,13,82.0,+18:00,115,KOCH Jonas,27,CCC Team,,4.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
13,14,108.0,+20:57,162,BAUER Jack,35,Mitchelton-Scott,,2.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
14,15,127.0,+28:20,135,KRISTOFF Alexander,33,UAE-Team Emirates,,1.0,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
15,16,115.0,+21:53,143,HOULE Hugo,29,Astana Pro Team,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
16,17,37.0,+1:27,97,SOLER Marc,26,Movistar Team,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
17,18,13.0,+0:17,146,LUTSENKO Alexey,27,Astana Pro Team,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
18,19,55.0,+5:50,107,STUYVEN Jasper,28,Trek - Segafredo,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
19,20,146.0,+29:10,122,CONSONNI Simone,25,"Cofidis, Solutions Crédits",,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
20,21,24.0,+0:17,63,CARUSO Damiano,32,Bahrain - McLaren,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
21,22,4.0,+0:17,131,POGAČAR Tadej,21,UAE-Team Emirates,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
22,23,65.0,+10:12,138,POLANC Jan,28,UAE-Team Emirates,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
23,24,74.0,+12:58,37,VENTURINI Clément,26,AG2R La Mondiale,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
24,25,80.0,+18:00,35,NAESEN Oliver,29,AG2R La Mondiale,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
25,26,147.0,+29:10,87,RUSSO Clément,25,Team Arkéa Samsic,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
26,27,85.0,+18:00,26,OSS Daniel,33,BORA - hansgrohe,,,",,0:00",Tour_de_France,3,31 August 2020,37.39 km/h,48,198 km,1
