,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,82.0,+1:04:31,36,PETERS Nans,26,AG2R La Mondiale,120.0,100.0,4:02:12,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
1,2,49.0,+36:06,106,SKUJIŅŠ Toms,29,Trek - Segafredo,50.0,70.0,0:470:47,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
2,3,57.0,+44:33,98,VERONA Carlos,27,Movistar Team,25.0,50.0,",,0:47",Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
3,4,25.0,+11:03,118,ZAKARIN Ilnur,30,CCC Team,15.0,40.0,1:091:09,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
4,5,43.0,+31:49,77,POWLESS Neilson,24,EF Pro Cycling,5.0,32.0,1:411:41,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
5,6,55.0,+38:04,173,HERMANS Ben,34,Israel Start-Up Nation,,26.0,3:423:42,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
6,7,77.0,+1:00:43,216,PACHER Quentin,28,B&B Hotels - Vital Concept p/b KTM,,22.0,",,3:42",Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
7,8,69.0,+56:14,205,KRAGH ANDERSEN Søren,26,Team Sunweb,,18.0,4:044:04,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
8,9,9.0,+0:48,131,POGAČAR Tadej,21,UAE-Team Emirates,,14.0,6:006:00,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
9,10,4.0,+0:11,31,BARDET Romain,29,AG2R La Mondiale,,10.0,6:386:38,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
10,11,7.0,+0:13,141,LÓPEZ Miguel Ángel,26,Astana Pro Team,,8.0,6:406:40,Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
11,12,1.0,+0:00,161,YATES Adam,28,Mitchelton-Scott,,6.0,",,6:40",Tour_de_France,8,05 September 2020,34.93 km/h,263,141 km,1
