,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,55.0,+29:59,164,DE GENDT Thomas,32,Lotto Soudal,120.0,100.0,5:00:17,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
1,2,3.0,+0:53,51,PINOT Thibaut,29,Groupama - FDJ,50.0,70.0,0:060:06,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
2,3,1.0,+0:00,21,ALAPHILIPPE Julian,27,Deceuninck - Quick Step,25.0,50.0,",,0:06",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
3,4,38.0,+19:25,141,MATTHEWS Michael,28,Team Sunweb,15.0,40.0,0:260:26,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
4,5,40.0,+20:07,11,SAGAN Peter,29,BORA - hansgrohe,5.0,32.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
5,6,39.0,+20:00,107,TRENTIN Matteo,29,Mitchelton-Scott,,26.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
6,7,13.0,+2:02,195,MEURISSE Xandro,27,Wanty - Gobert Cycling Team,,22.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
7,8,33.0,+14:25,111,VAN AVERMAET Greg,34,CCC Team,,18.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
8,9,6.0,+1:16,2,BERNAL Egan,22,Team INEOS,,14.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
9,10,5.0,+1:12,1,THOMAS Geraint,33,Team INEOS,,10.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
10,11,20.0,+2:46,14,KONRAD Patrick,27,BORA - hansgrohe,,8.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
11,12,21.0,+2:54,76,LUTSENKO Alexey,26,Astana Pro Team,,6.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
12,13,14.0,+2:04,61,QUINTANA Nairo,29,Movistar Team,,4.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
13,14,8.0,+1:38,91,URÁN Rigoberto,32,EF Education First,,2.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
14,15,17.0,+2:15,53,GAUDU David,22,Groupama - FDJ,,1.0,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
15,16,12.0,+1:47,101,YATES Adam,26,Mitchelton-Scott,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
16,17,24.0,+3:26,211,BARGUIL Warren,27,Team Arkéa Samsic,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
17,18,10.0,+1:45,12,BUCHMANN Emanuel,26,BORA - hansgrohe,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
18,19,19.0,+2:45,136,MOLLEMA Bauke,32,Trek - Segafredo,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
19,20,26.0,+3:48,122,ARU Fabio,29,UAE-Team Emirates,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
20,21,9.0,+1:42,71,FUGLSANG Jakob,34,Astana Pro Team,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
21,22,11.0,+1:46,25,MAS Enric,24,Deceuninck - Quick Step,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
22,23,7.0,+1:27,81,KRUIJSWIJK Steven,32,Team Jumbo-Visma,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
23,24,2.0,+0:23,133,CICCONE Giulio,24,Trek - Segafredo,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
24,25,25.0,+3:28,206,KREUZIGER Roman,33,Team Dimension Data,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
25,26,18.0,+2:19,131,PORTE Richie,34,Trek - Segafredo,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
26,27,15.0,+2:06,65,LANDA Mikel,29,Movistar Team,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
27,28,23.0,+3:20,31,BARDET Romain,28,AG2R La Mondiale,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
28,29,29.0,+10:12,57,REICHENBACH Sébastien,30,Groupama - FDJ,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
29,30,4.0,+1:10,82,BENNETT George,29,Team Jumbo-Visma,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
30,31,22.0,+3:18,62,VALVERDE Alejandro,39,Movistar Team,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
31,32,16.0,+2:09,121,MARTIN Dan,32,UAE-Team Emirates,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
32,33,34.0,+15:23,103,HAIG Jack,25,Mitchelton-Scott,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
33,34,27.0,+3:50,191,MARTIN Guillaume,26,Wanty - Gobert Cycling Team,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
34,35,37.0,+19:08,125,HENAO Sergio,31,UAE-Team Emirates,,,",,0:26",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
35,36,59.0,+31:36,145,KÄMNA Lennard,22,Team Sunweb,,,0:320:32,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
36,37,70.0,+36:44,147,KRAGH ANDERSEN Søren,24,Team Sunweb,,,0:560:56,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
37,38,43.0,+23:14,148,ROCHE Nicolas,35,Team Sunweb,,,1:461:46,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
38,39,47.0,+24:03,154,HERRADA Jesús,28,"Cofidis, Solutions Crédits",,,2:382:38,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
39,40,31.0,+13:27,176,TAARAMÄE Rein,32,Team Total Direct Energie,,,3:273:27,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
40,41,41.0,+20:32,18,SCHACHMANN Maximilian,25,BORA - hansgrohe,,,3:423:42,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
41,42,64.0,+33:46,113,DE MARCHI Alessandro,33,CCC Team,,,4:114:11,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
42,43,45.0,+23:46,4,KWIATKOWSKI Michał,29,Team INEOS,,,4:254:25,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
43,44,63.0,+32:52,92,BETTIOL Alberto,25,EF Education First,,,",,4:25",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
44,45,28.0,+6:18,41,NIBALI Vincenzo,34,Bahrain Merida,,,",,4:25",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
45,46,32.0,+13:38,38,VUILLERMOZ Alexis,31,AG2R La Mondiale,,,4:424:42,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
46,47,72.0,+37:52,181,ZAKARIN Ilnur,29,Team Katusha Alpecin,,,5:015:01,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
47,48,49.0,+25:10,34,FRANK Mathias,32,AG2R La Mondiale,,,5:375:37,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
48,49,56.0,+30:11,114,GESCHKE Simon,33,CCC Team,,,",,5:37",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
49,50,30.0,+11:07,56,MOLARD Rudy,29,Groupama - FDJ,,,5:455:45,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
50,51,36.0,+18:11,132,BERNARD Julien,27,Trek - Segafredo,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
51,52,74.0,+39:24,212,BOUET Maxime,32,Team Arkéa Samsic,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
52,53,51.0,+26:40,146,KELDERMAN Wilco,28,Team Sunweb,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
53,54,46.0,+24:00,83,DE PLUS Laurens,23,Team Jumbo-Visma,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
54,55,54.0,+29:07,94,KANGERT Tanel,32,EF Education First,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
55,56,53.0,+28:32,75,IZAGIRRE Gorka,31,Astana Pro Team,,,",,5:45",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
56,57,83.0,+50:09,156,PÉRICHON Pierre-Luc,32,"Cofidis, Solutions Crédits",,,8:028:02,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
57,58,44.0,+23:30,124,COSTA Rui,32,UAE-Team Emirates,,,8:128:12,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
58,59,62.0,+32:44,3,CASTROVIEJO Jonathan,32,Team INEOS,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
59,60,58.0,+31:32,63,AMADOR Andrey,32,Movistar Team,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
60,61,57.0,+30:50,72,BILBAO Pello,29,Astana Pro Team,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
61,62,48.0,+24:25,67,SOLER Marc,25,Movistar Team,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
62,63,61.0,+32:41,6,POELS Wout,31,Team INEOS,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
63,64,50.0,+26:21,15,MÜHLBERGER Gregor,25,BORA - hansgrohe,,,",,8:12",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
64,65,87.0,+52:24,8,VAN BAARLE Dylan,27,Team INEOS,,,9:469:46,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
65,66,91.0,+55:06,102,DURBRIDGE Luke,28,Mitchelton-Scott,,,13:4613:46,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
66,67,84.0,+50:13,214,GESBERT Élie,24,Team Arkéa Samsic,,,",,13:46",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
67,68,119.0,+1:09:59,106,JUUL-JENSEN Christopher,30,Mitchelton-Scott,,,",,13:46",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
68,69,35.0,+15:32,98,WOODS Michael,32,EF Education First,,,14:2214:22,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
69,70,79.0,+46:22,93,CLARKE Simon,32,EF Education First,,,",,14:22",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
70,71,42.0,+23:06,32,CHEREL Mikaël,33,AG2R La Mondiale,,,",,14:22",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
71,72,97.0,+56:35,205,KING Ben,30,Team Dimension Data,,,16:5716:57,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
72,73,60.0,+31:43,88,VAN AERT Wout,24,Team Jumbo-Visma,,,",,16:57",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
73,74,77.0,+44:10,73,FRAILE Omar,28,Astana Pro Team,,,",,16:57",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
74,75,96.0,+56:22,165,KEUKELEIRE Jens,30,Lotto Soudal,,,17:1317:13,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
75,76,69.0,+36:28,43,COLBRELLI Sonny,29,Bahrain Merida,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
76,77,100.0,+56:55,42,CARUSO Damiano,31,Bahrain Merida,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
77,78,94.0,+55:35,66,OLIVEIRA Nelson,30,Movistar Team,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
78,79,108.0,+1:03:30,217,MOINARD Amaël,37,Team Arkéa Samsic,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
79,80,88.0,+52:46,44,DENNIS Rohan,29,Bahrain Merida,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
80,81,113.0,+1:05:57,117,SCHÄR Michael,32,CCC Team,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
81,82,93.0,+55:15,137,SKUJIŅŠ Toms,28,Trek - Segafredo,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
82,83,92.0,+55:14,108,YATES Simon,26,Mitchelton-Scott,,,",,17:13",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
83,84,144.0,+1:18:58,55,LADAGNOUS Matthieu,34,Groupama - FDJ,,,19:4319:43,Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
84,85,128.0,+1:13:10,157,ROSSETTO Stéphane,32,"Cofidis, Solutions Crédits",,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
85,86,68.0,+36:20,186,POLITT Nils,25,Team Katusha Alpecin,,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
86,87,81.0,+49:19,168,WELLENS Tim,28,Lotto Soudal,,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
87,88,105.0,+1:01:46,37,NAESEN Oliver,28,AG2R La Mondiale,,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
88,89,112.0,+1:05:45,16,OSS Daniel,32,BORA - hansgrohe,,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
89,90,103.0,+59:26,54,KÜNG Stefan,25,Groupama - FDJ,,,",,19:43",Tour_de_France,8,13 July 2019,39.962 km/h,140,200 km,1
