,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3,+0:00,145,MODOLO Sacha,30,UAE Team Emirates,50.0,50.0,3:15:21,Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
1,2,1,+0:00,54,VAN POPPEL Danny,24,Team Sky,20.0,30.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
2,3,5,+0:06,87,WALSCHEID Max,24,Team Sunweb,8.0,18.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
3,4,10,+0:10,67,VAN POPPEL Boy,29,Trek - Segafredo,,13.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
4,5,13,+0:10,175,REGUIGUI Youcef,27,Team Dimension Data,,10.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
5,6,12,+0:10,115,VAN ASBROECK Tom,27,Cannondale-Drapac Pro Cycling Team,,7.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
6,7,9,+0:10,122,BONIFAZIO Niccolò,23,Bahrain Merida Pro Cycling Team,,4.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
7,8,2,+0:00,76,SAGAN Peter,27,BORA - hansgrohe,,3.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
8,9,11,+0:10,165,MINALI Riccardo,22,Astana Pro Team,,2.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
9,10,7,+0:09,173,HAAS Nathan,28,Team Dimension Data,,1.0,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
10,11,138,+4:49,101,BATTAGLIN Enrico,27,Team LottoNL-Jumbo,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
11,12,141,+5:07,155,MANZIN Lorrenzo,23,FDJ,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
12,13,16,+0:10,22,GERTS Floris,25,BMC Racing Team,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
13,14,17,+0:10,193,PORSEV Alexander,31,Gazprom-RusVelo,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
14,15,14,+0:10,2,DEBUSSCHERE Jens,27,Lotto Soudal,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
15,16,20,+0:10,4,MARCZYŃSKI Tomasz,33,Lotto Soudal,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
16,17,72,+0:10,71,BAŠKA Erik,23,BORA - hansgrohe,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
17,18,23,+0:10,11,MARTINELLI Davide,24,Quick-Step Floors,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
18,19,32,+0:10,146,MOHORIČ Matej,22,UAE Team Emirates,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
19,20,15,+0:10,144,FERRARI Roberto,34,UAE Team Emirates,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
20,21,4,+0:04,32,EWAN Caleb,23,ORICA-Scott,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
21,22,80,+0:10,176,SBARAGLI Kristian,27,Team Dimension Data,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
22,23,19,+0:10,194,ROVNY Ivan,29,Gazprom-RusVelo,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
23,24,143,+5:31,206,PATERSKI Maciej,30,CCC Sprandi Polkowice,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
24,25,146,+5:33,186,PLANET Charles,23,Team Novo Nordisk,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
25,26,24,+0:10,43,QUINTANA Dayer,24,Movistar Team,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
26,27,18,+0:10,195,MAIKIN Roman,26,Gazprom-RusVelo,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
27,28,8,+0:09,55,POELS Wout,29,Team Sky,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
28,29,21,+0:10,44,OLIVEIRA Nelson,28,Movistar Team,,,",,0:00",Tour_de_Pologne,2,30 July 2017,43.61 km/h,0,142 km,38
