,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,140,+23:25,0,KRUOPIS Aidis,25,Orica GreenEDGE,6.0,50.0,2:43:04,Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
1,2,83,+9:51,0,SWIFT Ben,24,Sky Procycling,4.0,30.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
2,3,189,+45:37,0,BOS Theo,28,Rabobank Cycling Team,2.0,18.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
3,4,150,+24:52,0,BENNATI Daniele,31,RadioShack - Nissan,1.0,13.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
4,5,143,+23:45,0,PORSEV Alexander,26,Team Katusha,1.0,10.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
5,6,171,+33:19,0,GUARNIERI Jacopo,24,Astana Pro Team,,7.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
6,7,91,+11:50,0,HAUSSLER Heinrich,28,Garmin Sharp,,4.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
7,8,118,+17:20,0,KRISTOFF Alexander,25,Team Katusha,,3.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
8,9,58,+2:49,0,HAYMAN Mathew,34,Sky Procycling,,2.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
9,10,153,+25:14,0,HAEDO Lucas Sebastián,29,Team Saxo Bank - Tinkoff Bank,,1.0,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
10,11,172,+34:53,0,FAVILLI Elia,23,Farnese Vini-Neri-Sottoli,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
11,12,173,+34:53,0,BELLETTI Manuel,26,AG2R La Mondiale,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
12,13,174,+34:53,0,BAGGIO Filippo,24,Utensilnord - Named,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
13,14,125,+20:56,0,VAN DER SANDE Tosh,21,Lotto Belisol Team,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
14,15,148,+24:44,0,VIVIANI Elia,23,Liquigas - Cannondale,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
15,16,175,+34:53,0,MIYAZAWA Takashi,34,Team Saxo Bank - Tinkoff Bank,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
16,17,190,+45:41,0,SEREBRYAKOV Alexander,24,Team Type 1 - SANOFI,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
17,18,60,+3:55,0,LIGTHART Pim,24,Vacansoleil - DCM,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
18,19,191,+46:45,0,ZANOTTI Marco,23,Utensilnord - Named,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
19,20,61,+4:03,0,DEGENKOLB John,23,Argos - Shimano,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
20,21,108,+15:15,0,COLBRELLI Sonny,22,Colnago CSF Bardiani,,,",,0:00",Tour_de_Pologne,4,13 July 2012,45.883 km/h,0,124.7 km,27
