,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,MARTIN Dan,24,Team Garmin - Cervélo,6.0,50.0,5:41:05,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
1,2,,,0,POELS Wout,23,Vacansoleil - DCM,4.0,30.0,0:010:01,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
2,3,,,0,MARCATO Marco,27,Vacansoleil - DCM,2.0,18.0,0:040:04,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
3,4,,,0,NIEMIEC Przemysław,31,Lampre - ISD,1.0,13.0,",,0:04",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
4,5,,,0,MACHADO Tiago,25,RadioShack,1.0,10.0,0:060:06,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
5,6,,,0,KESSIAKOFF Fredrik,31,Pro Team Astana,,7.0,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
6,7,,,0,KENNAUGH Peter,22,Sky Procycling,,4.0,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
7,8,,,0,CIEŚLIK Paweł,25,Bank BGŻ,,3.0,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
8,9,,,0,CARUSO Giampaolo,30,Team Katusha,,2.0,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
9,10,,,0,RIBLON Christophe,30,AG2R La Mondiale,,1.0,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
10,11,,,0,NOCENTINI Rinaldo,33,AG2R La Mondiale,,,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
11,12,,,0,CUMMINGS Steve,30,Sky Procycling,,,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
12,13,,,0,RUTKIEWICZ Marek,30,CCC - Polsat - Polkowice,,,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
13,14,,,0,HUZARSKI Bartosz,30,Team Netapp,,,",,0:06",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
14,15,,,0,NORDHAUG Lars Petter,27,Sky Procycling,,,0:130:13,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
15,16,,,0,SAGAN Peter,21,Liquigas - Cannondale,,,",,0:13",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
16,17,,,0,ZAUGG Oliver,30,Leopard Trek,,,",,0:13",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
17,18,,,0,IZAGIRRE Ion,22,Euskaltel - Euskadi,,,",,0:13",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
18,19,,,0,LAGUTIN Sergey,30,Vacansoleil - DCM,,,0:180:18,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
19,20,,,0,BUSCHE Matthew,26,RadioShack,,,0:390:39,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
20,21,,,0,SEELDRAEYERS Kevin,24,Quickstep Cycling Team,,,",,0:39",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
21,22,,,0,SANTAMBROGIO Mauro,26,BMC Racing Team,,,0:540:54,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
22,23,,,0,BAKELANTS Jan,25,Omega Pharma-Lotto,,,1:181:18,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
23,24,,,0,DE MAAR Marc,27,Quickstep Cycling Team,,,1:191:19,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
24,25,,,0,MAJKA Rafał,21,Saxo Bank - Sungard,,,1:211:21,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
25,26,,,0,DE GREEF Francis,26,Omega Pharma-Lotto,,,",,1:21",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
26,27,,,0,PAOLINI Luca,34,Team Katusha,,,",,1:21",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
27,28,,,0,NIBALI Vincenzo,26,Liquigas - Cannondale,,,1:491:49,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
28,29,,,0,SLAGTER Tom-Jelte,22,Rabobank Cycling Team,,,2:052:05,Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
29,30,,,0,PERGET Mathieu,26,AG2R La Mondiale,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
30,31,,,0,FRÖHLINGER Johannes,26,Skil - Shimano,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
31,32,,,0,WEGMANN Fabian,31,Leopard Trek,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
32,33,,,0,ALBASINI Michael,30,HTC - High Road,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
33,34,,,0,MENDES José,26,CCC - Polsat - Polkowice,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
34,35,,,0,KIŠERLOVSKI Robert,24,Pro Team Astana,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
35,36,,,0,OYARZÚN Carlos Iván,29,Movistar Team,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
36,37,,,0,MARCZYŃSKI Tomasz,27,CCC - Polsat - Polkowice,,,",,2:05",Tour_de_Pologne,6,05 August 2011,36.537 km/h,0,207.7 km,37
