,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,102,+1:18:24,183,BIAŁOBŁOCKI Marcin,31,Poland,6.0,50.0,0:28:45,52.174,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
1,2,88,+1:05:33,34,KIRYIENKA Vasil,34,Team Sky,4.0,30.0,0:020:02,52.113,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
2,3,111,+1:37:05,114,FLENS Rick,32,Team LottoNL-Jumbo,2.0,18.0,0:590:59,50.448,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
3,4,94,+1:10:32,75,HOWSON Damien,22,Orica GreenEDGE,1.0,13.0,1:091:09,50.167,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
4,5,15,+3:41,127,VAN DEN BROECK Jurgen,32,Lotto Soudal,1.0,10.0,1:161:16,49.972,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
5,6,103,+1:20:44,144,GRETSCH Patrick,28,AG2R La Mondiale,,7.0,1:231:23,49.778999999999996,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
6,7,1,+0:00,64,IZAGIRRE Ion,26,Movistar Team,,4.0,1:241:24,49.751000000000005,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
7,8,4,+0:14,108,ZAKARIN Ilnur,25,Team Katusha,,3.0,1:251:25,49.724,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
8,9,14,+2:54,98,ZOIDL Riccardo,27,Trek Factory Racing,,2.0,1:261:26,49.696000000000005,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
9,10,85,+1:03:55,1,BODNAR Maciej,30,Tinkoff - Saxo,,1.0,",,1:26",49.696000000000005,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
10,11,3,+0:03,55,HERMANS Ben,29,BMC Racing Team,,,1:271:27,49.669,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
11,12,2,+0:02,125,DE CLERCQ Bart,28,Lotto Soudal,,,1:301:30,49.586999999999996,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
12,13,22,+11:35,187,MARCZYŃSKI Tomasz,31,Poland,,,1:311:31,49.559,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
13,14,98,+1:15:25,96,SERGENT Jesse,27,Trek Factory Racing,,,1:321:32,49.532,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
14,15,47,+36:13,13,BOUET Maxime,28,Etixx - Quick Step,,,1:341:34,49.478,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
15,16,110,+1:37:01,93,COLEDAN Marco,26,Trek Factory Racing,,,1:361:36,49.423,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
16,17,5,+0:15,21,ARU Fabio,25,Astana Pro Team,,,",,1:36",49.423,Tour_de_Pologne,7,08 August 2015,52.17 km/h,0,25 km,34
