,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,88.0,+1:06:56,13,DOWSETT Alex,27,Movistar Team,50.0,50.0,0:28:59,51.754,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
1,2,17.0,+10:58,12,CASTROVIEJO Jonathan,29,Movistar Team,20.0,30.0,0:220:22,51.107,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
2,3,22.0,+14:59,136,ROGLIČ Primož,26,Team LottoNL-Jumbo,8.0,18.0,0:390:39,50.619,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
3,4,15.0,+9:39,94,HERMANS Ben,30,BMC Racing Team,,13.0,0:410:41,50.562,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
4,5,29.0,+22:59,133,CAMPENAERTS Victor,24,Team LottoNL-Jumbo,,10.0,0:480:48,50.364,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
5,6,2.0,+4:22,66,FELLINE Fabio,26,Trek - Segafredo,,7.0,0:490:49,50.336000000000006,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
6,7,78.0,+58:05,105,TUFT Svein,39,ORICA-BikeExchange,,4.0,1:111:11,49.724,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
7,8,3.0,+4:54,46,BETTIOL Alberto,22,Cannondale-Drapac Pro Cycling Team,,3.0,1:131:13,49.669,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
8,9,53.0,+47:38,3,BENNATI Daniele,35,Tinkoff,,2.0,1:191:19,49.505,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
9,10,31.0,+26:45,197,DE LA PARTE Víctor,30,CCC Sprandi Polkowice,,1.0,1:211:21,49.451,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
10,11,46.0,+35:01,238,OVECHKIN Artem,30,Gazprom-RusVelo,,,1:251:25,49.342,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
11,12,32.0,+26:54,154,HOULE Hugo,25,AG2R La Mondiale,,,1:301:30,49.207,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
12,13,1.0,+0:00,148,WELLENS Tim,25,Lotto Soudal,,,1:311:31,49.18,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
13,14,6.0,+5:45,14,FERNÁNDEZ Rubén,25,Movistar Team,,,1:321:32,49.153,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
14,15,9.0,+6:20,33,CATALDO Dario,31,Astana Pro Team,,,1:351:35,49.073,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
15,16,67.0,+50:16,147,VERVAEKE Louis,22,Lotto Soudal,,,1:371:37,49.02,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
16,17,21.0,+14:22,18,VISCONTI Giovanni,33,Movistar Team,,,1:381:38,48.993,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
17,18,7.0,+5:47,168,WARBASSE Larry,26,IAM Cycling,,,1:401:40,48.94,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
18,19,66.0,+50:14,193,MARYCZ Jarosław,29,CCC Sprandi Polkowice,,,1:411:41,48.913000000000004,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
19,20,27.0,+18:21,81,ULISSI Diego,27,Lampre - Merida,,,1:421:42,48.886,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
20,21,48.0,+47:20,1,BRUTT Pavel,34,Tinkoff,,,1:471:47,48.754,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
21,22,49.0,+47:21,103,HAIG Jack,22,ORICA-BikeExchange,,,1:481:48,48.728,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
22,23,24.0,+16:14,196,GROßSCHARTNER Felix,22,CCC Sprandi Polkowice,,,1:501:50,48.675,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
23,24,30.0,+24:04,191,PATERSKI Maciej,29,CCC Sprandi Polkowice,,,1:531:53,48.596000000000004,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
24,25,23.0,+15:18,121,CHERNETSKI Sergei,26,Team Katusha,,,1:541:54,48.57,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
25,26,18.0,+12:25,145,MONFORT Maxime,33,Lotto Soudal,,,",,1:54",48.57,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
26,27,26.0,+17:42,77,ROCHE Nicolas,32,Team Sky,,,1:551:55,48.544,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
27,28,20.0,+13:24,101,YATES Simon,23,ORICA-BikeExchange,,,",,1:55",48.544,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
28,29,90.0,+1:08:18,137,VERMEULEN Alexey,21,Team LottoNL-Jumbo,,,1:581:58,48.465,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
29,30,16.0,+10:10,92,GILBERT Philippe,34,BMC Racing Team,,,",,1:58",48.465,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
30,31,51.0,+47:32,73,KENNAUGH Peter,27,Team Sky,,,1:591:59,48.43899999999999,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
31,32,45.0,+33:05,91,DE MARCHI Alessandro,30,BMC Racing Team,,,2:002:00,48.413000000000004,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
32,33,50.0,+47:26,21,DE PLUS Laurens,20,Etixx - Quick Step,,,2:022:02,48.361000000000004,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
33,34,5.0,+5:22,141,BENOOT Tiesj,22,Lotto Soudal,,,2:032:03,48.335,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
34,35,86.0,+1:02:56,198,SAMOILAU Branislau,31,CCC Sprandi Polkowice,,,2:042:04,48.309,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
35,36,84.0,+1:02:06,185,STACHOWIAK Adam,27,VERVA ActiveJet Pro Cycling Team,,,",,2:04",48.309,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
36,37,8.0,+6:08,38,ZEITS Andrey,29,Astana Pro Team,,,2:102:10,48.153999999999996,Tour_de_Pologne,7,18 July 2016,51.75 km/h,0,25 km,31
