,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,BRUTT Pavel,29,Team Katusha,6.0,50.0,4:27:41,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
1,2,,,0,KVACHUK Oleksandr,27,Lampre - ISD,4.0,30.0,0:560:56,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
2,3,,,0,SAMOILAU Branislau,25,Movistar Team,2.0,18.0,1:151:15,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
3,4,,,0,BOBRIDGE Jack,21,Team Garmin - Cervélo,1.0,13.0,1:231:23,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
4,5,,,0,CUNEGO Damiano,29,Lampre - ISD,1.0,10.0,1:591:59,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
5,6,,,0,INTXAUSTI Beñat,25,Movistar Team,,7.0,2:012:01,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
6,7,,,0,EVANS Cadel,34,BMC Racing Team,,4.0,2:032:03,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
7,8,,,0,FROOME Chris,25,Sky Procycling,,3.0,2:052:05,Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
8,9,,,0,LÓPEZ David,29,Movistar Team,,2.0,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
9,10,,,0,ŠPILAK Simon,24,Lampre - ISD,,1.0,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
10,11,,,0,VINOKOUROV Alexandre,37,Pro Team Astana,,,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
11,12,,,0,ZAUGG Oliver,29,Leopard Trek,,,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
12,13,,,0,ROHREGGER Thomas,28,Leopard Trek,,,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
13,14,,,0,MENCHOV Denis,33,Geox-TMC Transformers,,,",,2:05",Tour_de_Romandie,2,27 April 2011,38.441 km/h,0,171.5 km,24
