,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,31,ŠPILAK Simon,27,Team Katusha,6.0,50.0,5:09:23,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
1,2,2.0,+0:01,1,FROOME Chris,28,Team Sky,4.0,30.0,",,0:00",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
2,3,3.0,+1:02,121,COSTA Rui,27,Lampre - Merida,2.0,18.0,0:570:57,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
3,4,7.0,+1:14,163,FUGLSANG Jakob,29,Astana Pro Team,1.0,13.0,",,0:57",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
4,5,6.0,+1:13,23,INTXAUSTI Beñat,28,Movistar Team,1.0,10.0,",,0:57",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
5,6,5.0,+1:10,181,FRANK Mathias,27,IAM Cycling,,7.0,",,0:57",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
6,7,4.0,+1:06,161,NIBALI Vincenzo,29,Astana Pro Team,,4.0,",,0:57",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
7,8,8.0,+1:40,22,HERRADA Jesús,23,Movistar Team,,3.0,1:411:41,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
8,9,11.0,+1:57,141,PINOT Thibaut,23,FDJ.fr,,2.0,",,1:41",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
9,10,10.0,+1:50,101,TALANSKY Andrew,25,Garmin Sharp,,1.0,",,1:41",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
10,11,13.0,+2:46,188,WYSS Marcel,27,IAM Cycling,,,",,1:41",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
11,12,9.0,+1:48,24,IZAGIRRE Ion,25,Movistar Team,,,",,1:41",Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
12,13,12.0,+2:18,64,MAJKA Rafał,24,Tinkoff - Saxo,,,2:002:00,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
13,14,15.0,+3:05,186,REICHENBACH Sébastien,24,IAM Cycling,,,2:352:35,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
14,15,14.0,+3:01,71,ZOIDL Riccardo,26,Trek Factory Racing,,,2:362:36,Tour_de_Romandie,3,02 May 2014,34.95 km/h,289,180.2 km,19
