,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,1,FROOME Chris,28,Team Sky,6.0,50.0,0:24:50,44.698,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
1,2,83.0,+44:51,16,MARTIN Tony,29,Omega Pharma - Quick-Step,4.0,30.0,0:010:01,44.668,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
2,3,88.0,+47:37,75,SERGENT Jesse,25,Trek Factory Racing,2.0,18.0,0:080:08,44.458999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
3,4,14.0,+3:50,11,URÁN Rigoberto,27,Omega Pharma - Quick-Step,1.0,13.0,0:150:15,44.251999999999995,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
4,5,8.0,+2:07,24,IZAGIRRE Ion,25,Movistar Team,1.0,10.0,0:200:20,44.106,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
5,6,12.0,+3:29,71,ZOIDL Riccardo,26,Trek Factory Racing,,7.0,0:290:29,43.845,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
6,7,2.0,+0:28,31,ŠPILAK Simon,27,Team Katusha,,4.0,",,0:29",43.845,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
7,8,3.0,+1:32,121,COSTA Rui,27,Lampre - Merida,,3.0,0:310:31,43.787,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
8,9,10.0,+2:31,141,PINOT Thibaut,23,FDJ.fr,,2.0,0:350:35,43.672,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
9,10,4.0,+1:44,181,FRANK Mathias,27,IAM Cycling,,1.0,",,0:35",43.672,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
10,11,62.0,+31:34,113,LUDVIGSSON Tobias,23,Team Giant - Shimano,,,0:360:36,43.644,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
11,12,9.0,+2:15,22,HERRADA Jesús,23,Movistar Team,,,",,0:36",43.644,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
12,13,48.0,+23:26,108,NAVARDAUSKAS Ramūnas,26,Garmin Sharp,,,0:370:37,43.615,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
13,14,43.0,+18:04,104,DENNIS Rohan,23,Garmin Sharp,,,0:380:38,43.586000000000006,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
14,15,6.0,+1:52,23,INTXAUSTI Beñat,28,Movistar Team,,,0:400:40,43.528999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
15,16,40.0,+17:18,86,MEYER Cameron,26,Orica GreenEDGE,,,0:420:42,43.473,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
16,17,7.0,+1:56,163,FUGLSANG Jakob,29,Astana Pro Team,,,0:430:43,43.443999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
17,18,5.0,+1:48,161,NIBALI Vincenzo,29,Astana Pro Team,,,",,0:43",43.443999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
18,19,28.0,+12:56,93,CLEMENT Stef,31,Belkin-Pro Cycling Team,,,0:440:44,43.416000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
19,20,32.0,+13:35,41,PERAUD Jean-Christophe,36,AG2R La Mondiale,,,0:450:45,43.388000000000005,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
20,21,39.0,+16:14,33,CHERNETSKI Sergei,24,Team Katusha,,,0:460:46,43.358999999999995,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
21,22,11.0,+2:38,101,TALANSKY Andrew,25,Garmin Sharp,,,0:490:49,43.275,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
22,23,50.0,+25:10,148,ROY Jérémy,30,FDJ.fr,,,0:510:51,43.218999999999994,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
23,24,46.0,+21:41,21,CASTROVIEJO Jonathan,27,Movistar Team,,,1:011:01,42.94,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
24,25,22.0,+8:59,36,SILIN Egor,25,Team Katusha,,,1:041:04,42.857,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
25,26,70.0,+34:58,147,ROUX Anthony,27,FDJ.fr,,,1:071:07,42.775,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
26,27,82.0,+44:27,184,HOLLENSTEIN Reto,28,IAM Cycling,,,1:081:08,42.747,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
27,28,78.0,+41:21,92,BOBRIDGE Jack,24,Belkin-Pro Cycling Team,,,1:091:09,42.72,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
28,29,33.0,+13:47,166,KANGERT Tanel,27,Astana Pro Team,,,",,1:09",42.72,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
29,30,31.0,+13:24,143,GENIEZ Alexandre,26,FDJ.fr,,,1:101:10,42.692,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
30,31,76.0,+40:42,126,OLIVEIRA Nelson,25,Lampre - Merida,,,1:131:13,42.61,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
31,32,27.0,+12:48,151,MONFORT Maxime,31,Lotto Belisol,,,1:141:14,42.583,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
32,33,13.0,+3:32,64,MAJKA Rafał,24,Tinkoff - Saxo,,,1:151:15,42.556000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
33,34,94.0,+52:57,167,KESSIAKOFF Fredrik,33,Astana Pro Team,,,1:211:21,42.393,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
34,35,23.0,+9:14,37,TROFIMOV Yuri,30,Team Katusha,,,1:251:25,42.286,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
35,36,108.0,+1:08:12,88,TUFT Svein,36,Orica GreenEDGE,,,1:261:26,42.25899999999999,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
36,37,19.0,+7:30,61,ROCHE Nicolas,29,Tinkoff - Saxo,,,1:311:31,42.125,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
37,38,30.0,+13:18,44,BOUET Maxime,27,AG2R La Mondiale,,,1:321:32,42.099,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
38,39,114.0,+1:16:37,83,HEPBURN Michael,22,Orica GreenEDGE,,,1:371:37,41.966,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
39,40,44.0,+18:10,3,LÓPEZ David,32,Team Sky,,,",,1:37",41.966,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
40,41,20.0,+7:37,12,BAKELANTS Jan,28,Omega Pharma - Quick-Step,,,1:381:38,41.94,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
41,42,66.0,+32:48,94,HIVERT Jonathan,29,Belkin-Pro Cycling Team,,,1:461:46,41.729,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
42,43,58.0,+29:12,142,ELISSONDE Kenny,22,FDJ.fr,,,1:491:49,41.651,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
43,44,77.0,+40:46,32,BRUTT Pavel,32,Team Katusha,,,1:521:52,41.573,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
44,45,25.0,+10:01,187,TSCHOPP Johann,31,IAM Cycling,,,",,1:52",41.573,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
45,46,72.0,+35:24,65,MCCARTHY Jay,21,Tinkoff - Saxo,,,1:541:54,41.521,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
46,47,59.0,+30:09,172,GAUTIER Cyril,26,Team Europcar,,,",,1:54",41.521,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
47,48,75.0,+39:02,63,JUUL-JENSEN Christopher,24,Tinkoff - Saxo,,,1:551:55,41.495,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
48,49,68.0,+33:53,97,MARTENS Paul,30,Belkin-Pro Cycling Team,,,1:571:57,41.443999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
49,50,52.0,+25:32,4,NIEVE Mikel,29,Team Sky,,,",,1:57",41.443999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
50,51,121.0,+1:27:06,2,EARLE Nathan,25,Team Sky,,,1:581:58,41.418,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
51,52,34.0,+14:10,115,PREIDLER Georg,23,Team Giant - Shimano,,,2:012:01,41.341,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
52,53,106.0,+1:04:00,77,VOIGT Jens,42,Trek Factory Racing,,,2:022:02,41.315,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
53,54,60.0,+30:37,66,PETROV Evgeni,35,Tinkoff - Saxo,,,2:042:04,41.263999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
54,55,21.0,+7:55,171,VOECKLER Thomas,34,Team Europcar,,,",,2:04",41.263999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
55,56,100.0,+57:37,54,KOHLER Martin,28,BMC Racing Team,,,2:052:05,41.238,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
56,57,69.0,+34:30,68,ZAUGG Oliver,32,Tinkoff - Saxo,,,2:072:07,41.187,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
57,58,85.0,+45:58,38,TSATEVICH Alexey,24,Team Katusha,,,2:082:08,41.162,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
58,59,24.0,+9:56,91,TEN DAM Laurens,33,Belkin-Pro Cycling Team,,,",,2:08",41.162,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
59,60,81.0,+44:15,8,ZANDIO Xabier,37,Team Sky,,,2:092:09,41.137,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
60,61,42.0,+17:50,87,SCHURTER Nino,27,Orica GreenEDGE,,,2:102:10,41.111000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
61,62,36.0,+15:22,55,NERZ Dominik,24,BMC Racing Team,,,",,2:10",41.111000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
62,63,101.0,+58:19,46,DOMONT Axel,23,AG2R La Mondiale,,,2:112:11,41.086000000000006,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
63,64,104.0,+1:00:07,57,WARBASSE Larry,23,BMC Racing Team,,,2:122:12,41.06,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
64,65,53.0,+25:35,183,FUMEAUX Jonathan,26,IAM Cycling,,,2:132:13,41.035,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
65,66,51.0,+25:29,164,GRIVKO Andrey,30,Astana Pro Team,,,",,2:13",41.035,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
66,67,96.0,+55:03,153,DE BIE Sean,22,Lotto Belisol,,,2:172:17,40.934,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
67,68,26.0,+12:22,152,ARMÉE Sander,28,Lotto Belisol,,,",,2:17",40.934,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
68,69,90.0,+49:17,112,HUPOND Thierry,29,Team Giant - Shimano,,,2:182:18,40.909,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
69,70,73.0,+36:40,58,WYSS Danilo,28,BMC Racing Team,,,2:202:20,40.859,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
70,71,49.0,+23:44,122,ANACONA Winner,25,Lampre - Merida,,,",,2:20",40.859,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
71,72,47.0,+23:03,53,DILLIER Silvan,23,BMC Racing Team,,,2:232:23,40.784,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
72,73,37.0,+15:26,48,VUILLERMOZ Alexis,25,AG2R La Mondiale,,,",,2:23",40.784,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
73,74,15.0,+5:30,186,REICHENBACH Sébastien,24,IAM Cycling,,,2:262:26,40.709,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
74,75,79.0,+41:59,81,ALBASINI Michael,33,Orica GreenEDGE,,,2:282:28,40.659,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
75,76,41.0,+17:48,131,BASSO Ivan,36,Cannondale,,,2:292:29,40.635,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
76,77,64.0,+32:20,35,KOZONTCHUK Dmitry,30,Team Katusha,,,2:312:31,40.585,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
77,78,113.0,+1:13:00,47,GAUDIN Damien,27,AG2R La Mondiale,,,2:322:32,40.56,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
78,79,107.0,+1:04:36,76,VAN POPPEL Danny,20,Trek Factory Racing,,,",,2:32",40.56,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
79,80,97.0,+55:13,117,TIMMER Albert,28,Team Giant - Shimano,,,2:332:33,40.536,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
80,81,116.0,+1:17:35,116,STAMSNIJDER Tom,28,Team Giant - Shimano,,,2:342:34,40.510999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
81,82,65.0,+32:25,134,LONGO BORGHINI Paolo,33,Cannondale,,,",,2:34",40.510999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
82,83,54.0,+25:56,67,POLJAŃSKI Paweł,23,Tinkoff - Saxo,,,2:362:36,40.461999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
83,84,17.0,+6:44,102,CARDOSO André,29,Garmin Sharp,,,",,2:36",40.461999999999996,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
84,85,99.0,+57:31,73,HONDO Danilo,40,Trek Factory Racing,,,2:402:40,40.364000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
85,86,38.0,+15:55,127,VALLS Rafael,26,Lampre - Merida,,,2:412:41,40.339,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
86,87,119.0,+1:19:48,28,VISCONTI Giovanni,31,Movistar Team,,,2:432:43,40.29,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
87,88,45.0,+20:00,13,BRAMBILLA Gianluca,26,Omega Pharma - Quick-Step,,,2:452:45,40.242,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
88,89,91.0,+49:53,173,GUILLEMOIS Romain,23,Team Europcar,,,2:462:46,40.217,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
89,90,84.0,+45:28,132,CARUSO Damiano,26,Cannondale,,,2:472:47,40.193000000000005,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
90,91,16.0,+5:32,188,WYSS Marcel,27,IAM Cycling,,,",,2:47",40.193000000000005,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
91,92,117.0,+1:19:36,34,IGNATIEV Mikhail,28,Team Katusha,,,2:482:48,40.169000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
92,93,98.0,+56:34,146,PINEAU Cédric,28,FDJ.fr,,,2:492:49,40.145,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
93,94,67.0,+33:51,165,IGLINSKIY Maxim,33,Astana Pro Team,,,",,2:49",40.145,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
94,95,118.0,+1:19:43,144,LECUISINIER Pierre-Henri,20,FDJ.fr,,,2:552:55,40.0,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
95,96,61.0,+31:02,103,DANIELSON Tom,36,Garmin Sharp,,,2:562:56,39.976,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
96,97,57.0,+27:21,105,FAIRLY Caleb,27,Garmin Sharp,,,2:572:57,39.952,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
97,98,56.0,+26:17,145,MOUREY Francis,33,FDJ.fr,,,",,2:57",39.952,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
98,99,29.0,+13:05,62,BELTRÁN Edward,24,Tinkoff - Saxo,,,",,2:57",39.952,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
99,100,55.0,+26:08,137,MOSER Moreno,23,Cannondale,,,2:582:58,39.928000000000004,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
100,101,102.0,+58:27,185,LANG Pirmin,29,IAM Cycling,,,3:003:00,39.88,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
101,102,80.0,+43:42,123,FAVILLI Elia,25,Lampre - Merida,,,3:013:01,39.856,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
102,103,35.0,+15:15,45,CHEREL Mikaël,28,AG2R La Mondiale,,,3:073:07,39.714,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
103,104,18.0,+7:24,52,ATAPUMA Darwin,26,BMC Racing Team,,,3:093:09,39.666,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
104,105,112.0,+1:12:39,72,ALAFACI Eugenio,23,Trek Factory Racing,,,3:103:10,39.643,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
105,106,86.0,+46:41,157,VAN DER SANDE Tosh,23,Lotto Belisol,,,",,3:10",39.643,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
106,107,71.0,+35:23,27,SZMYD Sylwester,36,Movistar Team,,,",,3:10",39.643,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
107,108,115.0,+1:17:14,156,VALLÉE Boris,20,Lotto Belisol,,,3:153:15,39.525,Tour_de_Romandie,5,04 May 2014,44.7 km/h,0,18.5 km,19
