,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,0,WIGGINS Bradley,32,Sky Procycling,6.0,50.0,0:28:56,34.217,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
1,2,2.0,+0:12,0,TALANSKY Andrew,23,Team Garmin - Barracuda,4.0,30.0,0:010:01,34.196999999999996,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
2,3,4.0,+0:45,0,PORTE Richie,27,Sky Procycling,2.0,18.0,0:170:17,33.885,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
3,4,3.0,+0:36,0,COSTA Rui,25,Movistar Team,1.0,13.0,0:230:23,33.769,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
4,5,6.0,+0:59,0,KREUZIGER Roman,25,Astana Pro Team,1.0,10.0,0:400:40,33.446,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
5,6,7.0,+1:03,0,SZMYD Sylwester,34,Liquigas - Cannondale,,7.0,0:420:42,33.408,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
6,7,5.0,+0:50,0,ROGERS Michael,32,Sky Procycling,,4.0,0:430:43,33.39,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
7,8,11.0,+1:21,0,PINOT Thibaut,21,FDJ - BigMat,,3.0,0:520:52,33.221,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
8,9,68.0,+17:13,0,DE GENDT Thomas,25,Vacansoleil - DCM,,2.0,0:540:54,33.184,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
9,10,9.0,+1:14,0,BRAJKOVIČ Janez,28,Astana Pro Team,,1.0,0:550:55,33.166,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
10,11,8.0,+1:13,0,ŠPILAK Simon,25,Team Katusha,,,1:011:01,33.055,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
11,12,73.0,+18:15,0,LARSSON Gustav Erik,31,Vacansoleil - DCM,,,1:021:02,33.037,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
12,13,13.0,+1:26,0,JEANDESBOZ Fabrice,27,Saur - Sojasun,,,1:041:04,33.0,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
13,14,12.0,+1:22,0,COPPEL Jérôme,25,Saur - Sojasun,,,1:071:07,32.945,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
14,15,14.0,+1:31,0,MARTIN Dan,25,Team Garmin - Barracuda,,,1:081:08,32.927,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
15,16,19.0,+1:38,0,WEENING Pieter,31,Orica GreenEDGE,,,1:111:11,32.872,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
16,17,48.0,+5:58,0,CATALDO Dario,27,Omega Pharma - Quick-Step,,,1:151:15,32.8,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
17,18,18.0,+1:35,0,TIRALONGO Paolo,34,Astana Pro Team,,,",,1:15",32.8,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
18,19,20.0,+1:40,0,MÉDEREL Maxime,31,Saur - Sojasun,,,1:171:17,32.763000000000005,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
19,20,15.0,+1:33,0,MACHADO Tiago,26,RadioShack - Nissan,,,1:201:20,32.709,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
20,21,21.0,+1:41,0,NOCENTINI Rinaldo,34,AG2R La Mondiale,,,1:231:23,32.655,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
21,22,10.0,+1:15,0,SÁNCHEZ Luis León,28,Rabobank Cycling Team,,,1:241:24,32.637,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
22,23,16.0,+1:33,0,CLEMENT Stef,29,Rabobank Cycling Team,,,",,1:24",32.637,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
23,24,17.0,+1:35,0,MOLLEMA Bauke,25,Rabobank Cycling Team,,,1:261:26,32.602,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
24,25,22.0,+1:45,0,KLÖDEN Andreas,36,RadioShack - Nissan,,,1:271:27,32.584,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
25,26,93.0,+28:09,0,BOARO Manuele,25,Team Saxo Bank - Tinkoff Bank,,,1:281:28,32.566,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
26,27,86.0,+25:23,0,ROY Jérémy,28,FDJ - BigMat,,,1:291:29,32.548,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
27,28,72.0,+18:13,0,SIUTSOU Kanstantsin,29,Sky Procycling,,,",,1:29",32.548,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
28,29,56.0,+8:26,0,TSCHOPP Johann,29,BMC Racing Team,,,1:301:30,32.53,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
29,30,23.0,+1:50,0,NAVARRO Daniel,28,Team Saxo Bank - Tinkoff Bank,,,1:341:34,32.459,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
30,31,44.0,+4:44,0,GADRET John,33,AG2R La Mondiale,,,",,1:34",32.459,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
31,32,24.0,+1:54,0,KARPETS Vladimir,31,Movistar Team,,,1:351:35,32.441,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
32,33,88.0,+26:32,0,KESSIAKOFF Fredrik,31,Astana Pro Team,,,1:361:36,32.424,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
33,34,25.0,+1:55,0,ASTARLOZA Mikel,32,Euskaltel - Euskadi,,,1:371:37,32.406,Tour_de_Romandie,5,29 April 2012,34.217 km/h,0,16.5 km,20
