,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,13,MARTIN Tony,29,Omega Pharma - Quick-Step,6.0,50.0,0:13:48,40.87,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
1,2,2,+0:06,125,DUMOULIN Tom,23,Team Giant - Shimano,4.0,30.0,0:060:06,40.576,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
2,3,3,+0:13,116,DENNIS Rohan,24,Garmin Sharp,2.0,18.0,0:130:13,40.238,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
3,4,4,+0:16,81,CANCELLARA Fabian,33,Trek Factory Racing,1.0,13.0,0:160:16,40.095,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
4,5,5,+0:19,56,POZZOVIVO Domenico,31,AG2R La Mondiale,1.0,10.0,0:190:19,39.953,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
5,6,6,+0:19,131,SAGAN Peter,24,Cannondale,,7.0,",,0:19",39.953,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
6,7,7,+0:22,101,MOLLEMA Bauke,27,Belkin-Pro Cycling Team,,4.0,0:220:22,39.812,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
7,8,8,+0:23,111,SLAGTER Tom-Jelte,24,Garmin Sharp,,3.0,0:230:23,39.765,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
8,9,9,+0:27,23,IZAGIRRE Ion,25,Movistar Team,,2.0,0:270:27,39.579,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
9,10,10,+0:29,3,CATTANEO Mattia,23,Lampre - Merida,,1.0,0:290:29,39.486999999999995,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
10,11,11,+0:29,45,KENNAUGH Peter,24,Team Sky,,,",,0:29",39.486999999999995,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
11,12,12,+0:31,205,PARDILLA Sergio,30,MTN - Qhubeka,,,0:310:31,39.395,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
12,13,13,+0:32,133,FORMOLO Davide,21,Cannondale,,,0:320:32,39.349000000000004,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
13,14,14,+0:32,41,WIGGINS Bradley,34,Team Sky,,,",,0:32",39.349000000000004,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
14,15,15,+0:33,71,KREUZIGER Roman,28,Tinkoff - Saxo,,,0:330:33,39.303000000000004,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
15,16,16,+0:34,181,FRANK Mathias,27,IAM Cycling,,,0:340:34,39.258,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
16,17,17,+0:36,127,PREIDLER Georg,23,Team Giant - Shimano,,,0:360:36,39.167,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
17,18,18,+0:37,147,KESSIAKOFF Fredrik,34,Astana Pro Team,,,0:370:37,39.121,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
18,19,19,+0:38,112,ACEVEDO Janier,28,Garmin Sharp,,,0:380:38,39.076,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
19,20,20,+0:38,191,REBELLIN Davide,42,CCC Polsat Polkowice,,,",,0:38",39.076,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
20,21,21,+0:38,117,KING Ben,25,Garmin Sharp,,,",,0:38",39.076,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
21,22,22,+0:39,73,BOARO Manuele,27,Tinkoff - Saxo,,,0:390:39,39.031,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
22,23,23,+0:39,57,RIBLON Christophe,33,AG2R La Mondiale,,,",,0:39",39.031,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
23,24,24,+0:40,151,PINOT Thibaut,24,FDJ.fr,,,0:400:40,38.986,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
24,25,25,+0:41,42,DEIGNAN Philip,30,Team Sky,,,0:410:41,38.941,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
25,26,26,+0:41,44,HENAO Sergio,26,Team Sky,,,",,0:41",38.941,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
26,27,27,+0:42,218,VEUCHELEN Frederik,35,Wanty - Groupe Gobert,,,0:420:42,38.897,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
27,28,28,+0:42,1,COSTA Rui,27,Lampre - Merida,,,",,0:42",38.897,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
28,29,29,+0:42,63,DILLIER Silvan,23,BMC Racing Team,,,",,0:42",38.897,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
29,30,30,+0:43,46,KNEES Christian,33,Team Sky,,,0:430:43,38.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
30,31,31,+0:43,123,CRADDOCK Lawson,22,Team Giant - Shimano,,,",,0:43",38.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
31,32,32,+0:43,161,MONFORT Maxime,31,Lotto Belisol,,,",,0:43",38.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
32,33,33,+0:43,21,CAPECCHI Eros,28,Movistar Team,,,",,0:43",38.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
33,34,34,+0:44,188,WYSS Marcel,27,IAM Cycling,,,0:440:44,38.806999999999995,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
34,35,35,+0:44,106,TEN DAM Laurens,33,Belkin-Pro Cycling Team,,,",,0:44",38.806999999999995,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
35,36,36,+0:44,163,BREEN Vegard,24,Lotto Belisol,,,",,0:44",38.806999999999995,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
36,37,37,+0:45,157,ROUX Anthony,27,FDJ.fr,,,0:450:45,38.763000000000005,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
37,38,38,+0:45,82,BUSCHE Matthew,29,Trek Factory Racing,,,",,0:45",38.763000000000005,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
38,39,39,+0:45,185,HOLLENSTEIN Reto,28,IAM Cycling,,,",,0:45",38.763000000000005,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
39,40,40,+0:46,91,ALBASINI Michael,33,Orica GreenEDGE,,,0:460:46,38.719,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
40,41,41,+0:46,135,MOSER Moreno,23,Cannondale,,,",,0:46",38.719,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
41,42,42,+0:46,32,CHERNETSKI Sergei,24,Team Katusha,,,",,0:46",38.719,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
42,43,43,+0:48,198,TACIAK Mateusz,29,CCC Polsat Polkowice,,,0:480:48,38.63,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
43,44,44,+0:49,182,ELMIGER Martin,35,IAM Cycling,,,0:490:49,38.586,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
44,45,45,+0:52,8,VALLS Rafael,26,Lampre - Merida,,,0:520:52,38.455,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
45,46,46,+0:53,16,TERPSTRA Niki,30,Omega Pharma - Quick-Step,,,0:530:53,38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
46,47,47,+0:53,52,GRETSCH Patrick,27,AG2R La Mondiale,,,",,0:53",38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
47,48,48,+0:53,94,CLARKE Simon,27,Orica GreenEDGE,,,",,0:53",38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
48,49,49,+0:53,206,TEKLEHAIMANOT Daniel,25,MTN - Qhubeka,,,",,0:53",38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
49,50,50,+0:53,97,MEYER Cameron,26,Orica GreenEDGE,,,",,0:53",38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
50,51,51,+0:53,26,MORENO Javier,29,Movistar Team,,,",,0:53",38.411,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
51,52,52,+0:54,78,ZAUGG Oliver,33,Tinkoff - Saxo,,,0:540:54,38.367,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
52,53,53,+0:54,27,PLAZA Rubén,34,Movistar Team,,,",,0:54",38.367,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
53,54,54,+0:55,64,KOHLER Martin,28,BMC Racing Team,,,0:550:55,38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
54,55,55,+0:55,203,JANSE VAN RENSBURG Jacques,26,MTN - Qhubeka,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
55,56,56,+0:55,22,DOWSETT Alex,25,Movistar Team,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
56,57,57,+0:55,98,SCHURTER Nino,28,Orica GreenEDGE,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
57,58,58,+0:55,142,GASPAROTTO Enrico,32,Astana Pro Team,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
58,59,59,+0:55,204,MEINTJES Louis,22,MTN - Qhubeka,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
59,60,60,+0:55,86,SCHLECK Andy,29,Trek Factory Racing,,,",,0:55",38.324,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
60,61,61,+0:56,28,ROJAS José Joaquín,29,Movistar Team,,,0:560:56,38.281,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
61,62,62,+0:56,17,TRENTIN Matteo,24,Omega Pharma - Quick-Step,,,",,0:56",38.281,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
62,63,63,+0:56,61,EVANS Cadel,37,BMC Racing Team,,,",,0:56",38.281,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
63,64,64,+0:58,88,VAN POPPEL Danny,20,Trek Factory Racing,,,0:580:58,38.194,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
64,65,65,+0:58,213,DEGAND Thomas,28,Wanty - Groupe Gobert,,,",,0:58",38.194,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
65,66,66,+0:59,155,ROY Jérémy,30,FDJ.fr,,,0:590:59,38.150999999999996,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
66,67,67,+1:00,104,KRUIJSWIJK Steven,27,Belkin-Pro Cycling Team,,,1:001:00,38.108000000000004,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
67,68,68,+1:00,102,CLEMENT Stef,31,Belkin-Pro Cycling Team,,,",,1:00",38.108000000000004,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
68,69,69,+1:01,143,GAVAZZI Francesco,29,Astana Pro Team,,,1:011:01,38.065,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
69,70,70,+1:02,162,ARMÉE Sander,28,Lotto Belisol,,,1:021:02,38.022,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
70,71,71,+1:02,192,MARCZYŃSKI Tomasz,30,CCC Polsat Polkowice,,,",,1:02",38.022,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
71,72,72,+1:04,47,ROWE Luke,24,Team Sky,,,1:041:04,37.937,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
72,73,73,+1:04,65,MORABITO Steve,31,BMC Racing Team,,,",,1:04",37.937,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
73,74,74,+1:04,141,AGNOLI Valerio,29,Astana Pro Team,,,",,1:04",37.937,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
74,75,75,+1:06,84,DIDIER Laurent,29,Trek Factory Racing,,,1:061:06,37.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
75,76,76,+1:06,115,DANIELSON Tom,36,Garmin Sharp,,,",,1:06",37.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
76,77,77,+1:06,202,GERDEMANN Linus,31,MTN - Qhubeka,,,",,1:06",37.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
77,78,78,+1:06,75,MØRKØV Michael,29,Tinkoff - Saxo,,,",,1:06",37.852,Tour_de_Suisse,1,14 June 2014,40.87 km/h,0,9.4 km,16
