,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,145.0,+32:56,12,CAVENDISH Mark,29,Omega Pharma - Quick-Step,6.0,50.0,3:35:03,Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
1,2,130.0,+28:34,25,LOBATO Juan José,25,Movistar Team,4.0,30.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
2,3,3.0,+0:10,131,SAGAN Peter,24,Cannondale,2.0,18.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
3,4,103.0,+16:45,4,MODOLO Sacha,26,Lampre - Merida,1.0,13.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
4,5,120.0,+24:24,35,KRISTOFF Alexander,26,Team Katusha,1.0,10.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
5,6,116.0,+23:47,88,VAN POPPEL Danny,20,Trek Factory Racing,,7.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
6,7,154.0,+35:34,167,VAN GENECHTEN Jonas,27,Lotto Belisol,,4.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
7,8,124.0,+25:33,51,APPOLLONIO Davide,25,AG2R La Mondiale,,3.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
8,9,25.0,+0:47,28,ROJAS José Joaquín,29,Movistar Team,,2.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
9,10,135.0,+30:34,95,GOSS Matthew,27,Orica GreenEDGE,,1.0,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
10,11,147.0,+33:13,144,GUARNIERI Jacopo,26,Astana Pro Team,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
11,12,117.0,+23:55,75,MØRKØV Michael,29,Tinkoff - Saxo,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
12,13,47.0,+2:02,63,DILLIER Silvan,23,BMC Racing Team,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
13,14,151.0,+35:16,172,COQUARD Bryan,22,Team Europcar,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
14,15,97.0,+14:08,48,SWIFT Ben,26,Team Sky,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
15,16,88.0,+11:33,74,BRESCHEL Matti,29,Tinkoff - Saxo,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
16,17,137.0,+31:15,201,CIOLEK Gerald,27,MTN - Qhubeka,,,",,0:00",Tour_de_Suisse,4,17 June 2014,44.75 km/h,0,160.4 km,16
