,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,21.0,+2:48,0,CUMMINGS Steve,31,BMC Racing Team,6.0,50.0,4:05:08,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
1,2,18.0,+1:09,0,HESJEDAL Ryder,31,Garmin Sharp,4.0,30.0,0:020:02,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
2,3,3.0,+0:46,0,BOASSON HAGEN Edvald,25,Sky Procycling,2.0,18.0,0:170:17,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
3,4,23.0,+3:24,0,BENNATI Daniele,32,RadioShack - Nissan,1.0,13.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
4,5,10.0,+1:00,0,WELLENS Tim,21,Lotto Belisol Team,1.0,10.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
5,6,2.0,+0:40,0,GAVAZZI Francesco,28,Astana Pro Team,,7.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
6,7,15.0,+1:05,0,SLAGTER Tom-Jelte,23,Rabobank Cycling Team,,4.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
7,8,7.0,+0:56,0,MAJKA Rafał,23,Team Saxo Bank - Tinkoff Bank,,3.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
8,9,16.0,+1:06,0,FRANK Mathias,25,BMC Racing Team,,2.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
9,10,17.0,+1:09,0,CLARKE Simon,26,Orica GreenEDGE,,1.0,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
10,11,6.0,+0:56,0,NOCENTINI Rinaldo,35,AG2R La Mondiale,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
11,12,9.0,+1:00,0,COSTA Rui,26,Movistar Team,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
12,13,22.0,+3:14,0,MORI Manuele,32,Lampre - ISD,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
13,14,28.0,+4:25,0,GUSEV Vladimir,30,Team Katusha,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
14,15,11.0,+1:00,0,VELASCO Iván,32,Euskaltel - Euskadi,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
15,16,5.0,+0:52,0,CAPECCHI Eros,26,Liquigas - Cannondale,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
16,17,41.0,+8:52,0,HOOGERLAND Johnny,29,Vacansoleil - DCM,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
17,18,8.0,+0:56,0,MARCZYŃSKI Tomasz,28,Vacansoleil - DCM,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
18,19,14.0,+1:00,0,KRUIJSWIJK Steven,25,Rabobank Cycling Team,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
19,20,12.0,+1:00,0,SÁNCHEZ Samuel,34,Euskaltel - Euskadi,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
20,21,1.0,+0:00,0,MARTIN Tony,27,Omega Pharma - Quick-Step,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
21,22,25.0,+3:43,0,PATERSKI Maciej,26,Liquigas - Cannondale,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
22,23,4.0,+0:50,0,MARTIN Dan,26,Garmin Sharp,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
23,24,19.0,+1:09,0,MOSER Moreno,21,Liquigas - Cannondale,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
24,25,13.0,+1:00,0,KANGERT Tanel,25,Astana Pro Team,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
25,26,33.0,+5:38,0,VERDUGO Gorka,33,Euskaltel - Euskadi,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
26,27,51.0,+11:40,0,NIEVE Mikel,28,Euskaltel - Euskadi,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
27,28,26.0,+3:45,0,ANTÓN Igor,29,Euskaltel - Euskadi,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
28,29,86.0,+25:08,0,DEKKER Thomas,28,Garmin Sharp,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
29,30,24.0,+3:31,0,BUTLER Chris,24,Champion System Pro Cycling Team,,,",,0:17",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
30,31,20.0,+1:36,0,ZUBELDIA Haimar,35,RadioShack - Nissan,,,0:280:28,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
31,32,43.0,+10:03,0,CATALDO Dario,27,Omega Pharma - Quick-Step,,,0:360:36,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
32,33,36.0,+6:04,0,PUCCIO Salvatore,23,Sky Procycling,,,",,0:36",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
33,34,39.0,+7:27,0,BAKELANTS Jan,26,RadioShack - Nissan,,,1:101:10,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
34,35,54.0,+13:09,0,MEIER Christian,27,Orica GreenEDGE,,,1:481:48,Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
35,36,35.0,+6:02,0,PHINNEY Taylor,22,BMC Racing Team,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
36,37,29.0,+5:03,0,DAVIS Allan Howard,32,Orica GreenEDGE,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
37,38,31.0,+5:20,0,HOWARD Leigh,22,Orica GreenEDGE,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
38,39,42.0,+9:01,0,ROUX Anthony,25,FDJ - BigMat,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
39,40,81.0,+23:19,0,HENDERSON Gregory,36,Lotto Belisol Team,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
40,41,38.0,+6:05,0,HANSEN Adam,31,Lotto Belisol Team,,,",,1:48",Tour_of_Beijing,5,13 October 2012,44.67 km/h,0,182.5 km,31
