,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,101,YATES Adam,27,Mitchelton-Scott,40.0,35.0,4:42:33,UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
1,2,2,+1:07,171,POGAČAR Tadej,21,UAE-Team Emirates,15.0,20.0,1:031:03,UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
2,3,3,+1:35,11,LUTSENKO Alexey,27,Astana Pro Team,6.0,12.0,1:301:30,UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
3,4,4,+1:40,72,GAUDU David,23,Groupama - FDJ,,9.0,",,1:30",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
4,5,5,+1:40,34,MAJKA Rafał,30,BORA - hansgrohe,,7.0,",,1:30",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
5,6,7,+2:06,177,ULISSI Diego,30,UAE-Team Emirates,,5.0,1:561:56,UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
6,7,8,+2:06,33,KONRAD Patrick,28,BORA - hansgrohe,,3.0,",,1:56",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
7,8,22,+3:06,14,IZAGIRRE Gorka,32,Astana Pro Team,,2.0,",,1:56",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
8,9,9,+2:06,51,HERRADA Jesús,29,"Cofidis, Solutions Crédits",,1.0,",,1:56",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
9,10,10,+2:06,133,DUNBAR Eddie,23,Team INEOS,,,",,1:56",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
10,11,6,+2:06,151,KELDERMAN Wilco,28,Team Sunweb,,,",,1:56",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
11,12,11,+2:12,173,FORMOLO Davide,27,UAE-Team Emirates,,,2:022:02,UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
12,13,12,+2:12,121,POZZOVIVO Domenico,37,NTT Pro Cycling,,,",,2:02",UAE_Tour,3,25 February 2020,39.07 km/h,140,184 km,24
