,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,116.0,+44:30,43,BENNETT Sam,28,BORA - hansgrohe,40.0,35.0,3:17:51,UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
1,2,78.0,+31:53,192,GAVIRIA Fernando,24,UAE-Team Emirates,15.0,20.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
2,3,79.0,+35:07,101,EWAN Caleb,24,Lotto Soudal,6.0,12.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
3,4,85.0,+36:33,191,KRISTOFF Alexander,31,UAE-Team Emirates,,9.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
4,5,117.0,+45:10,61,VIVIANI Elia,30,Deceuninck - Quick Step,,7.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
5,6,105.0,+42:12,32,BAUHAUS Phil,24,Bahrain Merida,,5.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
6,7,118.0,+45:12,177,WALSCHEID Max,25,Team Sunweb,,3.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
7,8,72.0,+29:54,116,MEZGEC Luka,30,Mitchelton-Scott,,2.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
8,9,90.0,+38:38,186,MOSCHETTI Matteo,22,Trek - Segafredo,,1.0,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
9,10,107.0,+42:29,163,HALVORSEN Kristoffer,22,Team Sky,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
10,11,120.0,+45:31,74,MCLAY Daniel,27,EF Education First,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
11,12,111.0,+43:29,96,SARREAU Marc,25,Groupama - FDJ,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
12,13,95.0,+39:39,67,SABATINI Fabio,34,Deceuninck - Quick Step,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
13,14,114.0,+43:47,81,PORSEV Alexander,33,Gazprom-RusVelo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
14,15,99.0,+40:14,66,MØRKØV Michael,33,Deceuninck - Quick Step,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
15,16,9.0,+1:45,133,DE PLUS Laurens,23,Team Jumbo-Visma,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
16,17,113.0,+43:44,14,DUMOULIN Samuel,38,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
17,18,123.0,+46:02,173,BOL Cees,23,Team Sunweb,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
18,19,121.0,+45:58,55,MARECZKO Jakub,24,CCC Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
19,20,108.0,+42:39,156,PERON Andrea,30,Team Novo Nordisk,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
20,21,115.0,+43:58,102,BLYTHE Adam,29,Lotto Soudal,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
21,22,53.0,+18:10,124,JANSE VAN RENSBURG Reinardt,30,Team Dimension Data,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
22,23,17.0,+2:30,193,COSTA Rui,32,UAE-Team Emirates,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
23,24,5.0,+1:04,175,KELDERMAN Wilco,27,Team Sunweb,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
24,25,30.0,+5:56,16,JAUREGUI Quentin,24,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
25,26,1.0,+0:00,131,ROGLIČ Primož,29,Team Jumbo-Visma,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
26,27,15.0,+2:19,197,ULISSI Diego,29,UAE-Team Emirates,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
27,28,6.0,+1:08,171,DUMOULIN Tom,28,Team Sunweb,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
28,29,13.0,+1:56,47,SCHACHMANN Maximilian,25,BORA - hansgrohe,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
29,30,14.0,+2:04,53,DE LA PARTE Víctor,32,CCC Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
30,31,2.0,+0:31,1,VALVERDE Alejandro,38,Movistar Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
31,32,3.0,+0:44,94,GAUDU David,22,Groupama - FDJ,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
32,33,124.0,+46:12,84,KURIANOV Stepan,22,Gazprom-RusVelo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
33,34,126.0,+48:23,152,BENHAMOUDA Mehdi,24,Team Novo Nordisk,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
34,35,18.0,+2:47,114,BOOKWALTER Brent,35,Mitchelton-Scott,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
35,36,59.0,+21:34,46,PFINGSTEN Christoph,31,BORA - hansgrohe,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
36,37,4.0,+0:56,44,BUCHMANN Emanuel,26,BORA - hansgrohe,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
37,38,7.0,+1:11,195,MARTIN Dan,32,UAE-Team Emirates,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
38,39,11.0,+1:52,41,FORMOLO Davide,26,BORA - hansgrohe,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
39,40,39.0,+10:00,11,WARBASSE Larry,28,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
40,41,58.0,+21:21,5,MAS Lluís,29,Movistar Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
41,42,38.0,+9:46,21,IZAGIRRE Gorka,31,Astana Pro Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
42,43,86.0,+36:43,93,DELAGE Mickaël,33,Groupama - FDJ,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
43,44,112.0,+43:31,141,KITTEL Marcel,30,Team Katusha Alpecin,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
44,45,54.0,+19:43,91,ROUX Anthony,31,Groupama - FDJ,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
45,46,49.0,+16:50,155,KUSZTOR Péter,34,Team Novo Nordisk,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
46,47,8.0,+1:29,65,KNOX James,23,Deceuninck - Quick Step,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
47,48,10.0,+1:49,164,KWIATKOWSKI Michał,28,Team Sky,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
48,49,20.0,+3:32,115,GRMAY Tsgabu,27,Mitchelton-Scott,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
49,50,60.0,+23:49,97,SCOTSON Miles,25,Groupama - FDJ,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
50,51,12.0,+1:54,26,HIRT Jan,28,Astana Pro Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
51,52,103.0,+41:43,151,IRVINE Declan,19,Team Novo Nordisk,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
52,53,122.0,+45:58,83,BOEV Igor,29,Gazprom-RusVelo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
53,54,21.0,+3:55,15,GALLOPIN Tony,30,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
54,55,109.0,+42:55,121,CAVENDISH Mark,33,Team Dimension Data,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
55,56,16.0,+2:22,71,VAN GARDEREN Tejay,30,EF Education First,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
56,57,45.0,+14:24,56,OWSIAN Łukasz,29,CCC Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
57,58,76.0,+31:27,127,THOMSON Jay Robert,32,Team Dimension Data,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
58,59,56.0,+20:26,7,SÜTTERLIN Jasha,26,Movistar Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
59,60,22.0,+4:26,27,VILLELLA Davide,27,Astana Pro Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
60,61,129.0,+51:06,42,BAŠKA Erik,25,BORA - hansgrohe,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
61,62,31.0,+6:20,126,MEINTJES Louis,27,Team Dimension Data,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
62,63,32.0,+6:25,85,NYCH Artem,23,Gazprom-RusVelo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
63,64,61.0,+24:17,72,BENNETT Sean,22,EF Education First,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
64,65,40.0,+10:16,57,ROSSKOPF Joey,29,CCC Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
65,66,28.0,+5:34,125,KREUZIGER Roman,32,Team Dimension Data,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
66,67,26.0,+5:12,17,PARET-PEINTRE Aurélien,23,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
67,68,27.0,+5:26,183,EG Niklas,24,Trek - Segafredo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
68,69,43.0,+13:25,22,BOARO Manuele,31,Astana Pro Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
69,70,106.0,+42:14,104,KLUGE Roger,33,Lotto Soudal,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
70,71,19.0,+2:53,12,BOUCHARD Geoffrey,26,AG2R La Mondiale,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
71,72,23.0,+4:38,167,SIVAKOV Pavel,21,Team Sky,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
72,73,24.0,+4:46,105,LAMBRECHT Bjorg,21,Lotto Soudal,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
73,74,33.0,+6:25,82,ARSLANOV Ildar,24,Gazprom-RusVelo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
74,75,69.0,+28:55,2,AMADOR Andrey,32,Movistar Team,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
75,76,67.0,+28:04,144,KOCHETKOV Pavel,32,Team Katusha Alpecin,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
76,77,91.0,+39:20,187,REIJNEN Kiel,32,Trek - Segafredo,,,",,0:00",UAE_Tour,7,02 March 2019,43.973 km/h,0,145 km,25
