,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,21,KRISTOFF Alexander,27,Team Katusha,80.0,225.0,5:55:24,Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
1,2,105,NIZZOLO Giacomo,25,Trek Factory Racing,60.0,150.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
2,3,131,GERRANS Simon,34,Orica GreenEDGE,50.0,110.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
3,4,152,FARRAR Tyler,30,Garmin Sharp,40.0,90.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
4,5,53,CAVENDISH Mark,29,Omega Pharma - Quick-Step,30.0,80.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
5,6,4,KITTEL Marcel,26,Team Giant - Shimano,22.0,70.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
6,7,123,CIMOLAI Davide,25,Lampre - Merida,14.0,60.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
7,8,33,LOBATO Juan José,25,Movistar Team,10.0,50.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
8,9,83,DILLIER Silvan,24,BMC Racing Team,6.0,46.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
9,10,154,KREDER Raymond,24,Garmin Sharp,2.0,42.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
10,11,41,APPOLLONIO Davide,25,AG2R La Mondiale,,38.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
11,12,77,VANMARCKE Sep,26,Belkin-Pro Cycling Team,,34.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
12,13,124,MORI Manuele,34,Lampre - Merida,,30.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
13,14,97,TLEUBAYEV Ruslan,27,Astana Pro Team,,26.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
14,15,112,BOASSON HAGEN Edvald,27,Team Sky,,22.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
15,16,51,ALAPHILIPPE Julian,22,Omega Pharma - Quick-Step,,20.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
16,17,116,SUTTON Chris,29,Team Sky,,18.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
17,18,16,SIEBERG Marcel,32,Lotto Belisol,,17.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
18,19,67,BRESCHEL Matti,29,Tinkoff - Saxo,,16.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
19,20,187,THWAITES Scott,24,Team NetApp – Endura,,15.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
20,21,13,BROECKX Stig,24,Lotto Belisol,,14.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
21,22,73,VAN DER LIJKE Nick,22,Belkin-Pro Cycling Team,,13.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
22,23,18,VAN GENECHTEN Jonas,27,Lotto Belisol,,12.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
23,24,127,PALINI Andrea,25,Lampre - Merida,,11.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
24,25,126,POLANC Jan,22,Lampre - Merida,,10.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
25,26,35,SANZ Enrique,24,Movistar Team,,9.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
26,27,57,TRENTIN Matteo,25,Omega Pharma - Quick-Step,,8.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
27,28,158,VON HOFF Steele,26,Garmin Sharp,,7.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
28,29,162,KOREN Kristijan,27,Cannondale,,6.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
29,30,15,ROELANDTS Jürgen,29,Lotto Belisol,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
30,31,182,BENEDETTI Cesare,27,Team NetApp – Endura,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
31,32,147,OFFREDO Yoann,27,FDJ.fr,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
32,33,171,COQUARD Bryan,22,Team Europcar,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
33,34,92,BOŽIČ Borut,34,Astana Pro Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
34,35,52,MEERSMAN Gianni,28,Omega Pharma - Quick-Step,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
35,36,68,TRUSOV Nikolay,29,Tinkoff - Saxo,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
36,37,93,GASPAROTTO Enrico,32,Astana Pro Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
37,38,176,PICHOT Alexandre,31,Team Europcar,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
38,39,58,STEEGMANS Gert,33,Omega Pharma - Quick-Step,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
39,40,81,VELITS Peter,29,BMC Racing Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
40,41,37,VENTOSO Francisco José,32,Movistar Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
41,42,181,BÁRTA Jan,29,Team NetApp – Endura,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
42,43,138,KEUKELEIRE Jens,25,Orica GreenEDGE,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
43,44,42,BAGDONAS Gediminas,28,AG2R La Mondiale,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
44,45,145,DÉMARE Arnaud,22,FDJ.fr,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
45,46,43,GASTAUER Ben,26,AG2R La Mondiale,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
46,47,76,TANNER David,29,Belkin-Pro Cycling Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
47,48,98,KAMYSHEV Arman,23,Astana Pro Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
48,49,1,CURVERS Roy,34,Team Giant - Shimano,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
49,50,54,RENSHAW Mark,31,Omega Pharma - Quick-Step,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
50,51,12,BAK Lars Ytting,34,Lotto Belisol,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
51,52,85,LANDER Sebastian,23,BMC Racing Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
52,53,47,KERN Julian,24,AG2R La Mondiale,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
53,54,94,GRIVKO Andrey,31,Astana Pro Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
54,55,91,AGNOLI Valerio,29,Astana Pro Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
55,56,115,PUCCIO Salvatore,24,Team Sky,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
56,57,185,SCHILLINGER Andreas,31,Team NetApp – Endura,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
57,58,32,LASTRAS Pablo,38,Movistar Team,,5.0,",,0:00",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
58,59,23,GUSEV Vladimir,32,Team Katusha,,5.0,0:120:12,Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
59,60,95,GAVAZZI Francesco,30,Astana Pro Team,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
60,61,88,VAN AVERMAET Greg,29,BMC Racing Team,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
61,62,104,HONDO Danilo,40,Trek Factory Racing,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
62,63,64,ROCHE Nicolas,30,Tinkoff - Saxo,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
63,64,107,VAN POPPEL Boy,26,Trek Factory Racing,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
64,65,173,GÈNE Yohann,33,Team Europcar,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
65,66,62,PETROV Evgeni,36,Tinkoff - Saxo,,5.0,",,0:12",Vattenfall_Cyclassics,0,24 August 2014,41.513 km/h,0,245.9 km,33
