,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,32.0,+8:23,0,SIMON Julien,26,Saur - Sojasun,6.0,50.0,4:58:27,Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
1,2,5.0,+1:32,0,URÁN Rigoberto,25,Sky Procycling,4.0,30.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
2,3,13.0,+1:32,0,SZMYD Sylwester,34,Liquigas - Cannondale,2.0,18.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
3,4,4.0,+1:32,0,SÁNCHEZ Samuel,34,Euskaltel - Euskadi,1.0,13.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
4,5,10.0,+1:32,0,CATALDO Dario,27,Omega Pharma - Quick-Step,1.0,10.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
5,6,2.0,+1:32,0,VAN DEN BROECK Jurgen,29,Lotto Belisol Team,,7.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
6,7,1.0,+0:00,0,ALBASINI Michael,31,Orica GreenEDGE,,4.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
7,8,12.0,+1:32,0,MENCHOV Denis,34,Team Katusha,,3.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
8,9,3.0,+1:32,0,MARTIN Dan,25,Team Garmin - Barracuda,,2.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
9,10,9.0,+1:32,0,KIŠERLOVSKI Robert,25,Astana Pro Team,,1.0,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
10,11,14.0,+1:32,0,KRUIJSWIJK Steven,24,Rabobank Cycling Team,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
11,12,27.0,+5:19,0,EDET Nicolas,24,"Cofidis, le Crédit en Ligne",,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
12,13,20.0,+2:23,0,FEILLU Brice,26,Saur - Sojasun,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
13,14,7.0,+1:32,0,DANIELSON Tom,34,Team Garmin - Barracuda,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
14,15,6.0,+1:32,0,CUNEGO Damiano,30,Lampre - ISD,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
15,16,15.0,+1:32,0,STETINA Peter,24,Team Garmin - Barracuda,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
16,17,11.0,+1:32,0,CARRARA Matteo,32,Vacansoleil - DCM,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
17,18,23.0,+3:41,0,FRANK Mathias,25,BMC Racing Team,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
18,19,19.0,+2:23,0,PALOMARES Adrián,36,Andalucia - Caja Granada,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
19,20,8.0,+1:32,0,PARDILLA Sergio,28,Movistar Team,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
20,21,17.0,+2:16,0,GESINK Robert,25,Rabobank Cycling Team,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
21,22,18.0,+2:16,0,LOSADA Alberto,30,Team Katusha,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
22,23,26.0,+5:18,0,QUINTANA Nairo,22,Movistar Team,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
23,24,21.0,+3:07,0,TROFIMOV Yuri,28,Team Katusha,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
24,25,22.0,+3:07,0,SØRENSEN Chris Anker,27,Team Saxo Bank - Tinkoff Bank,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
25,26,24.0,+4:25,0,GARCÍA Marcos,25,Caja Rural,,,",,0:00",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
26,27,25.0,+4:29,0,JEANDESBOZ Fabrice,27,Saur - Sojasun,,,0:100:10,Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
27,28,16.0,+1:42,0,LEIPHEIMER Levi,38,Omega Pharma - Quick-Step,,,",,0:10",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
28,29,82.0,+29:47,0,VANDEWALLE Kristof,26,Omega Pharma - Quick-Step,,,1:261:26,Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
29,30,39.0,+9:18,0,IGNATENKO Petr,24,Team Katusha,,,4:594:59,Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
30,31,45.0,+10:36,0,TORIBIO José Vicente,26,Andalucia - Caja Granada,,,",,4:59",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
31,32,42.0,+10:36,0,PAUWELS Serge,28,Omega Pharma - Quick-Step,,,",,4:59",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
32,33,97.0,+33:20,0,SIMÓN Jordi,21,Andalucia - Caja Granada,,,",,4:59",Volta_Ciclista_a_Catalunya,5,23 March 2012,41.64 km/h,0,207.1 km,19
