,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,126,GERRANS Simon,32,Orica GreenEDGE,6.0,50.0,4:06:33,Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
1,2,2.0,+0:00,38,VELITS Peter,28,Omega Pharma - Quick-Step,4.0,30.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
2,3,3.0,+0:00,78,VICIOSO Ángel,35,Team Katusha,2.0,18.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
3,4,4.0,+0:00,64,GAVAZZI Francesco,28,Astana Pro Team,1.0,13.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
4,5,5.0,+0:00,61,FUGLSANG Jakob,28,Astana Pro Team,1.0,10.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
5,6,6.0,+0:00,15,HENAO Sergio,25,Sky Procycling,,7.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
6,7,7.0,+0:00,91,CONTADOR Alberto,30,Team Saxo - Tinkoff,,4.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
7,8,8.0,+0:00,11,PORTE Richie,28,Sky Procycling,,3.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
8,9,9.0,+0:00,51,QUINTANA Nairo,23,Movistar Team,,2.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
9,10,10.0,+0:00,128,WEENING Pieter,31,Orica GreenEDGE,,1.0,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
10,11,11.0,+0:00,115,VAN GARDEREN Tejay,24,BMC Racing Team,,,",,0:00",Vuelta_Ciclista_al_Pais_Vasco,1,01 April 2013,38.086 km/h,0,156.5 km,12
