,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,29.0,+12:10,41,DUMOULIN Tom,24,Team Giant - Alpecin,6.0,50.0,0:28:46,38.169000000000004,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
1,2,1.0,+0:00,121,RODRÍGUEZ Joaquim,35,Team Katusha,4.0,30.0,0:040:04,38.080999999999996,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
2,3,3.0,+0:29,38,IZAGIRRE Ion,26,Movistar Team,2.0,18.0,0:050:05,38.059,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
3,4,2.0,+0:13,22,HENAO Sergio,27,Team Sky,1.0,13.0,0:170:17,37.797,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
4,5,30.0,+12:56,36,INTXAUSTI Beñat,29,Movistar Team,1.0,10.0,0:210:21,37.71,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
5,6,39.0,+19:02,167,FELLINE Fabio,25,Trek Factory Racing,,7.0,0:230:23,37.667,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
6,7,4.0,+0:38,31,QUINTANA Nairo,25,Movistar Team,,4.0,0:300:30,37.516999999999996,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
7,8,7.0,+1:14,131,COSTA Rui,28,Lampre - Merida,,3.0,0:340:34,37.431999999999995,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
8,9,47.0,+22:00,97,TAARAMÄE Rein,27,Astana Pro Team,,2.0,0:360:36,37.389,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
9,10,8.0,+1:15,111,KWIATKOWSKI Michał,24,Etixx - Quick Step,,1.0,0:370:37,37.368,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
10,11,32.0,+13:12,112,MARTIN Tony,29,Etixx - Quick Step,,,0:420:42,37.262,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
11,12,5.0,+0:46,68,YATES Simon,22,Orica GreenEDGE,,,0:430:43,37.241,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
12,13,6.0,+1:06,92,SCARPONI Michele,35,Astana Pro Team,,,0:480:48,37.135999999999996,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
13,14,16.0,+3:16,51,PERAUD Jean-Christophe,37,AG2R La Mondiale,,,",,0:48",37.135999999999996,Vuelta_Ciclista_al_Pais_Vasco,6,11 April 2015,38.17 km/h,0,18.3 km,9
