,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,109,+1:13:52,77,MARTIN Tony,26,HTC - High Road,16.0,80.0,0:55:54,50.446999999999996,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
1,2,1,+0:00,183,FROOME Chris,26,Sky Procycling,8.0,50.0,0:590:59,49.575,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
2,3,3,+0:20,188,WIGGINS Bradley,31,Sky Procycling,4.0,35.0,1:221:22,49.243,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
3,4,145,+1:38:33,102,CANCELLARA Fabian,30,Leopard Trek,2.0,25.0,1:271:27,49.172,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
4,5,179,+2:17:07,33,PHINNEY Taylor,21,BMC Racing Team,1.0,18.0,1:331:33,49.086000000000006,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
5,6,2,+0:12,103,FUGLSANG Jakob,26,Leopard Trek,,15.0,1:371:37,49.028999999999996,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
6,7,16,+3:28,206,MACHADO Tiago,25,RadioShack,,12.0,1:541:54,48.788999999999994,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
7,8,9,+2:04,201,BRAJKOVIČ Janez,27,RadioShack,,10.0,1:561:56,48.761,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
8,9,33,+10:17,158,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,8.0,2:022:02,48.677,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
9,10,6,+0:59,104,MONFORT Maxime,28,Leopard Trek,,6.0,2:062:06,48.621,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
10,11,5,+0:34,131,KESSIAKOFF Fredrik,31,Pro Team Astana,,5.0,2:182:18,48.45399999999999,Vuelta_a_Espa_a,10,29 August 2011,50.45 km/h,14,47 km,6
