,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,113,+3:25:14,101,BENNATI Daniele,30,Leopard Trek,,80.0,4:39:20,Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
1,2,79,+2:35:11,132,GASPAROTTO Enrico,29,Pro Team Astana,,50.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
2,3,74,+2:25:18,3,CARUSO Damiano,23,Liquigas - Cannondale,,35.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
3,4,141,+4:15:06,199,VANMARCKE Sep,23,Team Garmin - Cervélo,,25.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
4,5,70,+2:18:40,179,DE KORT Koen,29,Skil - Shimano,,18.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
5,6,106,+3:13:02,93,MORI Manuele,31,Lampre - ISD,,15.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
6,7,56,+1:52:48,147,MALACARNE Davide,24,Quickstep Cycling Team,,12.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
7,8,103,+3:08:25,149,VANDEWALLE Kristof,26,Quickstep Cycling Team,,10.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
8,9,4,+2:03,157,MOLLEMA Bauke,24,Rabobank Cycling Team,,8.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
9,10,21,+20:22,2,CAPECCHI Eros,25,Liquigas - Cannondale,,6.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
10,11,19,+14:31,81,RODRÍGUEZ Joaquim,32,Team Katusha,,5.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
11,12,9,+5:20,85,MORENO Daniel,30,Team Katusha,,4.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
12,13,71,+2:21:34,52,ISASI Iñaki,34,Euskaltel - Euskadi,,3.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
13,14,120,+3:33:22,169,SØRENSEN Nicki,36,Saxo Bank - Sungard,,2.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
14,15,38,+1:13:07,6,NERZ Dominik,22,Liquigas - Cannondale,,1.0,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
15,16,17,+11:42,217,POELS Wout,23,Vacansoleil - DCM,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
16,17,62,+2:08:45,43,MATÉ Luis Ángel,27,"Cofidis, le Crédit en Ligne",,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
17,18,126,+3:43:59,111,ERVITI Imanol,27,Movistar Team,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
18,19,11,+5:50,103,FUGLSANG Jakob,26,Leopard Trek,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
19,20,7,+4:31,1,NIBALI Vincenzo,26,Liquigas - Cannondale,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
20,21,16,+10:25,11,ROCHE Nicolas,27,AG2R La Mondiale,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
21,22,83,+2:44:59,38,VAN AVERMAET Greg,26,BMC Racing Team,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
22,23,15,+8:57,215,LAGUTIN Sergey,30,Vacansoleil - DCM,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
23,24,8,+4:45,127,VAN DEN BROECK Jurgen,28,Omega Pharma-Lotto,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
24,25,26,+36:38,12,BONNAFOND Guillaume,24,AG2R La Mondiale,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
25,26,2,+0:13,183,FROOME Chris,26,Sky Procycling,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
26,27,53,+1:49:50,158,SÁNCHEZ Luis León,27,Rabobank Cycling Team,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
27,28,1,+0:00,61,COBO Juan José,30,Geox-TMC Transformers,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
28,29,32,+48:06,121,BAKELANTS Jan,25,Omega Pharma-Lotto,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
29,30,49,+1:47:03,173,FRÖHLINGER Johannes,26,Skil - Shimano,,,",,0:00",Vuelta_a_Espa_a,20,10 September 2011,40.167 km/h,122,187 km,6
