,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,114,+3:50:52,157,MALORI Adriano,26,Movistar Team,16.0,80.0,0:11:12,51.964,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
1,2,131,+4:15:10,216,SERGENT Jesse,26,Trek Factory Racing,8.0,50.0,0:080:08,51.353,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
2,3,84,+3:12:44,42,DENNIS Rohan,24,BMC Racing Team,4.0,35.0,0:090:09,51.278,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
3,4,110,+3:47:48,195,KIRYIENKA Vasil,33,Team Sky,2.0,25.0,0:170:17,50.681999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
4,5,157,+5:01:15,85,ENGOULVENT Jimmy,34,Team Europcar,1.0,18.0,",,0:17",50.681999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
5,6,113,+3:50:42,133,CHERNETSKI Sergei,24,Team Katusha,,15.0,0:180:18,50.608999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
6,7,122,+4:00:23,63,BODNAR Maciej,29,Cannondale,,12.0,",,0:18",50.608999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
7,8,100,+3:35:42,27,LUTSENKO Alexey,22,Astana Pro Team,,10.0,",,0:18",50.608999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
8,9,88,+3:17:16,217,STUYVEN Jasper,22,Trek Factory Racing,,8.0,",,0:18",50.608999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
9,10,132,+4:16:59,14,GAUDIN Damien,28,AG2R La Mondiale,,6.0,",,0:18",50.608999999999995,Vuelta_a_Espa_a,21,14 September 2014,51.96 km/h,33,9.7 km,6
