,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,147.0,+1:51,187,SUTTON Chris,26,Sky Procycling,,80.0,4:11:41,Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
1,2,92.0,+0:53,125,REYNÉS Vicente,30,Omega Pharma-Lotto,,50.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
2,3,12.0,+0:10,175,KITTEL Marcel,23,Skil - Shimano,,35.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
3,4,34.0,+0:25,191,FARRAR Tyler,27,Team Garmin - Cervélo,,25.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
4,5,65.0,+0:35,152,BRESCHEL Matti,26,Rabobank Cycling Team,,18.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
5,6,1.0,+0:00,101,BENNATI Daniele,30,Leopard Trek,,15.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
6,7,13.0,+0:10,132,GASPAROTTO Enrico,29,Pro Team Astana,,12.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
7,8,127.0,+1:24,17,MONDORY Lloyd,29,AG2R La Mondiale,,10.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
8,9,138.0,+1:33,86,PAOLINI Luca,34,Team Katusha,,8.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
9,10,10.0,+0:09,73,DEGENKOLB John,22,HTC - High Road,,6.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
10,11,5.0,+0:04,7,SAGAN Peter,21,Liquigas - Cannondale,,5.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
11,12,32.0,+0:18,127,VAN DEN BROECK Jurgen,28,Omega Pharma-Lotto,,4.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
12,13,60.0,+0:32,96,PETACCHI Alessandro,37,Lampre - ISD,,3.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
13,14,40.0,+0:27,38,VAN AVERMAET Greg,26,BMC Racing Team,,2.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
14,15,54.0,+0:30,157,MOLLEMA Bauke,24,Rabobank Cycling Team,,1.0,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
15,16,126.0,+1:23,164,HAEDO Juan José,30,Saxo Bank - Sungard,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
16,17,6.0,+0:04,1,NIBALI Vincenzo,26,Liquigas - Cannondale,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
17,18,62.0,+0:33,47,TAARAMÄE Rein,24,"Cofidis, le Crédit en Ligne",,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
18,19,2.0,+0:00,103,FUGLSANG Jakob,26,Leopard Trek,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
19,20,61.0,+0:32,91,SCARPONI Michele,31,Lampre - ISD,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
20,21,41.0,+0:27,35,SANTAMBROGIO Mauro,26,BMC Racing Team,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
21,22,24.0,+0:15,141,BOONEN Tom,30,Quickstep Cycling Team,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
22,23,71.0,+0:42,11,ROCHE Nicolas,27,AG2R La Mondiale,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
23,24,77.0,+0:43,61,COBO Juan José,30,Geox-TMC Transformers,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
24,25,17.0,+0:14,119,MADRAZO Ángel,23,Movistar Team,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
25,26,33.0,+0:18,121,BAKELANTS Jan,25,Omega Pharma-Lotto,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
26,27,7.0,+0:04,2,CAPECCHI Eros,25,Liquigas - Cannondale,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
27,28,30.0,+0:18,179,DE KORT Koen,28,Skil - Shimano,,,",,0:00",Vuelta_a_Espa_a,2,21 August 2011,40.885 km/h,0,171.5 km,6
