,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,5.0,+0:59,161,ROGLIČ Primož,27,Team LottoNL-Jumbo,50.0,50.0,0:35:58,46.208999999999996,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
1,2,1.0,+0:00,111,VALVERDE Alejandro,36,Movistar Team,20.0,30.0,0:090:09,46.018,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
2,3,3.0,+0:21,31,IZAGIRRE Ion,28,Bahrain Merida Pro Cycling Team,8.0,18.0,0:150:15,45.89,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
3,4,2.0,+0:17,1,CONTADOR Alberto,34,Trek - Segafredo,,13.0,0:230:23,45.722,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
4,5,4.0,+0:44,134,DE LA CRUZ David,27,Quick-Step Floors,,10.0,0:340:34,45.493,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
5,6,39.0,+10:58,186,MATTHEWS Michael,26,Team Sunweb,,7.0,0:410:41,45.348,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
6,7,53.0,+17:13,176,KIRYIENKA Vasil,35,Team Sky,,4.0,0:520:52,45.122,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
7,8,23.0,+3:26,191,ULISSI Diego,27,UAE Team Emirates,,3.0,",,0:52",45.122,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
8,9,37.0,+10:18,112,DE LA PARTE Víctor,30,Movistar Team,,2.0,1:041:04,44.878,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
9,10,11.0,+2:12,163,BENNETT George,27,Team LottoNL-Jumbo,,1.0,1:231:23,44.498000000000005,Vuelta_al_Pais_Vasco,6,08 April 2017,46.21 km/h,0,27.7 km,24
