,Year,Weight,Score
0,2011,1,0.2765957446808511
1,2012,1,0.2864864864864865
2,2013,1,0.30935251798561153
3,2014,1,0.2945945945945946
4,2015,1,0.28293736501079914
5,2016,1,0.28933092224231466
6,2017,1,0.29893778452200304
7,2011,2,0.2765957446808511
8,2012,2,0.2864864864864865
9,2013,2,0.30935251798561153
10,2014,2,0.2945945945945946
11,2015,2,0.28293736501079914
12,2016,2,0.28933092224231466
13,2017,2,0.29893778452200304
14,2011,3,0.2765957446808511
15,2012,3,0.2864864864864865
16,2013,3,0.30935251798561153
17,2014,3,0.2945945945945946
18,2015,3,0.28293736501079914
19,2016,3,0.28933092224231466
20,2017,3,0.29893778452200304
21,2011,4,0.2765957446808511
22,2012,4,0.2864864864864865
23,2013,4,0.30935251798561153
24,2014,4,0.2945945945945946
25,2015,4,0.28293736501079914
26,2016,4,0.28933092224231466
27,2017,4,0.29893778452200304
28,2011,5,0.2765957446808511
29,2012,5,0.2864864864864865
30,2013,5,0.30935251798561153
31,2014,5,0.2945945945945946
32,2015,5,0.28293736501079914
33,2016,5,0.28933092224231466
34,2017,5,0.29893778452200304
35,2011,6,0.2765957446808511
36,2012,6,0.2864864864864865
37,2013,6,0.30935251798561153
38,2014,6,0.2945945945945946
39,2015,6,0.28293736501079914
40,2016,6,0.28933092224231466
41,2017,6,0.29893778452200304
42,2011,7,0.2765957446808511
43,2012,7,0.2864864864864865
44,2013,7,0.30935251798561153
45,2014,7,0.2945945945945946
46,2015,7,0.28293736501079914
47,2016,7,0.28933092224231466
48,2017,7,0.29893778452200304
49,2011,8,0.2765957446808511
50,2012,8,0.2864864864864865
51,2013,8,0.30935251798561153
52,2014,8,0.2945945945945946
53,2015,8,0.28293736501079914
54,2016,8,0.28933092224231466
55,2017,8,0.29893778452200304
56,2011,9,0.2765957446808511
57,2012,9,0.2864864864864865
58,2013,9,0.30935251798561153
59,2014,9,0.2945945945945946
60,2015,9,0.28293736501079914
61,2016,9,0.28933092224231466
62,2017,9,0.29893778452200304
63,2011,10,0.2765957446808511
64,2012,10,0.2864864864864865
65,2013,10,0.30935251798561153
66,2014,10,0.2945945945945946
67,2015,10,0.28293736501079914
68,2016,10,0.28933092224231466
69,2017,10,0.29893778452200304
70,2011,11,0.2765957446808511
71,2012,11,0.2864864864864865
72,2013,11,0.30935251798561153
73,2014,11,0.2945945945945946
74,2015,11,0.28293736501079914
75,2016,11,0.28933092224231466
76,2017,11,0.29893778452200304
77,2011,12,0.2765957446808511
78,2012,12,0.2864864864864865
79,2013,12,0.30935251798561153
80,2014,12,0.2945945945945946
81,2015,12,0.28293736501079914
82,2016,12,0.28933092224231466
83,2017,12,0.29893778452200304
84,2011,13,0.2765957446808511
85,2012,13,0.2864864864864865
86,2013,13,0.30935251798561153
87,2014,13,0.2945945945945946
88,2015,13,0.28293736501079914
89,2016,13,0.28933092224231466
90,2017,13,0.29893778452200304
91,2011,14,0.2765957446808511
92,2012,14,0.2864864864864865
93,2013,14,0.30935251798561153
94,2014,14,0.2945945945945946
95,2015,14,0.28293736501079914
96,2016,14,0.28933092224231466
97,2017,14,0.29893778452200304
98,2011,15,0.2765957446808511
99,2012,15,0.2864864864864865
100,2013,15,0.30935251798561153
101,2014,15,0.2945945945945946
102,2015,15,0.28293736501079914
103,2016,15,0.28933092224231466
104,2017,15,0.29893778452200304
105,2011,16,0.2765957446808511
106,2012,16,0.2864864864864865
