,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day
413,104.00,1.00,1.00,33.00,,22.00,1.00,2/23/2017,40.92 km/h,0.00,189 km,20,2017,2,23
414,58.00,1.00,1.00,33.00,,22.00,2.00,2/24/2017,44.1 km/h,0.00,153 km,20,2017,2,24
415,116.00,1.00,1.00,33.00,,22.00,3.00,2/25/2017,40.71 km/h,120.00,186 km,20,2017,2,25
416,62.00,1.00,1.00,33.00,,22.00,4.00,2/26/2017,46.86 km/h,0.00,143 km,20,2017,2,26
417,102.00,1.00,1.00,33.00,3,22.00,-1.00,2/26/2017,-,0.00,0 km,20,2017,2,26
418,24.00,1.00,1.00,33.00,,11.00,1.00,3/5/2017,43.95 km/h,0.00,148.5 km,4,2017,3,5
419,117.00,1.00,1.00,33.00,,11.00,2.00,3/6/2017,44.83 km/h,0.00,195 km,4,2017,3,6
420,48.00,1.00,1.00,33.00,,11.00,3.00,3/7/2017,42.03 km/h,0.00,190 km,4,2017,3,7
421,30.00,1.00,1.00,33.00,,11.00,4.00,3/8/2017,40.18 km/h,0.00,14.5 km,4,2017,3,8
422,37.00,1.00,1.00,33.00,,11.00,5.00,3/9/2017,42.21 km/h,0.00,199.5 km,4,2017,3,9
423,91.00,1.00,1.00,33.00,,11.00,6.00,3/10/2017,41.79 km/h,111.00,193.5 km,4,2017,3,10
424,77.00,1.00,1.00,33.00,,11.00,7.00,3/11/2017,35.21 km/h,0.00,177 km,4,2017,3,11
425,56.00,1.00,1.00,33.00,,11.00,8.00,3/12/2017,41.03 km/h,119.00,115.5 km,4,2017,3,12
426,51.00,1.00,1.00,33.00,5,11.00,-1.00,3/12/2017,-,0.00,0 km,4,2017,3,12
427,106.00,1.00,1.00,33.00,,1.00,1.00,3/20/2017,40 km/h,0.00,178.9 km,18,2017,3,20
428,117.00,1.00,1.00,33.00,,1.00,3.00,3/22/2017,36.78 km/h,128.00,188.3 km,18,2017,3,22
429,161.00,1.00,1.00,33.00,,1.00,4.00,3/23/2017,43.59 km/h,0.00,134 km,18,2017,3,23
430,101.00,1.00,1.00,33.00,,1.00,5.00,3/24/2017,42.85 km/h,204.00,182 km,18,2017,3,24
