,Date,Predicted
0,2011-01-18,0
1,2011-01-19,1
2,2011-01-20,0
3,2011-01-21,0
4,2011-01-22,0
5,2011-01-23,1
6,2011-01-18,1
7,2011-01-19,0
8,2011-01-20,1
9,2011-01-21,0
10,2011-01-22,1
11,2011-01-23,0
12,2011-01-23,0
13,2011-03-06,1
14,2011-03-07,1
15,2011-03-08,0
16,2011-03-09,1
17,2011-03-10,0
18,2011-03-11,0
19,2011-03-12,0
20,2011-03-13,0
21,2011-03-13,0
22,2011-03-06,0
23,2011-03-07,0
24,2011-03-08,1
25,2011-03-09,0
26,2011-03-10,0
27,2011-03-11,0
28,2011-03-12,0
29,2011-03-13,1
30,2011-03-10,0
31,2011-03-11,0
32,2011-03-13,0
33,2011-03-14,0
34,2011-03-11,1
35,2011-03-12,0
36,2011-03-13,0
37,2011-03-14,1
38,2011-03-15,0
39,2011-03-15,0
40,2011-03-19,0
41,2011-03-19,1
42,2011-03-21,0
43,2011-03-22,1
44,2011-03-23,1
45,2011-03-24,0
46,2011-03-25,0
47,2011-03-26,0
48,2011-03-27,1
49,2011-03-21,0
50,2011-03-22,0
51,2011-03-23,0
52,2011-03-24,0
53,2011-03-26,1
54,2011-03-27,1
55,2011-03-27,1
56,2011-03-27,0
57,2011-04-03,1
58,2011-04-04,0
59,2011-04-05,0
60,2011-04-06,0
61,2011-04-07,1
62,2011-04-08,0
63,2011-04-09,1
64,2011-04-09,1
65,2011-04-10,1
66,2011-04-17,1
67,2011-04-20,1
68,2011-04-24,1
69,2011-04-27,0
70,2011-04-28,1
71,2011-04-29,1
72,2011-04-30,0
73,2011-05-01,1
74,2011-05-01,0
75,2011-05-29,1
76,2011-05-08,0
77,2011-05-09,0
78,2011-05-10,0
79,2011-05-11,0
80,2011-05-12,0
81,2011-05-13,0
82,2011-05-14,0
83,2011-05-15,0
84,2011-05-17,0
85,2011-05-18,0
86,2011-05-19,0
87,2011-05-20,0
88,2011-05-21,0
89,2011-05-22,0
90,2011-05-24,0
91,2011-05-25,0
92,2011-05-26,0
93,2011-05-27,0
94,2011-05-28,0
95,2011-05-29,0
96,2011-06-06,0
97,2011-06-07,0
98,2011-06-08,1
99,2011-06-09,0
100,2011-06-10,0
101,2011-06-11,1
102,2011-06-12,0
103,2011-06-12,1
104,2011-06-12,0
105,2011-06-13,0
106,2011-06-14,0
107,2011-06-15,0
108,2011-06-16,0
109,2011-06-17,0
110,2011-06-18,0
111,2011-06-19,0
112,2011-06-19,0
113,2011-07-02,0
114,2011-07-04,0
115,2011-07-05,1
116,2011-07-06,1
117,2011-07-07,0
118,2011-07-08,1
119,2011-07-09,0
120,2011-07-10,0
121,2011-07-12,0
122,2011-07-13,1
123,2011-07-14,0
124,2011-07-15,0
125,2011-07-16,0
126,2011-07-17,1
127,2011-07-19,0
128,2011-07-20,0
129,2011-07-21,0
130,2011-07-22,0
131,2011-07-23,0
132,2011-07-24,0
133,2011-07-24,1
134,2011-07-30,1
135,2011-07-31,0
136,2011-08-01,0
137,2011-08-02,0
138,2011-08-03,0
139,2011-08-04,1
140,2011-08-05,0
141,2011-08-06,0
142,2011-08-06,1
143,2011-08-09,1
144,2011-08-10,1
145,2011-08-11,0
146,2011-08-12,0
147,2011-08-13,0
148,2011-08-14,1
149,2011-08-14,1
150,2011-08-21,0
151,2011-08-22,0
152,2011-08-23,0
153,2011-08-24,1
154,2011-08-25,0
155,2011-08-26,0
156,2011-08-27,1
157,2011-08-28,0
158,2011-08-29,1
159,2011-08-31,0
160,2011-09-01,1
161,2011-09-02,0
162,2011-09-03,0
163,2011-09-04,0
164,2011-09-06,0
165,2011-09-07,0
166,2011-09-08,0
167,2011-09-09,0
168,2011-09-10,0
169,2011-09-11,0
170,2011-09-11,1
171,2011-08-28,0
172,2011-09-09,1
173,2011-09-11,0
174,2011-10-05,1
175,2011-10-06,0
176,2011-10-07,0
177,2011-10-08,0
178,2011-10-09,0
179,2011-10-09,0
180,2011-10-15,0
181,2012-01-17,1
182,2012-01-18,1
183,2012-01-19,1
184,2012-01-20,1
185,2012-01-21,1
186,2012-01-22,1
187,2012-01-22,0
188,2012-03-05,1
189,2012-03-06,1
190,2012-03-07,1
191,2012-03-08,1
192,2012-03-09,0
193,2012-03-10,0
194,2012-03-11,0
195,2012-03-11,0
196,2012-03-08,0
197,2012-03-09,1
198,2012-03-10,0
199,2012-03-11,0
200,2012-03-12,0
201,2012-03-13,1
202,2012-03-13,0
203,2012-03-17,1
204,2012-03-19,0
205,2012-03-20,1
206,2012-03-21,0
207,2012-03-22,1
208,2012-03-23,0
209,2012-03-24,1
210,2012-03-25,1
211,2012-03-25,1
212,2012-03-23,1
213,2012-03-25,1
214,2012-04-01,1
215,2012-04-02,1
216,2012-04-03,0
217,2012-04-04,1
218,2012-04-05,1
219,2012-04-06,1
220,2012-04-07,1
221,2012-04-07,1
222,2012-04-08,1
223,2012-04-15,0
224,2012-04-18,0
225,2012-04-22,0
226,2012-04-25,1
227,2012-04-26,0
228,2012-04-27,1
229,2012-04-28,1
230,2012-04-29,1
231,2012-04-29,1
232,2012-05-05,0
233,2012-05-06,1
234,2012-05-07,1
235,2012-05-10,1
236,2012-05-11,0
237,2012-05-12,0
238,2012-05-13,0
239,2012-05-14,0
240,2012-05-15,1
241,2012-05-16,0
242,2012-05-17,0
243,2012-05-18,1
244,2012-05-19,0
245,2012-05-20,0
246,2012-05-22,0
247,2012-05-23,1
248,2012-05-24,0
249,2012-05-25,0
250,2012-05-26,0
251,2012-05-27,1
252,2012-05-27,0
253,2012-06-04,0
254,2012-06-05,0
255,2012-06-06,0
256,2012-06-07,1
257,2012-06-08,0
258,2012-06-09,0
259,2012-06-10,1
260,2012-06-10,0
261,2012-06-10,0
262,2012-06-11,1
263,2012-06-12,1
264,2012-06-13,0
265,2012-06-14,1
266,2012-06-15,0
267,2012-06-16,1
268,2012-06-17,0
269,2012-06-17,0
270,2012-07-01,1
271,2012-07-02,1
272,2012-07-03,1
273,2012-07-04,1
274,2012-07-05,1
275,2012-07-06,1
276,2012-07-07,0
277,2012-07-08,0
278,2012-07-09,0
279,2012-07-11,0
280,2012-07-12,0
281,2012-07-13,0
282,2012-07-14,1
283,2012-07-15,0
284,2012-07-16,0
285,2012-07-18,0
286,2012-07-19,0
287,2012-07-20,1
288,2012-07-21,0
289,2012-07-22,1
290,2012-07-22,0
291,2012-07-10,0
292,2012-07-11,0
293,2012-07-12,0
294,2012-07-13,0
295,2012-07-14,1
296,2012-07-15,0
297,2012-07-16,0
298,2012-07-16,0
299,2012-08-06,0
300,2012-08-08,0
301,2012-08-09,0
302,2012-08-10,1
303,2012-08-11,0
304,2012-08-12,0
305,2012-08-12,0
306,2012-08-14,0
307,2012-08-19,0
308,2012-08-20,1
309,2012-08-21,0
310,2012-08-22,0
311,2012-08-23,1
312,2012-08-24,0
313,2012-08-25,1
314,2012-08-26,0
315,2012-08-28,1
316,2012-08-29,0
317,2012-08-30,1
318,2012-08-31,0
319,2012-09-01,1
320,2012-09-02,0
321,2012-09-03,0
322,2012-09-05,0
323,2012-09-06,0
324,2012-09-07,0
325,2012-09-08,0
326,2012-09-09,0
327,2012-09-09,1
328,2012-08-19,0
329,2012-08-26,1
330,2012-09-07,1
331,2012-09-09,0
332,2012-09-29,1
333,2012-10-09,1
334,2012-10-10,0
335,2012-10-11,0
336,2012-10-12,0
337,2012-10-13,0
338,2012-10-13,0
339,2013-01-22,1
340,2013-01-23,1
341,2013-01-24,1
342,2013-01-25,1
343,2013-01-26,0
344,2013-01-27,1
345,2013-01-27,1
346,2013-03-04,1
347,2013-03-05,1
348,2013-03-06,0
349,2013-03-07,0
350,2013-03-08,1
351,2013-03-09,0
352,2013-03-10,1
353,2013-03-10,1
354,2013-03-07,1
355,2013-03-08,0
356,2013-03-09,0
357,2013-03-10,0
358,2013-03-11,1
359,2013-03-12,0
360,2013-03-12,0
361,2013-03-17,1
362,2013-03-18,1
363,2013-03-19,1
364,2013-03-20,0
365,2013-03-21,1
366,2013-03-22,0
367,2013-03-23,1
368,2013-03-24,0
369,2013-03-24,0
370,2013-03-22,1
371,2013-03-24,1
372,2013-03-31,1
373,2013-04-01,1
374,2013-04-02,0
375,2013-04-03,0
376,2013-04-04,0
377,2013-04-05,1
378,2013-04-06,1
379,2013-04-06,0
380,2013-04-07,1
381,2013-04-14,1
382,2013-04-17,1
383,2013-04-21,1
384,2013-04-24,0
385,2013-04-25,0
386,2013-04-26,0
387,2013-04-27,1
388,2013-04-28,0
389,2013-04-28,1
390,2013-05-04,1
391,2013-05-06,0
392,2013-05-07,0
393,2013-05-08,0
394,2013-05-09,1
395,2013-05-10,0
396,2013-05-11,0
397,2013-05-12,0
398,2013-05-14,0
399,2013-05-15,0
400,2013-05-16,1
401,2013-05-17,1
402,2013-05-18,1
403,2013-05-19,0
404,2013-05-21,0
405,2013-05-22,0
406,2013-05-23,1
407,2013-05-25,1
408,2013-05-26,1
409,2013-05-26,1
410,2013-06-02,0
411,2013-06-03,1
412,2013-06-04,0
413,2013-06-05,0
414,2013-06-06,0
415,2013-06-07,0
416,2013-06-08,0
417,2013-06-09,0
418,2013-06-09,0
419,2013-06-08,0
420,2013-06-09,0
421,2013-06-10,1
422,2013-06-11,0
423,2013-06-12,0
424,2013-06-13,0
425,2013-06-14,0
426,2013-06-15,1
427,2013-06-16,1
428,2013-06-16,0
429,2013-06-29,0
430,2013-06-30,0
431,2013-07-01,1
432,2013-07-03,1
433,2013-07-04,1
434,2013-07-05,1
435,2013-07-06,1
436,2013-07-07,0
437,2013-07-09,0
438,2013-07-10,0
439,2013-07-11,1
440,2013-07-12,1
441,2013-07-13,0
442,2013-07-14,0
443,2013-07-16,0
444,2013-07-17,1
445,2013-07-18,0
446,2013-07-19,0
447,2013-07-20,0
448,2013-07-21,1
449,2013-07-21,1
450,2013-07-27,0
451,2013-07-28,0
452,2013-07-30,0
453,2013-07-31,0
454,2013-08-01,0
455,2013-08-02,0
456,2013-08-03,0
457,2013-08-03,0
458,2013-07-27,0
459,2013-08-12,0
460,2013-08-13,0
461,2013-08-14,0
462,2013-08-15,1
463,2013-08-16,0
464,2013-08-17,0
465,2013-08-18,0
466,2013-08-18,0
467,2013-08-25,1
468,2013-08-26,0
469,2013-08-27,0
470,2013-08-28,0
471,2013-08-29,0
472,2013-08-30,0
473,2013-08-31,0
474,2013-09-01,0
475,2013-09-02,0
476,2013-09-04,0
477,2013-09-05,0
478,2013-09-06,0
479,2013-09-07,0
480,2013-09-08,0
481,2013-09-09,0
482,2013-09-11,1
483,2013-09-12,0
484,2013-09-13,0
485,2013-09-14,0
486,2013-09-15,0
487,2013-09-15,0
488,2013-08-25,1
489,2013-09-01,0
490,2013-09-13,0
491,2013-09-15,1
492,2013-10-06,0
493,2013-10-11,0
494,2013-10-12,0
495,2013-10-13,0
496,2013-10-14,0
497,2013-10-15,0
498,2013-10-15,0
499,2014-01-21,1
500,2014-01-22,1
501,2014-01-23,1
502,2014-01-24,1
503,2014-01-25,0
504,2014-01-26,1
505,2014-01-26,1
506,2014-03-09,1
507,2014-03-10,0
508,2014-03-11,1
509,2014-03-12,0
510,2014-03-13,0
511,2014-03-14,1
512,2014-03-15,1
513,2014-03-16,0
514,2014-03-16,1
515,2014-03-13,0
516,2014-03-14,0
517,2014-03-15,0
518,2014-03-16,1
519,2014-03-17,0
520,2014-03-18,1
521,2014-03-18,0
522,2014-03-23,1
523,2014-03-24,0
524,2014-03-25,1
525,2014-03-26,0
526,2014-03-27,0
527,2014-03-28,1
528,2014-03-29,0
529,2014-03-30,0
530,2014-03-30,1
531,2014-03-28,1
532,2014-03-30,1
533,2014-04-06,1
534,2014-04-07,1
535,2014-04-08,0
536,2014-04-09,0
537,2014-04-10,0
538,2014-04-11,0
539,2014-04-12,1
540,2014-04-12,0
541,2014-04-13,1
542,2014-04-20,1
543,2014-04-23,1
544,2014-04-27,1
545,2014-04-30,0
546,2014-05-01,0
547,2014-05-02,0
548,2014-05-03,1
549,2014-05-04,0
550,2014-05-04,0
