,Date,Predicted
0,2011-01-18,0
1,2011-01-19,1
2,2011-01-18,0
3,2011-01-19,1
4,2011-01-20,0
5,2011-01-21,0
6,2011-01-22,0
7,2011-01-23,0
8,2011-01-18,1
9,2011-01-19,0
10,2011-01-20,0
11,2011-01-21,0
12,2011-01-22,0
13,2011-01-23,0
14,2011-01-23,0
15,2011-03-06,0
16,2011-03-07,0
17,2011-03-08,0
18,2011-03-09,0
19,2011-03-10,0
20,2011-03-11,0
21,2011-03-12,0
22,2011-03-13,0
23,2011-03-13,0
24,2011-03-06,0
25,2011-03-07,0
26,2011-03-08,1
27,2011-03-09,0
28,2011-03-10,0
29,2011-03-11,0
30,2011-03-12,0
31,2011-03-13,0
32,2011-03-10,0
33,2011-03-11,0
34,2011-03-13,0
35,2011-03-14,0
36,2011-03-11,0
37,2011-03-12,0
38,2011-03-13,0
39,2011-03-14,0
40,2011-03-15,0
41,2011-03-15,0
42,2011-03-19,0
43,2011-03-19,1
44,2011-03-21,0
45,2011-03-22,1
46,2011-03-23,0
47,2011-03-24,0
48,2011-03-25,0
49,2011-03-26,0
50,2011-03-27,0
51,2011-03-21,0
52,2011-03-22,0
53,2011-03-23,0
54,2011-03-24,0
55,2011-03-26,1
56,2011-03-27,0
57,2011-03-27,0
58,2011-03-27,0
59,2011-04-03,0
60,2011-04-04,0
61,2011-04-05,0
62,2011-04-06,0
63,2011-04-07,0
64,2011-04-08,0
65,2011-04-09,1
66,2011-04-09,0
67,2011-04-10,0
68,2011-04-17,0
69,2011-04-20,1
70,2011-04-24,1
71,2011-04-27,0
72,2011-04-28,0
73,2011-04-29,0
74,2011-04-30,0
75,2011-05-01,1
76,2011-05-01,0
77,2011-05-29,1
78,2011-05-08,0
79,2011-05-09,0
80,2011-05-10,0
81,2011-05-11,0
82,2011-05-12,0
83,2011-05-13,0
84,2011-05-14,0
85,2011-05-15,0
86,2011-05-17,0
87,2011-05-18,0
88,2011-05-19,0
89,2011-05-20,0
90,2011-05-21,0
91,2011-05-22,0
92,2011-05-24,0
93,2011-05-25,0
94,2011-05-26,0
95,2011-05-27,0
96,2011-05-28,0
97,2011-05-29,0
98,2011-06-06,0
99,2011-06-07,0
100,2011-06-08,0
101,2011-06-09,0
102,2011-06-10,0
103,2011-06-11,1
104,2011-06-12,0
105,2011-06-12,1
106,2011-06-12,0
107,2011-06-13,0
108,2011-06-14,0
109,2011-06-15,0
110,2011-06-16,0
111,2011-06-17,0
112,2011-06-18,0
113,2011-06-19,0
114,2011-06-19,0
115,2011-07-02,0
116,2011-07-04,0
117,2011-07-05,0
118,2011-07-06,0
119,2011-07-07,0
120,2011-07-08,0
121,2011-07-09,0
122,2011-07-10,0
123,2011-07-12,0
124,2011-07-13,1
125,2011-07-14,0
126,2011-07-15,0
127,2011-07-16,0
128,2011-07-17,1
129,2011-07-19,0
130,2011-07-20,0
131,2011-07-21,0
132,2011-07-22,0
133,2011-07-23,0
134,2011-07-24,0
135,2011-07-24,1
136,2011-07-30,1
137,2011-07-31,0
138,2011-08-01,0
139,2011-08-02,0
140,2011-08-03,0
141,2011-08-04,0
142,2011-08-05,0
143,2011-08-06,0
144,2011-08-06,0
145,2011-08-09,1
146,2011-08-10,1
147,2011-08-11,0
148,2011-08-12,0
149,2011-08-13,0
150,2011-08-14,0
151,2011-08-14,0
152,2011-08-21,0
153,2011-08-22,0
154,2011-08-23,0
155,2011-08-24,0
156,2011-08-25,0
157,2011-08-26,0
158,2011-08-27,0
159,2011-08-28,0
160,2011-08-29,0
161,2011-08-31,0
162,2011-09-01,0
163,2011-09-02,0
164,2011-09-03,0
165,2011-09-04,0
166,2011-09-06,0
167,2011-09-07,0
168,2011-09-08,0
169,2011-09-09,0
170,2011-09-10,0
171,2011-09-11,0
172,2011-09-11,0
173,2011-08-28,0
174,2011-09-09,1
175,2011-09-11,0
176,2011-10-05,0
177,2011-10-06,0
178,2011-10-07,0
179,2011-10-08,0
180,2011-10-09,0
181,2011-10-09,0
182,2011-10-15,0
183,2012-01-17,1
184,2012-01-18,0
185,2012-01-19,1
186,2012-01-20,0
187,2012-01-21,0
188,2012-01-22,1
189,2012-01-22,0
190,2012-03-05,0
191,2012-03-06,1
192,2012-03-07,0
193,2012-03-08,0
194,2012-03-09,0
195,2012-03-10,0
196,2012-03-11,0
197,2012-03-11,0
198,2012-03-08,0
199,2012-03-09,0
200,2012-03-10,0
201,2012-03-11,0
202,2012-03-12,0
203,2012-03-13,1
204,2012-03-13,0
205,2012-03-17,1
206,2012-03-19,0
207,2012-03-20,0
208,2012-03-21,0
209,2012-03-22,0
210,2012-03-23,0
211,2012-03-24,0
212,2012-03-25,0
213,2012-03-25,1
214,2012-03-23,1
215,2012-03-25,1
216,2012-04-01,1
217,2012-04-02,0
218,2012-04-03,0
219,2012-04-04,1
220,2012-04-05,0
221,2012-04-06,1
222,2012-04-07,1
223,2012-04-07,0
224,2012-04-08,1
225,2012-04-15,0
226,2012-04-18,0
227,2012-04-22,0
228,2012-04-25,0
229,2012-04-26,0
230,2012-04-27,0
231,2012-04-28,1
232,2012-04-29,0
233,2012-04-29,1
234,2012-05-05,0
235,2012-05-06,0
236,2012-05-07,0
237,2012-05-10,1
238,2012-05-11,0
239,2012-05-12,0
240,2012-05-13,0
241,2012-05-14,0
242,2012-05-15,1
243,2012-05-16,0
244,2012-05-17,0
245,2012-05-18,0
246,2012-05-19,0
247,2012-05-20,0
248,2012-05-22,0
249,2012-05-23,1
250,2012-05-24,0
251,2012-05-25,0
252,2012-05-26,0
253,2012-05-27,0
254,2012-05-27,0
255,2012-06-04,0
256,2012-06-05,0
257,2012-06-06,0
258,2012-06-07,0
259,2012-06-08,0
260,2012-06-09,0
261,2012-06-10,1
262,2012-06-10,0
263,2012-06-10,0
264,2012-06-11,0
265,2012-06-12,1
266,2012-06-13,0
267,2012-06-14,1
268,2012-06-15,0
269,2012-06-16,0
270,2012-06-17,0
271,2012-06-17,0
272,2012-07-01,0
273,2012-07-02,1
274,2012-07-03,0
275,2012-07-04,0
276,2012-07-05,0
277,2012-07-06,1
278,2012-07-07,0
279,2012-07-08,0
280,2012-07-09,0
281,2012-07-11,0
282,2012-07-12,0
283,2012-07-13,0
284,2012-07-14,0
285,2012-07-15,0
286,2012-07-16,0
287,2012-07-18,0
288,2012-07-19,0
289,2012-07-20,0
290,2012-07-21,0
291,2012-07-22,0
292,2012-07-22,0
293,2012-07-10,0
294,2012-07-11,0
295,2012-07-12,0
296,2012-07-13,0
297,2012-07-14,1
298,2012-07-15,0
299,2012-07-16,0
300,2012-07-16,0
301,2012-08-06,0
302,2012-08-08,0
303,2012-08-09,0
304,2012-08-10,0
305,2012-08-11,0
306,2012-08-12,0
307,2012-08-12,0
308,2012-08-14,0
309,2012-08-19,0
310,2012-08-20,0
311,2012-08-21,0
312,2012-08-22,0
313,2012-08-23,1
314,2012-08-24,0
315,2012-08-25,0
316,2012-08-26,0
317,2012-08-28,0
318,2012-08-29,0
319,2012-08-30,1
320,2012-08-31,0
321,2012-09-01,1
322,2012-09-02,0
323,2012-09-03,0
324,2012-09-05,0
325,2012-09-06,0
326,2012-09-07,0
327,2012-09-08,0
328,2012-09-09,0
329,2012-09-09,0
330,2012-08-19,0
331,2012-08-26,0
332,2012-09-07,1
333,2012-09-09,0
334,2012-09-29,0
335,2012-10-09,0
336,2012-10-10,0
337,2012-10-11,0
338,2012-10-12,0
339,2012-10-13,0
340,2012-10-13,0
341,2013-01-22,1
342,2013-01-23,0
343,2013-01-24,1
344,2013-01-25,1
345,2013-01-26,0
346,2013-01-27,1
347,2013-01-27,0
348,2013-03-04,0
349,2013-03-05,0
350,2013-03-06,0
351,2013-03-07,0
352,2013-03-08,0
353,2013-03-09,0
354,2013-03-10,1
355,2013-03-10,1
356,2013-03-07,0
357,2013-03-08,0
358,2013-03-09,0
359,2013-03-10,0
360,2013-03-11,0
361,2013-03-12,0
362,2013-03-12,0
363,2013-03-17,1
364,2013-03-18,0
365,2013-03-19,1
366,2013-03-20,0
367,2013-03-21,0
368,2013-03-22,0
369,2013-03-23,0
370,2013-03-24,0
371,2013-03-24,0
372,2013-03-22,1
373,2013-03-24,1
374,2013-03-31,0
375,2013-04-01,1
376,2013-04-02,0
377,2013-04-03,0
378,2013-04-04,0
379,2013-04-05,1
380,2013-04-06,0
381,2013-04-06,0
382,2013-04-07,1
383,2013-04-14,0
384,2013-04-17,0
385,2013-04-21,1
386,2013-04-24,0
387,2013-04-25,0
388,2013-04-26,0
389,2013-04-27,0
390,2013-04-28,0
391,2013-04-28,0
392,2013-05-04,0
393,2013-05-06,0
394,2013-05-07,0
395,2013-05-08,0
396,2013-05-09,1
397,2013-05-10,0
398,2013-05-11,0
399,2013-05-12,0
400,2013-05-14,0
401,2013-05-15,0
402,2013-05-16,1
403,2013-05-17,1
404,2013-05-18,0
405,2013-05-19,0
406,2013-05-21,0
407,2013-05-22,0
408,2013-05-23,0
409,2013-05-25,1
410,2013-05-26,1
411,2013-05-26,0
412,2013-06-02,0
413,2013-06-03,0
414,2013-06-04,0
415,2013-06-05,0
416,2013-06-06,0
417,2013-06-07,0
418,2013-06-08,0
419,2013-06-09,0
420,2013-06-09,0
421,2013-06-08,0
422,2013-06-09,0
423,2013-06-10,0
424,2013-06-11,0
425,2013-06-12,0
426,2013-06-13,0
427,2013-06-14,0
428,2013-06-15,1
429,2013-06-16,0
430,2013-06-16,0
431,2013-06-29,0
432,2013-06-30,0
433,2013-07-01,0
434,2013-07-03,1
435,2013-07-04,0
436,2013-07-05,0
437,2013-07-06,0
438,2013-07-07,0
439,2013-07-09,0
440,2013-07-10,0
441,2013-07-11,0
442,2013-07-12,1
443,2013-07-13,0
444,2013-07-14,0
445,2013-07-16,0
446,2013-07-17,0
447,2013-07-18,0
448,2013-07-19,0
449,2013-07-20,0
450,2013-07-21,0
451,2013-07-21,0
452,2013-07-27,0
453,2013-07-28,0
454,2013-07-30,0
455,2013-07-31,0
456,2013-08-01,0
457,2013-08-02,0
458,2013-08-03,0
459,2013-08-03,0
460,2013-07-27,0
461,2013-08-12,0
462,2013-08-13,0
463,2013-08-14,0
464,2013-08-15,1
465,2013-08-16,0
466,2013-08-17,0
467,2013-08-18,0
468,2013-08-18,0
469,2013-08-25,0
470,2013-08-26,0
471,2013-08-27,0
472,2013-08-28,0
473,2013-08-29,0
474,2013-08-30,0
475,2013-08-31,0
476,2013-09-01,0
477,2013-09-02,0
478,2013-09-04,0
479,2013-09-05,0
480,2013-09-06,0
481,2013-09-07,0
482,2013-09-08,0
483,2013-09-09,0
484,2013-09-11,0
485,2013-09-12,0
486,2013-09-13,0
487,2013-09-14,0
488,2013-09-15,0
489,2013-09-15,0
490,2013-08-25,0
491,2013-09-01,0
492,2013-09-13,0
493,2013-09-15,1
494,2013-10-06,0
495,2013-10-11,0
496,2013-10-12,0
497,2013-10-13,0
498,2013-10-14,0
499,2013-10-15,0
500,2013-10-15,0
501,2014-01-21,1
502,2014-01-22,0
503,2014-01-23,0
504,2014-01-24,0
505,2014-01-25,0
506,2014-01-26,1
507,2014-01-26,0
508,2014-03-09,0
509,2014-03-10,0
510,2014-03-11,0
511,2014-03-12,0
512,2014-03-13,0
513,2014-03-14,0
514,2014-03-15,0
515,2014-03-16,0
516,2014-03-16,1
517,2014-03-13,0
518,2014-03-14,0
519,2014-03-15,0
520,2014-03-16,0
521,2014-03-17,0
522,2014-03-18,0
523,2014-03-18,0
524,2014-03-23,1
525,2014-03-24,0
526,2014-03-25,0
527,2014-03-26,0
528,2014-03-27,0
529,2014-03-28,0
530,2014-03-29,0
531,2014-03-30,0
532,2014-03-30,0
533,2014-03-28,1
534,2014-03-30,0
535,2014-04-06,1
536,2014-04-07,1
537,2014-04-08,0
538,2014-04-09,0
539,2014-04-10,0
540,2014-04-11,0
541,2014-04-12,1
542,2014-04-12,0
543,2014-04-13,0
544,2014-04-20,0
545,2014-04-23,1
546,2014-04-27,0
547,2014-04-30,0
548,2014-05-01,0
549,2014-05-02,0
550,2014-05-03,0
