,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,4.0,+0:04,12,BOL Cees,25,Team DSM,60.0,50.0,4:27:59,Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
1,2,2.0,+0:04,71,PEDERSEN Mads,25,Trek - Segafredo,25.0,30.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
2,3,1.0,+0:00,131,MATTHEWS Michael,30,Team BikeExchange,10.0,18.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
3,4,13.0,+0:14,211,COQUARD Bryan,28,B&B Hotels p/b KTM,,13.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
4,5,3.0,+0:04,111,BENNETT Sam,30,Deceuninck - Quick Step,,10.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
5,6,17.0,+0:14,93,DEGENKOLB John,32,Lotto Soudal,,7.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
6,7,14.0,+0:14,2,ACKERMANN Pascal,27,BORA - hansgrohe,,4.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
7,8,16.0,+0:14,163,BAUHAUS Phil,26,Bahrain - Victorious,,3.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
8,9,15.0,+0:14,221,PHILIPSEN Jasper,23,Alpecin-Fenix,,2.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
9,10,19.0,+0:14,192,BARBIER Rudy,28,Israel Start-Up Nation,,1.0,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
10,11,18.0,+0:14,124,LAPORTE Christophe,28,"Cofidis, Solutions Crédits",,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
11,12,53.0,+0:14,15,KRAGH ANDERSEN Søren,26,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
12,13,28.0,+0:14,23,BISSEGGER Stefan,22,EF Education - Nippo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
13,14,9.0,+0:13,76,STUYVEN Jasper,28,Trek - Segafredo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
14,15,54.0,+0:14,116,MØRKØV Michael,35,Deceuninck - Quick Step,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
15,16,48.0,+0:14,13,EEKHOFF Nils,23,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
16,17,27.0,+0:14,151,KRISTOFF Alexander,33,UAE-Team Emirates,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
17,18,20.0,+0:14,147,TOUZÉ Damien,24,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
18,19,22.0,+0:14,181,JORGENSON Matteo,21,Movistar Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
19,20,21.0,+0:14,175,TURGIS Anthony,26,Team Total Direct Energie,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
20,21,23.0,+0:14,55,NIZZOLO Giacomo,32,Team Qhubeka ASSOS,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
21,22,7.0,+0:12,11,BENOOT Tiesj,26,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
22,23,50.0,+0:14,112,CATTANEO Mattia,30,Deceuninck - Quick Step,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
23,24,43.0,+0:14,191,NEILANDS Krists,26,Israel Start-Up Nation,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
24,25,24.0,+0:14,36,OOMEN Sam,25,Team Jumbo-Visma,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
25,26,11.0,+0:13,115,LAMPAERT Yves,29,Deceuninck - Quick Step,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
26,27,82.0,+0:14,226,THWAITES Scott,31,Alpecin-Fenix,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
27,28,33.0,+0:14,154,DE LA CRUZ David,31,UAE-Team Emirates,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
28,29,67.0,+0:14,222,DE BONDT Dries,29,Alpecin-Fenix,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
29,30,29.0,+0:14,66,SÁNCHEZ Luis León,37,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
30,31,31.0,+0:14,4,GROßSCHARTNER Felix,27,BORA - hansgrohe,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
31,32,52.0,+0:14,57,WALSCHEID Max,27,Team Qhubeka ASSOS,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
32,33,36.0,+0:14,61,VLASOV Aleksandr,24,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
33,34,30.0,+0:14,81,GAUDU David,24,Groupama - FDJ,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
34,35,60.0,+0:14,91,GILBERT Philippe,38,Lotto Soudal,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
35,36,25.0,+0:14,184,JACOBS Johan,24,Movistar Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
36,37,37.0,+0:14,31,ROGLIČ Primož,31,Team Jumbo-Visma,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
37,38,26.0,+0:14,155,MCNULTY Brandon,22,UAE-Team Emirates,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
38,39,69.0,+0:14,95,OLDANI Stefano,23,Lotto Soudal,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
39,40,42.0,+0:14,187,ROJAS José Joaquín,35,Movistar Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
40,41,49.0,+0:14,171,LATOUR Pierre,27,Team Total Direct Energie,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
41,42,10.0,+0:13,46,SWIFT Ben,33,INEOS Grenadiers,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
42,43,87.0,+0:14,107,SWIFT Connor,25,Team Arkéa Samsic,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
43,44,101.0,+0:14,64,IZAGIRRE Ion,32,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
44,45,46.0,+0:14,14,HINDLEY Jai,24,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
45,46,32.0,+0:14,113,CAVAGNA Rémi,25,Deceuninck - Quick Step,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
46,47,88.0,+0:14,16,PEDERSEN Casper,24,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
47,48,39.0,+0:14,54,CAMPENAERTS Victor,29,Team Qhubeka ASSOS,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
48,49,35.0,+0:14,122,ALLEGAERT Piet,26,"Cofidis, Solutions Crédits",,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
49,50,38.0,+0:14,121,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
50,51,34.0,+0:14,225,SBARAGLI Kristian,30,Alpecin-Fenix,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
51,52,96.0,+0:14,65,LUTSENKO Alexey,28,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
52,53,78.0,+0:14,176,VAN GESTEL Dries,26,Team Total Direct Energie,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
53,54,55.0,+0:14,202,EIKING Odd Christian,26,Intermarché - Wanty - Gobert Matériaux,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
54,55,47.0,+0:14,94,GOOSSENS Kobe,24,Lotto Soudal,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
55,56,66.0,+0:14,43,DE PLUS Laurens,25,INEOS Grenadiers,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
56,57,40.0,+0:14,164,HAIG Jack,27,Bahrain - Victorious,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
57,58,90.0,+0:14,133,EDMONDSON Alex,27,Team BikeExchange,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
58,59,6.0,+0:11,195,GREIPEL André,38,Israel Start-Up Nation,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
59,60,80.0,+0:14,34,KRUIJSWIJK Steven,33,Team Jumbo-Visma,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
60,61,71.0,+0:14,45,GEOGHEGAN HART Tao,25,INEOS Grenadiers,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
61,62,150.0,+7:05,173,DOUBEY Fabien,27,Team Total Direct Energie,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
62,63,137.0,+1:24,17,SÜTTERLIN Jasha,28,Team DSM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
63,64,86.0,+0:14,42,AMADOR Andrey,34,INEOS Grenadiers,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
64,65,56.0,+0:14,145,O'CONNOR Ben,25,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
65,66,77.0,+0:14,183,ERVITI Imanol,37,Movistar Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
66,67,73.0,+0:14,197,ZABEL Rick,27,Israel Start-Up Nation,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
67,68,41.0,+0:14,146,PARET-PEINTRE Aurélien,25,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
68,69,5.0,+0:08,83,DÉMARE Arnaud,29,Groupama - FDJ,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
69,70,45.0,+0:14,212,BARTHE Cyril,25,B&B Hotels p/b KTM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
70,71,44.0,+0:14,135,HAMILTON Lucas,25,Team BikeExchange,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
71,72,151.0,+7:08,27,RUTSCH Jonas,23,EF Education - Nippo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
72,73,59.0,+0:14,143,GODON Dorian,24,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
73,74,143.0,+1:57,166,HAUSSLER Heinrich,37,Bahrain - Victorious,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
74,75,92.0,+0:14,136,JANSEN Amund Grøndahl,27,Team BikeExchange,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
75,76,111.0,+0:14,51,HENAO Sergio,33,Team Qhubeka ASSOS,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
76,77,68.0,+0:14,161,TEUNS Dylan,29,Bahrain - Victorious,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
77,78,65.0,+0:14,73,ELISSONDE Kenny,29,Trek - Segafredo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
78,79,70.0,+0:14,141,JUNGELS Bob,28,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
79,80,64.0,+0:14,32,BENNETT George,30,Team Jumbo-Visma,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
80,81,57.0,+0:14,96,VANHOUCKE Harm,23,Lotto Soudal,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
81,82,76.0,+0:14,101,BARGUIL Warren,29,Team Arkéa Samsic,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
82,83,89.0,+0:14,67,SOBRERO Matteo,23,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
83,84,74.0,+0:14,217,PACHER Quentin,29,B&B Hotels p/b KTM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
84,85,85.0,+0:14,144,NAESEN Oliver,30,AG2R Citroën Team,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
85,86,58.0,+0:14,26,POWLESS Neilson,24,EF Education - Nippo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
86,87,8.0,+0:12,97,VERMEERSCH Florian,21,Lotto Soudal,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
87,88,107.0,+0:14,24,EL FARES Julien,35,EF Education - Nippo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
88,89,153.0,+7:44,207,VAN POPPEL Danny,27,Intermarché - Wanty - Gobert Matériaux,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
89,90,81.0,+0:14,105,MCLAY Daniel,29,Team Arkéa Samsic,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
90,91,108.0,+0:14,152,BYSTRØM Sven Erik,29,UAE-Team Emirates,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
91,92,79.0,+0:14,53,ARU Fabio,30,Team Qhubeka ASSOS,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
92,93,83.0,+0:14,75,MOSCA Jacopo,27,Trek - Segafredo,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
93,94,120.0,+0:14,213,GAUTIER Cyril,33,B&B Hotels p/b KTM,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
94,95,75.0,+0:14,153,COSTA Rui,34,UAE-Team Emirates,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
95,96,62.0,+0:14,1,SCHACHMANN Maximilian,27,BORA - hansgrohe,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
96,97,146.0,+2:37,3,BENEDETTI Cesare,33,BORA - hansgrohe,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
97,98,94.0,+0:14,104,DELAPLACE Anthony,31,Team Arkéa Samsic,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
98,99,63.0,+0:14,63,FRAILE Omar,30,Astana - Premier Tech,,,",,0:00",Paris-Nice,Stage 2,08 March 2021,42.09 km/h,0,188 km,4
