,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,Date1
143807,143825.0,84,701.0,52,29.0,100.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2200.495799082204,350.0,226.60561705996648,2017-01-22
25937,25941.0,8,120.0,10,19.0,40.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1752.1784876695933,350.0,226.60561705996648,2017-01-22
26848,26852.0,121,122.0,41,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
133380,133398.0,130,640.0,84,22.0,24.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1528.0198319632882,350.0,226.60561705996648,2017-01-22
27926,27930.0,39,127.0,69-Drapac Pro Cycling Team,30.0,18.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1415.9405041101356,350.0,226.60561705996648,2017-01-22
132090,132108.0,122,633.0,75,28.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
130864,130882.0,101,625.0,69-Drapac Pro Cycling Team,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
124844,124862.0,51,594.0,105,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
123197,123215.0,168,589.0,1,26.0,50.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1864.257815522746,350.0,226.60561705996648,2017-01-22
28713,28717.0,124,129.0,1,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
122009,122027.0,27,584.0,105,31.0,250.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2536.733782641662,350.0,226.60561705996648,2017-01-22
119981,119999.0,100,578.0,69-Drapac Pro Cycling Team,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
25755,25759.0,8,118.0,84,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
118870,118888.0,15,574.0,58,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
29774,29778.0,94,134.0,103,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
117452,117470.0,41,569.0,74,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
116095,116113.0,18,561.0,58,30.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
30087,30091.0,15,135.0,1,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
113599,113617.0,61,551.0,74,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
112774,112792.0,123,548.0,52,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
110818,110836.0,38,534.0,10,20.0,12.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
110649,110667.0,141,533.0,46,23.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
108826,108844.0,116,527.0,10,29.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
31369,31373.0,132,140.0,1,29.0,7.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1135.742184477254,350.0,226.60561705996648,2017-01-22
106342,106360.0,29,519.0,28,24.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
117893,117911.0,86,570.0,28,32.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
105321,105339.0,173,514.0,103,25.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
141496,141514.0,109,692.0,103,22.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
144955,144973.0,129,719.0,69-Drapac Pro Cycling Team,31.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
16916,16920.0,3,77.0,28,27.0,190.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2480.6941187150856,350.0,226.60561705996648,2017-01-22
17422,17426.0,29,78.0,46,30.0,90.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,2144.4561351556276,350.0,226.60561705996648,2017-01-22
173713,173755.0,74,948.0,74,33.0,5.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1500.0,350.0,350.0,2017-01-22
18033,18037.0,12,80.0,58,29.0,55.0,10,-1.0,1/22/2017,-,0.0,0 km,34.0,2017,1,22,1500.0,1920.297479449322,350.0,226.60561705996648,2017-01-22
