,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,117,VIVIANI Elia,29,Quick-Step Floors,40.0,35.0,3:15:30,Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
1,2,3,+0:04,156,VAN POPPEL Danny,24,Team LottoNL-Jumbo,15.0,20.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
2,3,5,+0:06,62,ACKERMANN Pascal,24,BORA - hansgrohe,6.0,12.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
3,4,12,+0:10,173,HALVORSEN Kristoffer,21,Team Sky,,9.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
4,5,4,+0:06,92,EWAN Caleb,23,Mitchelton-Scott,,7.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
5,6,13,+0:10,183,BAUHAUS Phil,23,Team Sunweb,,5.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
6,7,2,+0:00,5,KRISTOFF Alexander,30,UAE-Team Emirates,,3.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
7,8,11,+0:10,32,BONIFAZIO Niccolò,24,Bahrain Merida Pro Cycling Team,,2.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
8,9,14,+0:10,12,BARBIER Rudy,25,AG2R La Mondiale,,1.0,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
9,10,9,+0:08,126,RENSHAW Mark,35,Team Dimension Data,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
10,11,15,+0:10,81,GREIPEL André,35,Lotto Soudal,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
11,12,17,+0:10,194,FRAME Alex,24,Trek - Segafredo,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
12,13,91,+0:34,157,WAGNER Robert,34,Team LottoNL-Jumbo,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
13,14,28,+0:10,195,GOGL Michael,24,Trek - Segafredo,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
14,15,24,+0:10,116,SABATINI Fabio,33,Quick-Step Floors,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
15,16,86,+0:25,4,FERRARI Roberto,34,UAE-Team Emirates,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
16,17,23,+0:10,35,MOHORIČ Matej,23,Bahrain Merida Pro Cycling Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
17,18,19,+0:10,25,MINALI Riccardo,22,Astana Pro Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
18,19,89,+0:31,112,HODEG Álvaro José,21,Quick-Step Floors,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
19,20,18,+0:10,52,BEVIN Patrick,27,BMC Racing Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
20,21,6,+0:07,101,VALVERDE Alejandro,37,Movistar Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
21,22,55,+0:10,115,MØRKØV Michael,32,Quick-Step Floors,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
22,23,37,+0:10,61,MAJKA Rafał,28,BORA - hansgrohe,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
23,24,22,+0:10,17,MONTAGUTI Matteo,34,AG2R La Mondiale,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
24,25,20,+0:10,65,FORMOLO Davide,25,BORA - hansgrohe,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
25,26,16,+0:10,135,MCLAY Daniel,26,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
26,27,10,+0:09,105,ROJAS José Joaquín,32,Movistar Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
27,28,52,+0:10,111,ALAPHILIPPE Julian,25,Quick-Step Floors,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
28,29,27,+0:10,147,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
29,30,29,+0:10,53,BOOKWALTER Brent,34,BMC Racing Team,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
30,31,21,+0:10,72,MAIKIN Roman,27,Gazprom-RusVelo,,,",,0:00",Abu_Dhabi_Tour,2,22 February 2018,47.26 km/h,0,154 km,29
