,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,194,COSTA Rui,30,UAE Team Emirates,40.0,35.0,4:34:08,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
1,2,2.0,+0:04,138,ZAKARIN Ilnur,27,Team Katusha Alpecin,15.0,20.0,",,0:00",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
2,3,3.0,+0:16,161,DUMOULIN Tom,26,Team Sunweb,6.0,12.0,0:100:10,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
3,4,4.0,+0:38,186,MOLLEMA Bauke,30,Trek - Segafredo,,9.0,0:280:28,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
4,5,9.0,+0:56,112,ALAPHILIPPE Julian,24,Quick-Step Floors,,7.0,0:460:46,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
5,6,7.0,+0:56,2,ARU Fabio,26,Astana Pro Team,,5.0,",,0:46",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
6,7,5.0,+0:56,51,MAJKA Rafał,27,BORA - hansgrohe,,3.0,",,0:46",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
7,8,6.0,+0:56,143,BENNETT George,26,Team LottoNL-Jumbo,,2.0,",,0:46",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
8,9,8.0,+0:56,17,POZZOVIVO Domenico,34,AG2R La Mondiale,,1.0,",,0:46",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
9,10,12.0,+1:08,81,QUINTANA Nairo,27,Movistar Team,,,0:580:58,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
10,11,11.0,+1:08,198,ULISSI Diego,27,UAE Team Emirates,,,",,0:58",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
11,12,10.0,+1:08,11,BARDET Romain,26,AG2R La Mondiale,,,",,0:58",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
12,13,13.0,+1:11,181,CONTADOR Alberto,34,Trek - Segafredo,,,1:011:01,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
13,14,25.0,+1:15,104,HAIG Jack,23,ORICA-Scott,,,1:051:05,Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
14,15,14.0,+1:15,21,NIBALI Vincenzo,32,Bahrain Merida Pro Cycling Team,,,",,1:05",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
15,16,24.0,+1:15,54,KONRAD Patrick,25,BORA - hansgrohe,,,",,1:05",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
16,17,20.0,+1:15,101,KREUZIGER Roman,30,ORICA-Scott,,,",,1:05",Abu_Dhabi_Tour,3,25 February 2017,40.71 km/h,120,186 km,20
