,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,194,COSTA Rui,30,UAE Team Emirates,300.0,200,15:42:21,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
1,2,2,-,138,ZAKARIN Ilnur,27,Team Katusha Alpecin,250.0,150,0:040:04,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
2,3,3,-,161,DUMOULIN Tom,26,Team Sunweb,215.0,120,0:160:16,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
3,4,4,-,186,MOLLEMA Bauke,30,Trek - Segafredo,175.0,100,0:380:38,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
4,5,9,▲4,112,ALAPHILIPPE Julian,24,Quick-Step Floors,120.0,90,0:530:53,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
5,6,5,▼1,51,MAJKA Rafał,27,BORA - hansgrohe,115.0,80,0:560:56,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
6,7,6,▼1,143,BENNETT George,26,Team LottoNL-Jumbo,95.0,70,",,0:56",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
7,8,7,▼1,2,ARU Fabio,26,Astana Pro Team,75.0,60,",,0:56",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
8,9,8,▼1,17,POZZOVIVO Domenico,34,AG2R La Mondiale,60.0,50,",,0:56",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
9,10,24,▲14,54,KONRAD Patrick,25,BORA - hansgrohe,50.0,40,1:071:07,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
10,11,11,-,198,ULISSI Diego,27,UAE Team Emirates,40.0,36,1:081:08,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
11,12,10,▼2,11,BARDET Romain,26,AG2R La Mondiale,35.0,32,",,1:08",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
12,13,12,▼1,81,QUINTANA Nairo,27,Movistar Team,30.0,28,",,1:08",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
13,14,21,▲7,77,VALLS Rafael,29,Lotto Soudal,25.0,24,1:111:11,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
14,15,13,▼2,181,CONTADOR Alberto,34,Trek - Segafredo,20.0,20,",,1:11",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
15,16,14,▼2,21,NIBALI Vincenzo,32,Bahrain Merida Pro Cycling Team,20.0,16,1:151:15,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
16,17,15,▼2,14,FRANK Mathias,30,AG2R La Mondiale,20.0,14,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
17,18,16,▼2,144,GESINK Robert,30,Team LottoNL-Jumbo,20.0,12,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
18,19,17,▼2,86,HERRADA Jesús,26,Movistar Team,20.0,10,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
19,20,19,▼1,195,MEINTJES Louis,25,UAE Team Emirates,20.0,9,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
20,21,18,▼3,141,KRUIJSWIJK Steven,29,Team LottoNL-Jumbo,12.0,8,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
21,22,20,▼2,101,KREUZIGER Roman,30,ORICA-Scott,12.0,7,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
22,23,23,-,1,KANGERT Tanel,29,Astana Pro Team,12.0,6,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
23,24,22,▼2,108,VERONA Carlos,24,ORICA-Scott,12.0,5,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
24,25,25,-,104,HAIG Jack,23,ORICA-Scott,12.0,4,",,1:15",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
25,26,26,-,114,BRAMBILLA Gianluca,29,Quick-Step Floors,12.0,3,1:321:32,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
26,27,27,-,16,GAUTIER Cyril,29,AG2R La Mondiale,12.0,3,",,1:32",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
27,28,28,-,174,ELISSONDE Kenny,25,Team Sky,12.0,3,1:331:33,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
28,29,29,-,163,HAMILTON Chris,21,Team Sunweb,12.0,3,1:351:35,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
29,30,30,-,78,VERVAEKE Louis,23,Lotto Soudal,12.0,3,1:371:37,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
30,31,32,▲1,44,ROCHE Nicolas,32,BMC Racing Team,5.0,3,2:072:07,..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
31,32,33,▲1,61,FIRSANOV Sergey,34,Gazprom-RusVelo,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
32,33,35,▲2,15,GASTAUER Ben,29,AG2R La Mondiale,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
33,34,36,▲2,85,FERNÁNDEZ Rubén,25,Movistar Team,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
34,35,40,▲5,12,DOMONT Axel,26,AG2R La Mondiale,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
35,36,34,▼2,7,TIRALONGO Paolo,39,Astana Pro Team,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
36,37,41,▲4,188,STETINA Peter,29,Trek - Segafredo,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
37,38,37,▼1,46,SENNI Manuel,24,BMC Racing Team,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
38,39,38,▼1,117,SERRY Pieter,28,Quick-Step Floors,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
39,40,39,▼1,167,TEN DAM Laurens,36,Team Sunweb,5.0,3,",,2:07",..,Abu_Dhabi_Tour,GC,26 February 2017,-,0,0 km,20
