,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,92.0,+41:58,53,GARCÍA CORTINA Iván,23,Bahrain Merida,40.0,35.0,4:56:11,Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
1,2,72.0,+33:51,97,RICHEZE Maximiliano,36,Deceuninck - Quick Step,15.0,20.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
2,3,6.0,+0:28,13,HIGUITA Sergio,21,EF Education First,6.0,12.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
3,4,52.0,+18:44,145,NIEUWENHUIS Joris,23,Team Sunweb,,9.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
4,5,2.0,+0:04,92,ASGREEN Kasper,24,Deceuninck - Quick Step,,7.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
5,6,5.0,+0:22,117,SCHACHMANN Maximilian,25,BORA - hansgrohe,,5.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
6,7,76.0,+34:22,123,BERNAS Paweł,28,CCC Team,,3.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
7,8,58.0,+23:56,81,BOUHANNI Nacer,28,"Cofidis, Solutions Crédits",,2.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
8,9,4.0,+0:16,31,POGAČAR Tadej,20,UAE-Team Emirates,,1.0,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
9,10,42.0,+11:15,107,HOULE Hugo,28,Astana Pro Team,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
10,11,71.0,+33:35,134,JANSE VAN RENSBURG Reinardt,30,Team Dimension Data,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
11,12,19.0,+0:57,65,MANNION Gavin,27,Rally UHC Cycling,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
12,13,9.0,+0:35,114,GROßSCHARTNER Felix,25,BORA - hansgrohe,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
13,14,16.0,+0:46,83,BERHANE Natnael,28,"Cofidis, Solutions Crédits",,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
14,15,7.0,+0:33,106,GREGAARD Jonas,22,Astana Pro Team,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
15,16,1.0,+0:00,17,VAN GARDEREN Tejay,30,EF Education First,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
16,17,3.0,+0:06,1,MOSCON Gianni,25,Team INEOS,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
17,18,12.0,+0:37,154,CATAFORD Alexander,25,Israel Cycling Academy,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
18,19,15.0,+0:44,71,ŠPILAK Simon,32,Team Katusha Alpecin,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
19,20,11.0,+0:37,85,HANSEN Jesper,28,"Cofidis, Solutions Crédits",,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
20,21,65.0,+26:25,91,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
21,22,17.0,+0:54,103,CONTRERAS Rodrigo,24,Astana Pro Team,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
22,23,10.0,+0:36,11,URÁN Rigoberto,32,EF Education First,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
23,24,13.0,+0:37,41,PORTE Richie,34,Trek - Segafredo,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
24,25,8.0,+0:34,21,BENNETT George,29,Team Jumbo-Visma,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
25,26,14.0,+0:42,51,DENNIS Rohan,28,Bahrain Merida,,,",,0:00",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
26,27,18.0,+0:57,62,BRITTON Rob,34,Rally UHC Cycling,,,0:240:24,Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
27,28,43.0,+14:02,177,PLANET Charles,25,Team Novo Nordisk,,,",,0:24",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
28,29,69.0,+30:37,22,DE TIER Floris,27,Team Jumbo-Visma,,,",,0:24",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
29,30,78.0,+36:22,161,BJERG Mikkel,20,Hagens Berman Axeon,,,0:280:28,Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
30,31,73.0,+33:59,5,HALVORSEN Kristoffer,23,Team INEOS,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
31,32,50.0,+18:14,37,PHILIPSEN Jasper,21,UAE-Team Emirates,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
32,33,25.0,+1:29,181,MCCABE Travis,30,United States,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
33,34,74.0,+34:03,42,DEGENKOLB John,30,Trek - Segafredo,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
34,35,61.0,+25:28,36,OLIVEIRA Rui,22,UAE-Team Emirates,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
35,36,36.0,+8:41,162,ALMEIDA João,20,Hagens Berman Axeon,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
36,37,40.0,+10:17,93,CAVAGNA Rémi,23,Deceuninck - Quick Step,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
37,38,37.0,+8:41,175,KUSZTOR Péter,34,Team Novo Nordisk,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
38,39,27.0,+1:56,152,ÁVILA Edwin,29,Israel Cycling Academy,,,",,0:28",Amgen_Tour_of_California,5,16 May 2019,44.263 km/h,76,218.5 km,52
