,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,31,POGAČAR Tadej,20,UAE-Team Emirates,300.0,200,32:55:12,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
1,2,2,-,13,HIGUITA Sergio,21,EF Education First,250.0,150,0:160:16,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
2,3,3,-,92,ASGREEN Kasper,24,Deceuninck - Quick Step,215.0,120,0:170:17,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
3,4,4,-,21,BENNETT George,29,Team Jumbo-Visma,175.0,100,0:290:29,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
4,5,5,-,41,PORTE Richie,34,Trek - Segafredo,120.0,90,0:410:41,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
5,6,6,-,71,ŠPILAK Simon,32,Team Katusha Alpecin,115.0,80,1:031:03,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
6,7,7,-,85,HANSEN Jesper,28,"Cofidis, Solutions Crédits",95.0,70,1:181:18,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
7,8,8,-,114,GROßSCHARTNER Felix,25,BORA - hansgrohe,75.0,60,",,1:18",..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
8,9,9,-,17,VAN GARDEREN Tejay,30,EF Education First,60.0,50,1:221:22,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
9,10,11,▲1,117,SCHACHMANN Maximilian,25,BORA - hansgrohe,50.0,40,1:231:23,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
10,11,10,▼1,51,DENNIS Rohan,28,Bahrain Merida,40.0,36,",,1:23",..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
11,12,12,-,62,BRITTON Rob,34,Rally UHC Cycling,35.0,32,1:381:38,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
12,13,13,-,127,ZOIDL Riccardo,31,CCC Team,30.0,28,1:501:50,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
13,14,14,-,11,URÁN Rigoberto,32,EF Education First,25.0,24,1:581:58,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
14,15,15,-,65,MANNION Gavin,27,Rally UHC Cycling,20.0,20,2:172:17,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
15,16,16,-,1,MOSCON Gianni,25,Team INEOS,20.0,16,2:202:20,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
16,17,17,-,15,MORTON Lachlan,27,EF Education First,20.0,14,2:262:26,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
17,18,18,-,106,GREGAARD Jonas,22,Astana Pro Team,20.0,12,2:352:35,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
18,19,19,-,55,PERNSTEINER Hermann,28,Bahrain Merida,20.0,10,2:412:41,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
19,20,20,-,83,BERHANE Natnael,28,"Cofidis, Solutions Crédits",20.0,9,2:422:42,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
20,21,21,-,103,CONTRERAS Rodrigo,24,Astana Pro Team,12.0,8,2:582:58,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
21,22,22,-,82,ATAPUMA Darwin,31,"Cofidis, Solutions Crédits",12.0,7,3:233:23,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
22,23,23,-,154,CATAFORD Alexander,25,Israel Cycling Academy,12.0,6,3:443:44,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
23,24,25,▲1,86,LE TURNIER Mathias,24,"Cofidis, Solutions Crédits",12.0,5,5:415:41,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
24,25,26,▲1,152,ÁVILA Edwin,29,Israel Cycling Academy,12.0,4,6:426:42,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
25,26,27,▲1,35,MUÑOZ Cristian Camilo,23,UAE-Team Emirates,12.0,3,7:057:05,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
26,27,28,▲1,125,SCHÄR Michael,32,CCC Team,12.0,3,7:257:25,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
27,28,29,▲1,47,STETINA Peter,31,Trek - Segafredo,12.0,3,7:317:31,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
28,29,30,▲1,87,MATÉ Luis Ángel,35,"Cofidis, Solutions Crédits",12.0,3,8:148:14,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
29,30,24,▼6,66,MURPHY Kyle,27,Rally UHC Cycling,12.0,3,9:539:53,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
30,31,31,-,135,KING Ben,30,Team Dimension Data,5.0,3,10:4610:46,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
31,32,32,-,25,POWLESS Neilson,22,Team Jumbo-Visma,5.0,3,12:1012:10,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
32,33,33,-,162,ALMEIDA João,20,Hagens Berman Axeon,5.0,3,12:3312:33,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
33,34,34,-,43,EG Niklas,24,Trek - Segafredo,5.0,3,14:2714:27,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
34,35,35,-,34,LAENGEN Vegard Stake,30,UAE-Team Emirates,5.0,3,14:3014:30,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
35,36,36,-,93,CAVAGNA Rémi,23,Deceuninck - Quick Step,5.0,3,16:1016:10,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
36,37,37,-,187,SWIRBUL Keegan,23,United States,5.0,3,18:1418:14,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
37,38,38,-,175,KUSZTOR Péter,34,Team Novo Nordisk,5.0,3,19:0219:02,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
38,39,39,-,121,GESCHKE Simon,33,CCC Team,5.0,3,21:5621:56,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
39,40,40,-,107,HOULE Hugo,28,Astana Pro Team,5.0,3,22:4122:41,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
40,41,42,▲1,177,PLANET Charles,25,Team Novo Nordisk,5.0,3,24:2024:20,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
41,42,41,▼1,12,CRADDOCK Lawson,27,EF Education First,5.0,3,25:1825:18,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
42,43,45,▲2,6,ROSA Diego,30,Team INEOS,5.0,3,26:1126:11,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
43,44,46,▲2,181,MCCABE Travis,30,United States,5.0,3,28:1728:17,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
44,45,47,▲2,163,ANDERSON Edward,21,Hagens Berman Axeon,5.0,3,29:1929:19,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
45,46,48,▲2,102,BALLERINI Davide,24,Astana Pro Team,5.0,3,32:3332:33,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
46,47,49,▲2,171,LOZANO David,30,Team Novo Nordisk,5.0,3,32:3632:36,..,Amgen_Tour_of_California,GC,18 May 2019,-,0,0 km,52
