,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,81,BERNAL Egan,21,Team Sky,300.0,200,25:34:19,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
1,2,23,VAN GARDEREN Tejay,29,BMC Racing Team,250.0,150,1:251:25,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
2,3,115,MARTÍNEZ Daniel Felipe,22,Team EF Education First-Drapac p/b Cannondale,215.0,120,2:142:14,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
3,4,71,YATES Adam,25,Mitchelton-Scott,175.0,100,2:162:16,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
4,5,82,GEOGHEGAN HART Tao,23,Team Sky,120.0,90,2:282:28,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
5,6,14,MAJKA Rafał,28,BORA - hansgrohe,115.0,80,3:013:01,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
6,7,66,MCNULTY Brandon,20,Rally Cycling,95.0,70,3:283:28,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
7,8,33,DE PLUS Laurens,22,Quick-Step Floors,75.0,60,3:503:50,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
8,9,144,ĐURASEK Kristijan,30,UAE-Team Emirates,60.0,50,3:593:59,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
9,10,94,FRANK Mathias,31,AG2R La Mondiale,50.0,40,4:014:01,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
10,11,161,MANNION Gavin,26,UnitedHealthcare Pro Cycling Team,40.0,36,5:405:40,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
11,12,147,RAVASI Edward,23,UAE-Team Emirates,35.0,32,6:116:11,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
12,13,5,TOLHOEK Antwan,24,Team LottoNL-Jumbo,30.0,28,7:037:03,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
13,14,123,GUERREIRO Ruben,23,Trek - Segafredo,25.0,24,7:057:05,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
14,15,1,POWLESS Neilson,21,Team LottoNL-Jumbo,20.0,20,7:257:25,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
15,16,62,BRITTON Rob,33,Rally Cycling,20.0,16,7:337:33,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
16,17,121,STETINA Peter,30,Trek - Segafredo,20.0,14,7:577:57,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
17,18,122,CONCI Nicola,21,Trek - Segafredo,20.0,12,8:078:07,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
18,19,126,SKUJIŅŠ Toms,26,Trek - Segafredo,20.0,10,8:108:10,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
19,20,52,BOSWELL Ian,27,Team Katusha Alpecin,20.0,9,8:248:24,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
20,21,21,BOOKWALTER Brent,34,BMC Racing Team,12.0,8,9:559:55,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
21,22,53,FABBRO Matteo,23,Team Katusha Alpecin,12.0,7,10:1610:16,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
22,23,102,BARTA Will,22,Hagens Berman Axeon,12.0,6,10:3310:33,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
23,24,103,BENNETT Sean,22,Hagens Berman Axeon,12.0,5,13:2013:20,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
24,25,96,GAUTIER Cyril,30,AG2R La Mondiale,12.0,4,14:4014:40,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
25,26,154,EISENHART Taylor,23,Holowesko - Citadel p/b Arapahoe Resources,12.0,3,14:5514:55,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
26,27,83,HENAO Sebastián,24,Team Sky,12.0,3,15:2715:27,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
27,28,72,BAUER Jack,33,Mitchelton-Scott,12.0,3,",,15:27",..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
28,29,24,ROSSKOPF Joey,28,BMC Racing Team,12.0,3,15:4015:40,..,Amgen_Tour_of_California,GC,19 May 2018,-,0,0 km,47
