,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,GILBERT Philippe,28,Omega Pharma-Lotto,80.0,225.0,6:30:44,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
1,2,0,RODRÍGUEZ Joaquim,31,Team Katusha,60.0,150.0,0:020:02,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
2,3,0,GERRANS Simon,30,Sky Procycling,50.0,110.0,0:040:04,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
3,4,0,FUGLSANG Jakob,26,Leopard Trek,40.0,90.0,0:050:05,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
4,5,0,KOLOBNEV Alexandr,29,Team Katusha,30.0,80.0,",,0:05",Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
5,6,0,FREIRE Óscar,35,Rabobank Cycling Team,22.0,70.0,",,0:05",Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
6,7,0,LEUKEMANS Björn,33,Vacansoleil - DCM,14.0,60.0,0:070:07,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
7,8,0,HERMANS Ben,24,RadioShack,10.0,50.0,0:180:18,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
8,9,0,GESINK Robert,24,Rabobank Cycling Team,6.0,46.0,0:190:19,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
9,10,0,MARTENS Paul,27,Rabobank Cycling Team,2.0,42.0,0:260:26,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
10,11,0,SCHLECK Andy,25,Leopard Trek,,38.0,0:280:28,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
11,12,0,HOOGERLAND Johnny,27,Vacansoleil - DCM,,34.0,0:360:36,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
12,13,0,VANENDERT Jelle,26,Omega Pharma-Lotto,,30.0,0:480:48,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
13,14,0,MORENO Daniel,29,Team Katusha,,26.0,1:381:38,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
14,15,0,CUNEGO Damiano,29,Lampre - ISD,,22.0,1:391:39,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
15,16,0,CHAVANEL Sylvain,31,Quickstep Cycling Team,,20.0,1:441:44,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
16,17,0,VINOKOUROV Alexandre,37,Pro Team Astana,,18.0,2:092:09,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
17,18,0,VAN DEN BROECK Jurgen,28,Omega Pharma-Lotto,,17.0,",,2:09",Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
18,19,0,TANKINK Bram,32,Rabobank Cycling Team,,16.0,2:102:10,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
19,20,0,WEGMANN Fabian,30,Leopard Trek,,15.0,2:132:13,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
20,21,0,SØRENSEN Nicki,35,Saxo Bank - Sungard,,14.0,2:142:14,Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
21,22,0,SCHLECK Fränk,31,Leopard Trek,,13.0,",,2:14",Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
22,23,0,SCHEIRLINCKX Staf,32,Veranda's Willems - Accent,,12.0,",,2:14",Amstel_Gold_Race,0,17 April 2011,40.078 km/h,0,261 km,9
