,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,13,JAKOBSEN Fabio,21,Quick-Step Floors,50.0,50.0,4:01:00,BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
1,2,2,+0:04,161,KITTEL Marcel,30,Team Katusha Alpecin,20.0,30.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
2,3,5,+0:06,21,EWAN Caleb,24,Mitchelton-Scott,8.0,18.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
3,4,10,+0:10,35,HALVORSEN Kristoffer,22,Team Sky,,13.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
4,5,11,+0:10,7,WALSCHEID Max,25,Team Sunweb,,10.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
5,6,12,+0:10,101,GROENEWEGEN Dylan,25,Team LottoNL-Jumbo,,7.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
6,7,13,+0:10,41,PELUCCHI Matteo,29,BORA - hansgrohe,,4.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
7,8,14,+0:10,201,DUPONT Timothy,30,Wanty - Groupe Gobert,,3.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
8,9,15,+0:10,141,STUYVEN Jasper,26,Trek - Segafredo,,2.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
9,10,16,+0:10,76,MINALI Riccardo,23,Astana Pro Team,,1.0,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
10,11,17,+0:10,227,WAEYTENS Zico,26,Vérandas Willems-Crelan,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
11,12,18,+0:10,136,VAN ASBROECK Tom,28,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
12,13,19,+0:10,152,HOELGAARD Daniel,25,Groupama - FDJ,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
13,14,20,+0:10,184,PLANCKAERT Edward,23,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
14,15,21,+0:10,52,DRUCKER Jempy,31,BMC Racing Team,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
15,16,22,+0:10,92,BAGDONAS Gediminas,32,AG2R La Mondiale,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
16,17,23,+0:10,32,BASSO Leonardo,24,Team Sky,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
17,18,24,+0:10,197,VERMELTFOORT Coen,30,Roompot - Nederlandse Loterij,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
18,19,25,+0:10,174,GIBBONS Ryan,24,Team Dimension Data,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
19,20,26,+0:10,211,DEHAES Kenny,33,WB Aqua Protect Veranclassic,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
20,21,27,+0:10,113,WOUTERS Enzo,22,Lotto Soudal,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
21,22,28,+0:10,67,SÜTTERLIN Jasha,25,Movistar Team,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
22,23,29,+0:10,181,ALLEGAERT Piet,23,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
23,24,30,+0:10,114,DEBUSSCHERE Jens,28,Lotto Soudal,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
24,25,31,+0:10,125,POLANC Jan,26,UAE-Team Emirates,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
25,26,32,+0:10,87,NAVARDAUSKAS Ramūnas,30,Bahrain Merida Pro Cycling Team,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
26,27,33,+0:10,16,SÉNÉCHAL Florian,25,Quick-Step Floors,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
27,28,34,+0:10,224,KRUOPIS Aidis,31,Vérandas Willems-Crelan,,,",,0:00",BinckBank_Tour,1,13 August 2018,44.14 km/h,0,177.3 km,30
