,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,101,PHILIPSEN Jasper,22,UAE-Team Emirates,50.0,50.0,2:59:26,BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
1,2,2.0,+0:04,201,PEDERSEN Mads,24,Trek - Segafredo,20.0,30.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
2,3,4.0,+0:06,51,ACKERMANN Pascal,26,BORA - hansgrohe,8.0,18.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
3,4,8.0,+0:10,186,VAN POPPEL Danny,27,Circus - Wanty Gobert,,13.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
4,5,9.0,+0:10,112,BISSEGGER Stefan,22,EF Pro Cycling,,10.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
5,6,10.0,+0:10,195,DAINESE Alberto,22,Team Sunweb,,7.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
6,7,11.0,+0:10,192,EEKHOFF Nils,22,Team Sunweb,,4.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
7,8,12.0,+0:10,75,MANZIN Lorrenzo,26,Team Total Direct Energie,,3.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
8,9,5.0,+0:07,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,,2.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
9,10,13.0,+0:10,13,MERLIER Tim,27,Alpecin-Fenix,,1.0,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
10,11,14.0,+0:10,167,WALSCHEID Max,27,NTT Pro Cycling,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
11,12,15.0,+0:10,32,ARCHBOLD Shane,31,Deceuninck - Quick Step,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
12,13,16.0,+0:10,46,NAESEN Lawrence,28,AG2R La Mondiale,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
13,14,17.0,+0:10,25,MARECZKO Jakub,26,CCC Team,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
14,15,3.0,+0:05,1,TEUNISSEN Mike,28,Team Jumbo-Visma,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
15,16,18.0,+0:10,216,VAN ROOY Kenneth,26,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
16,17,19.0,+0:10,68,DEGENKOLB John,31,Lotto Soudal,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
17,18,20.0,+0:10,122,COLBRELLI Sonny,30,Bahrain - McLaren,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
18,19,21.0,+0:10,143,LEMOINE Cyril,37,"Cofidis, Solutions Crédits",,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
19,20,22.0,+0:10,94,EINHORN Itamar,23,Israel Start-Up Nation,,,",,0:00",BinckBank_Tour,1,29 September 2020,44.17 km/h,0,132.1 km,17
