,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,201,PEDERSEN Mads,24,Trek - Segafredo,50.0,50.0,3:26:13,BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
1,2,2.0,+0:00,101,PHILIPSEN Jasper,22,UAE-Team Emirates,20.0,30.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
2,3,4.0,+0:08,51,ACKERMANN Pascal,26,BORA - hansgrohe,8.0,18.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
3,4,9.0,+0:16,186,VAN POPPEL Danny,27,Circus - Wanty Gobert,,13.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
4,5,10.0,+0:16,13,MERLIER Tim,27,Alpecin-Fenix,,10.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
5,6,18.0,+0:16,31,ŠTYBAR Zdeněk,34,Deceuninck - Quick Step,,7.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
6,7,70.0,+1:25,141,LAPORTE Christophe,27,"Cofidis, Solutions Crédits",,4.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
7,8,14.0,+0:16,34,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,,3.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
8,9,11.0,+0:16,75,MANZIN Lorrenzo,26,Team Total Direct Energie,,2.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
9,10,20.0,+0:16,111,VANMARCKE Sep,32,EF Pro Cycling,,1.0,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
10,11,6.0,+0:13,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
11,12,5.0,+0:11,1,TEUNISSEN Mike,28,Team Jumbo-Visma,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
12,13,12.0,+0:16,112,BISSEGGER Stefan,22,EF Pro Cycling,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
13,14,21.0,+0:16,187,PASQUALON Andrea,32,Circus - Wanty Gobert,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
14,15,58.0,+1:04,211,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
15,16,16.0,+0:16,17,VERMEERSCH Gianni,27,Alpecin-Fenix,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
16,17,60.0,+1:08,193,KANTER Max,22,Team Sunweb,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
17,18,13.0,+0:16,32,ARCHBOLD Shane,31,Deceuninck - Quick Step,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
18,19,25.0,+0:16,57,SELIG Rüdiger,31,BORA - hansgrohe,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
19,20,55.0,+0:54,95,RÄIM Mihkel,27,Israel Start-Up Nation,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
20,21,26.0,+0:16,64,THIJSSEN Gerben,22,Lotto Soudal,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
21,22,19.0,+0:16,232,NÕMMELA Aksel,25,Bingoal - Wallonie Bruxelles,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
22,23,33.0,+0:16,86,MARTINELLI Davide,27,Astana Pro Team,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
23,24,8.0,+0:15,121,CAVENDISH Mark,35,Bahrain - McLaren,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
24,25,15.0,+0:16,167,WALSCHEID Max,27,NTT Pro Cycling,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
25,26,7.0,+0:13,33,LAMPAERT Yves,29,Deceuninck - Quick Step,,,",,0:00",BinckBank_Tour,3,01 October 2020,45.68 km/h,0,157 km,17
