,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,64.0,+12:21,72,GANNA Filippo,23,Team INEOS,50.0,50.0,0:09:16,54.388000000000005,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
1,2,51.0,+11:16,62,AFFINI Edoardo,23,Mitchelton-Scott,20.0,30.0,0:050:05,53.903999999999996,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
2,3,69.0,+14:12,36,VAN EMDEN Jos,34,Team Jumbo-Visma,8.0,18.0,0:080:08,53.617,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
3,4,4.0,+0:40,143,KÜNG Stefan,25,Groupama - FDJ,,13.0,0:110:11,53.333,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
4,5,74.0,+15:11,157,TANFIELD Harry,24,Team Katusha Alpecin,,10.0,0:150:15,52.96,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
5,6,32.0,+5:20,14,JUNGELS Bob,26,Deceuninck - Quick Step,,7.0,0:160:16,52.867,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
6,7,33.0,+5:22,97,PEDERSEN Mads,23,Trek - Segafredo,,4.0,",,0:16",52.867,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
7,8,7.0,+0:45,84,KRAGH ANDERSEN Søren,25,Team Sunweb,,3.0,",,0:16",52.867,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
8,9,3.0,+0:12,32,DE PLUS Laurens,23,Team Jumbo-Visma,,2.0,0:180:18,52.683,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
9,10,1.0,+0:00,21,WELLENS Tim,28,Lotto Soudal,,1.0,0:200:20,52.5,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
10,11,6.0,+0:45,35,TEUNISSEN Mike,26,Team Jumbo-Visma,,,",,0:20",52.5,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
11,12,8.0,+0:49,92,FELLINE Fabio,29,Trek - Segafredo,,,",,0:20",52.5,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
12,13,75.0,+15:24,146,SCOTSON Miles,25,Groupama - FDJ,,,0:210:21,52.409,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
13,14,53.0,+11:32,86,PEDERSEN Casper,23,Team Sunweb,,,",,0:21",52.409,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
14,15,67.0,+13:32,46,SÜTTERLIN Jasha,26,Movistar Team,,,0:230:23,52.228,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
15,16,122.0,+20:16,106,BOHLI Tom,25,UAE-Team Emirates,,,0:240:24,52.138000000000005,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
16,17,2.0,+0:08,83,HIRSCHI Marc,20,Team Sunweb,,,",,0:24",52.138000000000005,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
17,18,10.0,+0:54,51,VAN AVERMAET Greg,34,CCC Team,,,0:250:25,52.048,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
18,19,11.0,+0:54,137,VANMARCKE Sep,31,EF Education First,,,",,0:25",52.048,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
19,20,43.0,+7:50,64,MEYER Cameron,31,Mitchelton-Scott,,,",,0:25",52.048,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
20,21,37.0,+5:43,54,ČERNÝ Josef,26,CCC Team,,,",,0:25",52.048,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
21,22,22.0,+2:40,71,VAN BAARLE Dylan,27,Team INEOS,,,0:260:26,51.958999999999996,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
22,23,23.0,+2:45,34,ROOSEN Timo,26,Team Jumbo-Visma,,,0:270:27,51.87,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
23,24,5.0,+0:43,5,GARCÍA CORTINA Iván,23,Bahrain Merida,,,",,0:27",51.87,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
24,25,13.0,+0:57,66,SMITH Dion,26,Mitchelton-Scott,,,0:280:28,51.781000000000006,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
25,26,45.0,+9:08,63,BAUER Jack,34,Mitchelton-Scott,,,0:290:29,51.692,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
26,27,31.0,+4:37,142,GENIETS Kevin,22,Groupama - FDJ,,,",,0:29",51.692,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
27,28,80.0,+15:32,60,VAN HOECKE Gijs,27,CCC Team,,,",,0:29",51.692,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
28,29,14.0,+0:59,131,CLARKE Simon,33,EF Education First,,,0:300:30,51.604,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
29,30,15.0,+0:59,17,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,,,",,0:30",51.604,BinckBank_Tour,6,17 August 2019,54.388 km/h,0,8.4 km,36
