,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,400.0,250,10:43:08,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
1,2,191,KRAGH ANDERSEN Søren,26,Team Sunweb,320.0,190,0:080:08,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
2,3,131,KÜNG Stefan,26,Groupama - FDJ,260.0,160,0:230:23,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
3,4,33,LAMPAERT Yves,29,Deceuninck - Quick Step,220.0,140,1:161:16,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
4,5,201,PEDERSEN Mads,24,Trek - Segafredo,180.0,120,1:211:21,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
5,6,122,COLBRELLI Sonny,30,Bahrain - McLaren,140.0,110,1:421:42,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
6,7,34,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,120.0,100,1:451:45,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
7,8,1,TEUNISSEN Mike,28,Team Jumbo-Visma,100.0,90,1:491:49,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
8,9,66,VERMEERSCH Florian,21,Lotto Soudal,80.0,80,1:591:59,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
9,10,68,DEGENKOLB John,31,Lotto Soudal,68.0,70,2:022:02,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
10,11,53,DRUCKER Jempy,34,BORA - hansgrohe,56.0,60,2:062:06,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
11,12,112,BISSEGGER Stefan,22,EF Pro Cycling,48.0,55,2:092:09,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
12,13,101,PHILIPSEN Jasper,22,UAE-Team Emirates,40.0,50,2:142:14,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
13,14,172,DOULL Owain,27,INEOS Grenadiers,32.0,45,2:152:15,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
14,15,187,PASQUALON Andrea,32,Circus - Wanty Gobert,28.0,40,2:162:16,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
15,16,167,WALSCHEID Max,27,NTT Pro Cycling,24.0,36,2:232:23,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
16,17,46,NAESEN Lawrence,28,AG2R La Mondiale,24.0,32,2:252:25,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
17,18,17,VERMEERSCH Gianni,27,Alpecin-Fenix,24.0,28,2:302:30,..,BinckBank_Tour,GC,03 October 2020,-,0,0 km,17
