,Rnk,Prev,▼▲,BIB,Rider,Age,Team,UCI,Pnt,Time,Time won/lost,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,-,41,DUMOULIN Tom,26,Team Sunweb,400.0,250,24:34:33,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
1,2,2,-,11,WELLENS Tim,26,Lotto Soudal,320.0,190,0:170:17,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
2,3,4,▲1,61,STUYVEN Jasper,25,Trek - Segafredo,260.0,160,0:460:46,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
3,4,3,▼1,21,VAN AVERMAET Greg,32,BMC Racing Team,220.0,140,0:510:51,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
4,5,6,▲1,171,NAESEN Oliver,26,AG2R La Mondiale,180.0,120,1:141:14,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
5,6,5,▼1,138,VALGREN Michael,25,Astana Pro Team,140.0,110,1:151:15,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
6,7,8,▲1,51,SAGAN Peter,27,BORA - hansgrohe,120.0,100,1:531:53,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
7,8,7,▼1,31,BOOM Lars,31,Team LottoNL-Jumbo,100.0,90,1:591:59,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
8,9,10,▲1,4,GILBERT Philippe,35,Quick-Step Floors,80.0,80,2:122:12,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
9,10,11,▲1,8,VAKOČ Petr,25,Quick-Step Floors,68.0,70,2:232:23,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
10,11,9,▼2,168,SÜTTERLIN Jasha,24,Movistar Team,56.0,60,2:242:24,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
11,12,13,▲1,91,VANMARCKE Sep,29,Cannondale-Drapac Pro Cycling Team,48.0,55,2:272:27,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
12,13,12,▼1,101,KEUKELEIRE Jens,28,ORICA-Scott,40.0,50,2:372:37,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
13,14,14,-,173,BAKELANTS Jan,31,AG2R La Mondiale,32.0,45,2:442:44,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
14,15,16,▲1,67,THEUNS Edward,26,Trek - Segafredo,28.0,40,3:023:02,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
15,16,15,▼1,42,KRAGH ANDERSEN Søren,23,Team Sunweb,24.0,36,3:033:03,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
16,17,18,▲1,203,SMITH Dion,24,Wanty - Groupe Gobert,24.0,32,3:203:20,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
17,18,17,▼1,165,ERVITI Imanol,33,Movistar Team,24.0,28,",,3:20",..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
18,19,19,-,192,LIGTHART Pim,29,Roompot - Nederlandse Loterij,24.0,24,3:333:33,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
19,20,20,-,77,POLITT Nils,23,Team Katusha Alpecin,24.0,20,3:473:47,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
20,21,22,▲1,28,VLIEGEN Loïc,23,BMC Racing Team,16.0,18,6:556:55,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
21,22,26,▲4,23,KÜNG Stefan,23,BMC Racing Team,16.0,16,9:449:44,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
22,23,29,▲6,47,TEUNISSEN Mike,24,Team Sunweb,16.0,14,10:0910:09,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
23,24,31,▲7,177,HOULE Hugo,26,AG2R La Mondiale,16.0,12,10:2910:29,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
24,25,21,▼4,205,MEURISSE Xandro,25,Wanty - Groupe Gobert,16.0,10,10:3010:30,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
25,26,30,▲4,46,HOFSTEDE Lennard,22,Team Sunweb,16.0,9,10:3210:32,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
26,27,33,▲6,114,JANSE VAN RENSBURG Reinardt,28,Team Dimension Data,16.0,8,10:5010:50,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
27,28,37,▲9,12,BENOOT Tiesj,23,Lotto Soudal,16.0,7,11:2011:20,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
28,29,24,▼5,121,GASPAROTTO Enrico,35,Bahrain Merida Pro Cycling Team,16.0,6,11:3311:33,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
29,30,41,▲11,65,RAST Grégory,37,Trek - Segafredo,16.0,5,13:4213:42,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
30,31,25,▼6,63,GUERREIRO Ruben,23,Trek - Segafredo,8.0,5,13:5713:57,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
31,32,27,▼5,35,ROOSEN Timo,24,Team LottoNL-Jumbo,8.0,5,14:2214:22,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
32,33,32,▼1,148,ZURLO Federico,23,UAE Team Emirates,8.0,5,14:5814:58,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
33,34,45,▲11,155,LADAGNOUS Matthieu,32,FDJ,8.0,5,15:2215:22,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
34,35,56,▲21,97,VAN BAARLE Dylan,25,Cannondale-Drapac Pro Cycling Team,8.0,5,16:1916:19,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
35,36,40,▲4,132,GATTO Oscar,32,Astana Pro Team,8.0,5,16:2316:23,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
36,37,54,▲17,211,VAN AERT Wout,22,Vérandas Willems-Crelan,8.0,5,16:2416:24,..,BinckBank_Tour,GC,13 August 2017,-,0,0 km,21
