,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,167,VIVIANI Elia,28,Team Sky,400.0,225.0,5:51:39,Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
1,2,144,KRISTOFF Alexander,30,Team Katusha Alpecin,320.0,150.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
2,3,65,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,260.0,110.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
3,4,17,VANMARCKE Sep,29,Cannondale-Drapac Pro Cycling Team,220.0,90.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
4,5,204,MATTHEWS Michael,26,Team Sunweb,180.0,80.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
5,6,211,GUERREIRO Ruben,23,Trek - Segafredo,140.0,70.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
6,7,82,BOASSON HAGEN Edvald,30,Team Dimension Data,120.0,60.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
7,8,191,BOUHANNI Nacer,27,"Cofidis, Solutions Crédits",100.0,50.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
8,9,171,CONSONNI Simone,22,UAE Team Emirates,80.0,46.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
9,10,56,VAN AVERMAET Greg,32,BMC Racing Team,68.0,42.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
10,11,77,PÖSTLBERGER Lukas,25,BORA - hansgrohe,56.0,38.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
11,12,41,BATTAGLIN Enrico,27,Team LottoNL-Jumbo,48.0,34.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
12,13,172,CONTI Valerio,24,UAE Team Emirates,40.0,30.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
13,14,85,SBARAGLI Kristian,27,Team Dimension Data,32.0,26.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
14,15,125,MEZGEC Luka,29,ORICA-Scott,28.0,22.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
15,16,103,BARBERO Carlos,26,Movistar Team,24.0,20.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
16,17,217,REIJNEN Kiel,31,Trek - Segafredo,24.0,18.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
17,18,187,DELAPLACE Anthony,27,Fortuneo - Oscaro,24.0,17.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
18,19,223,BUSATO Matteo,29,Wilier Triestina - Selle Italia,24.0,16.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
19,20,132,CALMEJANE Lilian,24,Direct Energie,24.0,15.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
20,21,104,BENNATI Daniele,36,Movistar Team,16.0,14.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
21,22,57,WYSS Danilo,32,BMC Racing Team,16.0,13.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
22,23,231,MARTIN Guillaume,24,Wanty - Groupe Gobert,16.0,12.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
23,24,117,ŠTYBAR Zdeněk,31,Quick-Step Floors,16.0,11.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
24,25,235,OFFREDO Yoann,30,Wanty - Groupe Gobert,16.0,10.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
25,26,114,VERMOTE Julien,28,Quick-Step Floors,16.0,9.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
26,27,6,PETERS Nans,23,AG2R La Mondiale,16.0,8.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
27,28,123,IMPEY Daryl,32,ORICA-Scott,16.0,7.0,",,0:00",Bretagne_Classic___Ouest_France,0,27 August 2017,40.9 km/h,0,239.7 km,8
