,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,15,DEVENYNS Dries,36,Deceuninck - Quick Step,300.0,200.0,4:05:49,Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
1,2,34,SIVAKOV Pavel,22,Team INEOS,250.0,150.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
2,3,51,IMPEY Daryl,35,Mitchelton-Scott,215.0,120.0,0:040:04,Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
3,4,63,KEUKELEIRE Jens,31,EF Pro Cycling,175.0,100.0,",,0:04",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
4,5,36,VAN BAARLE Dylan,27,Team INEOS,120.0,90.0,",,0:04",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
5,6,21,MCCARTHY Jay,27,BORA - hansgrohe,115.0,80.0,",,0:04",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
6,7,41,EWAN Caleb,25,Lotto Soudal,95.0,70.0,0:250:25,Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
7,8,83,HALLER Marco,28,Bahrain - McLaren,75.0,60.0,",,0:25",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
8,9,1,VIVIANI Elia,30,"Cofidis, Solutions Crédits",60.0,50.0,",,0:25",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
9,10,52,YATES Simon,27,Mitchelton-Scott,50.0,40.0,",,0:25",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
10,11,84,PERNSTEINER Hermann,29,Bahrain - McLaren,40.0,36.0,",,0:25",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
11,12,3,HAAS Nathan,30,"Cofidis, Solutions Crédits",35.0,32.0,0:300:30,Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
12,13,17,MØRKØV Michael,34,Deceuninck - Quick Step,30.0,28.0,0:500:50,Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
13,14,141,NIZZOLO Giacomo,31,NTT Pro Cycling,25.0,24.0,",,0:50",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
14,15,62,HALVORSEN Kristoffer,23,EF Pro Cycling,20.0,20.0,",,0:50",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
15,16,71,PEDERSEN Mads,24,Trek - Segafredo,20.0,16.0,",,0:50",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
16,17,2,CONSONNI Simone,25,"Cofidis, Solutions Crédits",20.0,14.0,",,0:50",Cadel_Evans_Great_Ocean_Road_Race,0,02 February 2020,41.76 km/h,53,171.1 km,57
