,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,11,VIVIANI Elia,29,Deceuninck - Quick Step,300.0,200.0,3:54:35,Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
1,2,111,EWAN Caleb,24,Lotto Soudal,250.0,150.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
2,3,41,IMPEY Daryl,34,Mitchelton-Scott,215.0,120.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
3,4,144,GIBBONS Ryan,24,Team Dimension Data,175.0,100.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
4,5,132,DEBUSSCHERE Jens,29,Team Katusha Alpecin,120.0,90.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
5,6,25,ROWE Luke,28,Team Sky,115.0,80.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
6,7,16,MØRKØV Michael,33,Deceuninck - Quick Step,95.0,70.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
7,8,1,MCCARTHY Jay,26,BORA - hansgrohe,75.0,60.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
8,9,22,DOULL Owain,25,Team Sky,60.0,50.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
9,10,51,SÁNCHEZ Luis León,35,Astana Pro Team,50.0,40.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
10,11,84,COSNEFROY Benoît,23,AG2R La Mondiale,40.0,36.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
11,12,72,GESINK Robert,32,Team Jumbo-Visma,35.0,32.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
12,13,91,ULISSI Diego,29,UAE-Team Emirates,30.0,28.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
13,14,23,ELISSONDE Kenny,27,Team Sky,25.0,24.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
14,15,133,GUERREIRO Ruben,24,Team Katusha Alpecin,20.0,20.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
15,16,63,HAMILTON Chris,23,Team Sunweb,20.0,16.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
16,17,21,POELS Wout,31,Team Sky,20.0,14.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
17,18,92,BYSTRØM Sven Erik,27,UAE-Team Emirates,20.0,12.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
18,19,122,BETTIOL Alberto,25,EF Education First,20.0,10.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
19,20,85,DENZ Nico,24,AG2R La Mondiale,20.0,9.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
20,21,97,POLANC Jan,26,UAE-Team Emirates,12.0,8.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
21,22,154,SUNDERLAND Dylan,22,Korda Mentha Real Estate Australia,12.0,7.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
22,23,141,VALGREN Michael,26,Team Dimension Data,12.0,6.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
23,24,35,ROSSKOPF Joey,29,CCC Team,12.0,5.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
24,25,71,BENNETT George,28,Team Jumbo-Visma,12.0,4.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
25,26,83,CHEVRIER Clément,26,AG2R La Mondiale,12.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
26,27,81,LATOUR Pierre,25,AG2R La Mondiale,12.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
27,28,64,HINDLEY Jai,22,Team Sunweb,12.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
28,29,101,PORTE Richie,33,Trek - Segafredo,12.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
29,30,136,KUZNETSOV Viacheslav,29,Team Katusha Alpecin,12.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
30,31,121,WOODS Michael,32,EF Education First,5.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
31,32,147,SLAGTER Tom-Jelte,29,Team Dimension Data,5.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
32,33,46,HAMILTON Lucas,22,Mitchelton-Scott,5.0,3.0,",,0:00",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
33,34,12,CAVAGNA Rémi,23,Deceuninck - Quick Step,5.0,3.0,0:110:11,Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
34,35,126,SCULLY Tom,29,EF Education First,5.0,3.0,0:130:13,Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
35,36,26,SIVAKOV Pavel,21,Team Sky,5.0,3.0,0:150:15,Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
36,37,45,SMITH Dion,25,Mitchelton-Scott,5.0,3.0,0:250:25,Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
37,38,44,EDMONDSON Alex,25,Mitchelton-Scott,5.0,3.0,",,0:25",Cadel_Evans_Great_Ocean_Road_Race,0,27 January 2019,41.95 km/h,33,164 km,60
